typeProject;before;project;version;file;start;end;resource;multiCatch;catches;stmt1;stmt2;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/config/ConfigBeanDefinitionParser.java;143;167;false;false;0;18;0;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/config/ConfigBeanDefinitionParser.java;200;247;false;false;0;34;0;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/config/ConfigBeanDefinitionParser.java;317;353;false;false;0;19;0;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/config/ConfigBeanDefinitionParser.java;440;458;false;false;0;12;0;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/config/ConfigBeanDefinitionParser.java;143;167;false;false;0;18;0;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/config/ConfigBeanDefinitionParser.java;200;247;false;false;0;34;0;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/config/ConfigBeanDefinitionParser.java;317;353;false;false;0;19;0;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/config/ConfigBeanDefinitionParser.java;440;458;false;false;0;12;0;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/support/DelegatePerTargetObjectIntroductionInterceptor.java;134;140;false;false;1;3;3;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/support/DelegatePerTargetObjectIntroductionInterceptor.java;134;140;false;false;1;3;3;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/support/AbstractExpressionPointcut.java;58;69;false;false;1;3;7;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/support/AbstractExpressionPointcut.java;58;69;false;false;1;3;7;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/support/AopUtils.java;331;346;false;false;3;4;9;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-aop/src/main/java/org/springframework/aop/support/AopUtils.java;331;346;false;false;3;4;9;
