typeProject;before;project;version;file;start;end;p1;p2;p3;p4;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;200;204;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;200;204;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/StormClientHandler.java;102;114;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/StormClientHandler.java;102;114;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;357;372;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;378;393;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;399;414;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;420;435;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;441;456;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;462;477;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;483;498;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;504;519;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;525;540;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;546;561;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;567;582;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;588;603;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;609;624;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;630;645;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;651;666;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;672;687;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;693;708;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;357;372;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;378;393;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;399;414;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;420;435;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;441;456;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;462;477;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;483;498;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;504;519;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;525;540;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;546;561;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;567;582;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;588;603;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;609;624;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;630;645;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;651;666;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;672;687;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;693;708;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/testing/MemoryMapState.java;129;148;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/testing/MemoryMapState.java;129;148;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/testing/LRUMemoryMapState.java;132;151;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/testing/LRUMemoryMapState.java;132;151;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/drpc/ReturnResultsReducer.java;86;89;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/drpc/ReturnResultsReducer.java;86;89;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/operation/builtin/FirstN.java;99;108;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/operation/builtin/FirstN.java;99;108;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/spout/PartitionedTridentSpoutExecutor.java;122;127;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/spout/PartitionedTridentSpoutExecutor.java;122;127;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/backtype/storm/metric/SystemBolt.java;103;108;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/backtype/storm/metric/SystemBolt.java;110;115;false;false;false;false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/backtype/storm/metric/SystemBolt.java;117;127;false;false;false;false;
