typeProject;before;project;version;file;start;end;name;type;field;parameterized;baseType;typeParameters;annotations;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;42;42;LOG;Logger;true;false;null;null;[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;43;43;max_retries;int;true;false;null;null;[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;44;44;base_sleep_ms;int;true;false;null;null;[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;45;45;max_sleep_ms;int;true;false;null;null;[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;46;46;message_queue;LinkedBlockingQueue<Object>;true;true;null;[Object];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;47;47;channelRef;AtomicReference<Channel>;true;true;null;[Channel];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;48;48;bootstrap;ClientBootstrap;true;false;null;null;[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;49;49;remote_addr;InetSocketAddress;true;false;null;null;[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;50;50;retries;AtomicInteger;true;false;null;null;[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;51;51;random;Random;true;false;null;null;[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;52;52;factory;ChannelFactory;true;false;null;null;[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;53;53;buffer_size;int;true;false;null;null;[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;54;54;being_closed;AtomicBoolean;true;false;null;null;[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;68;68;maxWorkers;int;false;false;null;null;[];
