typeProject;before;project;version;file;start;end;name;varArgs;parameterizedMethod;synchronized;parameterizedType;annotations;defaultMethod;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;56;86;Client;false;false;false;none;[SuppressWarnings];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;88;106;reconnect;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;108;118;getSleepTimeMs;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;120;134;send;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;136;173;takeMessages;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;175;190;close;false;false;true;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;192;205;close_n_release;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;201;204;run;false;false;false;none;[Override];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;207;209;recv;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;211;216;setChannel;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/ControlMessage.java;34;36;ControlMessage;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/ControlMessage.java;38;48;mkMessage;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/ControlMessage.java;50;52;encodeLength;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/ControlMessage.java;54;63;buffer;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/ControlMessage.java;65;67;write;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java;27;29;StormClientPipelineFactory;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java;31;43;getPipeline;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/StormServerPipelineFactory.java;28;30;StormServerPipelineFactory;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/StormServerPipelineFactory.java;32;44;getPipeline;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/MessageDecoder.java;35;84;decode;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Server.java;49;75;Server;false;false;false;none;[SuppressWarnings];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Server.java;77;85;enqueue;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Server.java;87;104;recv;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Server.java;106;112;addChannel;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Server.java;114;121;closeChannel;false;false;false;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Server.java;123;132;close;false;false;true;none;[];false;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Server.java;134;136;send;false;false;false;none;[];false;
