typeProject;before;project;version;file;start;end;resource;multiCatch;catches;stmt1;stmt2;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;92;105;false;false;1;12;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;129;133;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;183;188;false;false;1;4;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;92;105;false;false;1;12;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;129;133;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;183;188;false;false;1;4;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Server.java;95;102;false;false;1;5;4;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Server.java;95;102;false;false;1;5;4;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/StormClientHandler.java;54;58;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/StormClientHandler.java;72;76;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/StormClientHandler.java;54;58;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/StormClientHandler.java;72;76;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/StormServerHandler.java;64;69;false;false;1;3;4;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/StormServerHandler.java;64;69;false;false;1;3;4;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentBoltExecutor.java;251;264;false;false;1;11;4;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentBoltExecutor.java;368;375;false;false;1;6;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentBoltExecutor.java;251;264;false;false;1;11;4;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentBoltExecutor.java;368;375;false;false;1;6;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/state/RotatingTransactionalState.java;119;127;false;false;1;3;5;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/state/RotatingTransactionalState.java;119;127;false;false;1;3;5;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/state/TransactionalState.java;45;62;false;false;1;13;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/state/TransactionalState.java;51;55;false;false;1;3;2;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/state/TransactionalState.java;68;72;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/state/TransactionalState.java;73;84;false;false;1;7;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/state/TransactionalState.java;89;93;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/state/TransactionalState.java;98;106;false;false;1;7;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/state/TransactionalState.java;115;123;false;false;1;7;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/state/TransactionalState.java;45;62;false;false;1;13;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/state/TransactionalState.java;51;55;false;false;1;3;2;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/state/TransactionalState.java;68;72;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/state/TransactionalState.java;73;84;false;false;1;7;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/state/TransactionalState.java;89;93;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/state/TransactionalState.java;98;106;false;false;1;7;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/state/TransactionalState.java;115;123;false;false;1;7;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/testing/FeederBatchSpout.java;57;61;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/testing/FeederBatchSpout.java;57;61;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/drpc/ReturnResultsReducer.java;97;101;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/drpc/ReturnResultsReducer.java;97;101;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/util/TridentUtils.java;115;119;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/util/TridentUtils.java;123;129;false;false;1;5;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/util/TridentUtils.java;115;119;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/util/TridentUtils.java;123;129;false;false;1;5;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/state/JSONNonTransactionalSerializer.java;28;32;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/state/JSONNonTransactionalSerializer.java;37;41;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/state/JSONNonTransactionalSerializer.java;28;32;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/state/JSONNonTransactionalSerializer.java;37;41;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/state/JSONTransactionalSerializer.java;32;36;false;false;1;3;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/state/JSONTransactionalSerializer.java;41;47;false;false;1;5;3;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/state/JSONTransactionalSerializer.java;32;36;false;false;1;3;3;
