typeProject;before;project;version;file;start;end;name;superClass;interfaces;typeParameters;typeParameterModifiers;annotations;
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Client.java;41;218;Client;null;[IConnection];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java;24;44;StormClientPipelineFactory;null;[ChannelPipelineFactory];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/StormServerPipelineFactory.java;25;45;StormServerPipelineFactory;null;[ChannelPipelineFactory];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/MessageDecoder.java;26;85;MessageDecoder;FrameDecoder;[];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Server.java;39;137;Server;null;[IConnection];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/StormClientHandler.java;34;128;StormClientHandler;SimpleChannelUpstreamHandler;[];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/MessageBatch.java;29;170;MessageBatch;null;[];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/Context.java;26;67;Context;null;[IContext];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/StormServerHandler.java;33;76;StormServerHandler;SimpleChannelUpstreamHandler;[];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-netty/src/jvm/backtype/storm/messaging/netty/MessageEncoder.java;24;39;MessageEncoder;OneToOneEncoder;[];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/Stream.java;61;374;Stream;null;[IAggregatableStream];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/Stream.java;334;346;BatchGlobalAggScheme;null;[GlobalAggregationScheme<Stream>];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/Stream.java;348;360;GlobalAggScheme;null;[GlobalAggregationScheme<Stream>];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/TridentTopology.java;86;813;TridentTopology;null;[];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/fluent/IChainedAggregatorDeclarer.java;22;24;IChainedAggregatorDeclarer;null;[];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/fluent/IAggregatableStream.java;26;31;IAggregatableStream;null;[];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/fluent/GroupedStream.java;37;174;GroupedStream;null;[IAggregatableStream, GlobalAggregationScheme<GroupedStream>];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/fluent/GlobalAggregationScheme.java;23;26;GlobalAggregationScheme;null;[];1;[[S extends IAggregatableStream]];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/fluent/ChainedFullAggregatorDeclarer.java;25;32;ChainedFullAggregatorDeclarer;null;[IChainedAggregatorDeclarer];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/fluent/ChainedAggregatorDeclarer.java;38;183;ChainedAggregatorDeclarer;null;[ChainedFullAggregatorDeclarer, ChainedPartitionAggregatorDeclarer];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/fluent/ChainedAggregatorDeclarer.java;39;41;AggregationPartition;null;[];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/fluent/ChainedAggregatorDeclarer.java;50;60;AggSpec;null;[];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/fluent/ChainedPartitionAggregatorDeclarer.java;25;32;ChainedPartitionAggregatorDeclarer;null;[IChainedAggregatorDeclarer];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/fluent/UniqueIdGen.java;20;34;UniqueIdGen;null;[];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/ITridentBatchBolt.java;26;32;ITridentBatchBolt;null;[IComponent];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TransactionAttempt.java;23;66;TransactionAttempt;null;[IBatchID];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/BatchInfo.java;23;33;BatchInfo;null;[];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentBoltExecutor.java;49;425;TridentBoltExecutor;null;[IRichBolt];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentBoltExecutor.java;56;80;CoordType;null;[Serializable];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentBoltExecutor.java;82;88;CoordSpec;null;[Serializable];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentBoltExecutor.java;90;99;CoordCondition;null;[Serializable];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentBoltExecutor.java;117;140;TrackedBatch;null;[];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentBoltExecutor.java;142;188;CoordinatedOutputCollector;null;[IOutputCollector];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;50;722;TridentTopologyBuilder;null;[];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;256;274;SpoutComponent;null;[];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;276;288;TransactionalSpoutComponent;SpoutComponent;[];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;290;307;Component;null;[];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;328;332;InputDeclaration;null;[];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;334;346;SpoutDeclarerImpl;BaseConfigurationDeclarer<SpoutDeclarer>;[SpoutDeclarer];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/TridentTopologyBuilder.java;348;721;BoltDeclarerImpl;BaseConfigurationDeclarer<BoltDeclarer>;[BoltDeclarer];0;[];[];
;;storm;1;/home/les-02/NovoTGLambda/projects/storm/storm-core/src/jvm/storm/trident/topology/MasterBatchCoordinator.java;40;285;MasterBatchCoordinator;BaseRichSpout;[];0;[];[];
