typeProject;before;project;version;file;start;end;name;superClass;interfaces;typeParameters;typeParameterModifiers;annotations;
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/Binarizer.java;22;87;Binarizer;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/Reader.java;21;69;Reader;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/encoder/BlockPair.java;19;37;BlockPair;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/encoder/ByteMatrix.java;21;99;ByteMatrix;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/encoder/QRCode.java;23;108;QRCode;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/encoder/Encoder.java;34;610;Encoder;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/encoder/MaskUtil.java;19;222;MaskUtil;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/encoder/MatrixUtil.java;24;476;MatrixUtil;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/decoder/Decoder.java;30;193;Decoder;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/decoder/DataBlock.java;19;122;DataBlock;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/decoder/Version.java;22;578;Version;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/decoder/Version.java;178;212;ECBlocks;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/decoder/Version.java;214;235;ECB;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/decoder/DecodedBitStreamParser.java;32;360;DecodedBitStreamParser;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/decoder/FormatInformation.java;19;157;FormatInformation;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/decoder/QRCodeDecoderMetaData.java;21;57;QRCodeDecoderMetaData;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/decoder/BitMatrixParser.java;22;245;BitMatrixParser;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/QRCodeReader.java;39;222;QRCodeReader;null;[Reader];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/detector/FinderPatternInfo.java;19;49;FinderPatternInfo;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/detector/FinderPatternFinder.java;32;680;FinderPatternFinder;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/detector/FinderPatternFinder.java;644;658;FurthestFromAverageComparator;null;[Comparator<FinderPattern>, Serializable];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/detector/FinderPatternFinder.java;660;678;CenterComparator;null;[Comparator<FinderPattern>, Serializable];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/detector/AlignmentPattern.java;21;59;AlignmentPattern;ResultPoint;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/detector/FinderPattern.java;21;82;FinderPattern;ResultPoint;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/detector/AlignmentPatternFinder.java;26;277;AlignmentPatternFinder;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/detector/Detector.java;33;405;Detector;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/qrcode/QRCodeWriter.java;31;118;QRCodeWriter;null;[Writer];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/ResultPointCallback.java;19;29;ResultPointCallback;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/Result.java;22;153;Result;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/MultiFormatReader.java;30;180;MultiFormatReader;null;[Reader];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/LuminanceSource.java;19;157;LuminanceSource;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/Writer.java;23;59;Writer;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/aztec/encoder/AztecCode.java;21;89;AztecCode;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/aztec/encoder/Encoder.java;24;346;Encoder;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/aztec/encoder/SimpleToken.java;21;45;SimpleToken;Token;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/aztec/encoder/HighLevelEncoder.java;29;307;HighLevelEncoder;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/aztec/encoder/Token.java;21;46;Token;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/aztec/encoder/BinaryShiftToken.java;21;60;BinaryShiftToken;Token;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/aztec/encoder/State.java;24;169;State;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/aztec/decoder/Decoder.java;29;366;Decoder;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/aztec/detector/Detector.java;30;601;Detector;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/aztec/detector/Detector.java;575;600;Point;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/aztec/AztecDetectorResult.java;23;58;AztecDetectorResult;DetectorResult;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/aztec/AztecWriter.java;29;96;AztecWriter;null;[Writer];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/aztec/AztecReader.java;36;122;AztecReader;null;[Reader];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/MultiFormatWriter.java;36;105;MultiFormatWriter;null;[Writer];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/multi/ByQuadrantReader.java;30;115;ByQuadrantReader;null;[Reader];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/multi/qrcode/QRCodeMultiReader.java;42;181;QRCodeMultiReader;QRCodeReader;[MultipleBarcodeReader];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/multi/qrcode/QRCodeMultiReader.java;166;179;SAComparator;null;[Comparator<Result>, Serializable];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/multi/qrcode/detector/MultiFinderPatternFinder.java;35;311;MultiFinderPatternFinder;FinderPatternFinder;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/multi/qrcode/detector/MultiFinderPatternFinder.java;76;85;ModuleSizeComparator;null;[Comparator<FinderPattern>, Serializable];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/multi/qrcode/detector/MultiDetector.java;32;73;MultiDetector;Detector;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/multi/MultipleBarcodeReader.java;26;39;MultipleBarcodeReader;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/multi/GenericMultipleBarcodeReader.java;31;180;GenericMultipleBarcodeReader;null;[MultipleBarcodeReader];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/FormatException.java;19;47;FormatException;ReaderException;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/client/result/ResultParser.java;29;259;ResultParser;null;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/client/result/EmailAddressParsedResult.java;19;99;EmailAddressParsedResult;ParsedResult;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/client/result/SMSParsedResult.java;19;114;SMSParsedResult;ParsedResult;[];0;[];[];
;;zxing;1;/home/les-02/NovoTGLambda/projects/zxing/core/src/main/java/com/google/zxing/client/result/ProductResultParser.java;23;55;ProductResultParser;ResultParser;[];0;[];[];
