project, id, qtdlambda, qtdaic, qtdmaps, qtdfilter, avg_lambda, avg_aic, avg_maps, avg_filter
leakcanary, 1, 0, 714, 40, 0, 0, 47.6, 2.66666666667, 0
uCrop, 2, 0, 398, 0, 0, 0, 26.5333333333, 0, 0
jedis, 3, 0, 22030, 1021, 0, 0, 440.6, 20.42, 0
RxJava, 4, 3064, 243722, 618, 0, 766.0, 4874.44, 12.36, 0
plaid, 5, 0, 6236, 38, 0, 0, 328.210526316, 2.0, 0
PocketHub, 6, 382, 15360, 29, 0, 191.0, 313.469387755, 1.52631578947, 0
tinker, 7, 0, 484, 93, 0, 0, 60.5, 11.625, 0
stetho, 8, 0, 2180, 104, 0, 0, 83.8461538462, 4.0, 0
zipkin, 9, 1696, 1734, 628, 0, 84.8, 91.2631578947, 33.0526315789, 0
realm-java, 10, 0, 27196, 145, 3, 0, 513.132075472, 2.9, 1.0
BottomBar, 11, 0, 418, 0, 0, 0, 34.8333333333, 0, 0
ExoPlayer, 12, 0, 3204, 12, 13, 0, 103.35483871, 1.09090909091, 1.85714285714
libgdx, 13, 2, 65388, 924, 133, 1.0, 1233.73584906, 17.4339622642, 2.50943396226
deeplearning4j, 14, 95, 8384, 1325, 94, 15.8333333333, 199.619047619, 31.5476190476, 2.35
MaterialDrawer, 15, 0, 2056, 27, 0, 0, 64.25, 1.0, 0
fastjson, 16, 0, 24798, 332, 0, 0, 495.96, 6.64, 0
flexbox-layout, 17, 0, 3686, 0, 0, 0, 263.285714286, 0, 0
bazel, 18, 30, 40628, 8795, 199, 1.15384615385, 1504.74074074, 325.740740741, 7.37037037037
MPAndroidChart, 19, 0, 568, 172, 0, 0, 17.2121212121, 4.77777777778, 0
druid, 20, 0, 28660, 764, 0, 0, 540.754716981, 14.4150943396, 0
netty, 21, 0, 61558, 1627, 0, 0, 1161.47169811, 30.6981132075, 0
AndroidInterview-Q-A, 22, 0, 0, 0, 0, 0, 0, 0, 0
BaseRecyclerViewAdapterHelper, 23, 0, 878, 0, 0, 0, 67.5384615385, 0, 0
spring-framework, 24, 12514, 197448, 8427, 589, 357.542857143, 3725.43396226, 162.057692308, 11.78
AndroidUtilCode, 25, 0, 340, 7, 0, 0, 37.7777777778, 1.0, 0
lottie-android, 26, 0, 352, 10, 0, 0, 50.2857142857, 3.33333333333, 0
butterknife, 27, 0, 34, 52, 64, 0, 2.125, 1.36842105263, 1.68421052632
dropwizard, 28, 1325, 6986, 550, 99, 73.6111111111, 131.811320755, 10.3773584906, 2.10638297872
guava, 29, 1689, 265570, 5478, 236, 281.5, 5010.75471698, 103.358490566, 4.45283018868
material-dialogs, 30, 144, 3244, 62, 29, 36.0, 108.133333333, 2.13793103448, 1.0
Android_Data, 31, 0, 0, 0, 0, 0, 0, 0, 0
picasso, 32, 0, 1978, 0, 0, 0, 42.085106383, 0, 0
platform_frameworks_base, 33, 8517, 220912, 6211, 248, 567.8, 4168.1509434, 117.188679245, 4.67924528302
presto, 34, 30365, 28944, 8099, 108, 1047.06896552, 546.113207547, 152.811320755, 2.11764705882
EventBus, 35, 0, 564, 2, 0, 0, 17.0909090909, 1.0, 0
Hystrix, 36, 43, 58022, 436, 0, 14.3333333333, 1115.80769231, 8.38461538462, 0
fresco, 37, 0, 9736, 111, 0, 0, 442.545454545, 5.04545454545, 0
android-UniversalMusicPlayer, 38, 0, 1278, 84, 0, 0, 63.9, 4.2, 0
guice, 39, 160, 112100, 830, 46, 8.0, 3202.85714286, 23.7142857143, 1.31428571429
okhttp, 40, 0, 14736, 653, 0, 0, 278.037735849, 12.320754717, 0
RxJava-Android-Samples, 41, 538, 2594, 0, 0, 59.7777777778, 89.4482758621, 0, 0
kafka, 42, 7, 17800, 639, 1, 7.0, 335.849056604, 15.975, 1.0
RxAndroid, 43, 0, 1870, 0, 0, 0, 49.2105263158, 0, 0
spark, 44, 3788, 2934, 38, 51, 105.222222222, 57.5294117647, 1.05555555556, 1.0
elasticsearch, 45, 49935, 126806, 10496, 353, 2496.75, 2438.57692308, 205.803921569, 7.06
Android-Bootstrap, 46, 0, 312, 0, 0, 0, 10.7586206897, 0, 0
dubbo, 47, 0, 5216, 760, 40, 0, 260.8, 38.0, 2.0
agera, 48, 198, 818, 57, 0, 16.5, 62.9230769231, 4.38461538462, 0
interviews, 49, 0, 322, 86, 0, 0, 107.333333333, 28.6666666667, 0
Signal-Android, 50, 0, 17802, 679, 0, 0, 356.04, 13.58, 0
greenDAO, 51, 0, 3440, 74, 0, 0, 107.5, 2.3125, 0
kotlin, 52, 526, 94706, 5785, 365, 23.9090909091, 1786.90566038, 109.150943396, 6.88679245283
physical-web, 53, 0, 1188, 20, 8, 0, 44.0, 1.33333333333, 1.0
disruptor, 54, 0, 2980, 87, 1, 0, 69.3023255814, 2.02325581395, 1.0
cheesesquare, 55, 0, 54, 0, 0, 0, 6.0, 0, 0
clojure, 56, 0, 2166, 0, 0, 0, 55.5384615385, 0, 0
java-design-patterns, 57, 18304, 9766, 202, 0, 762.666666667, 305.1875, 6.12121212121, 0
spring-boot, 58, 143, 27720, 3764, 35, 35.75, 565.714285714, 76.8163265306, 1.16666666667
junit4, 59, 0, 13090, 603, 0, 0, 272.708333333, 12.5625, 0
glide, 60, 0, 9128, 180, 46, 0, 182.56, 4.18604651163, 2.09090909091
DanmakuFlameMaster, 61, 0, 854, 14, 0, 0, 19.8604651163, 2.0, 0
MaterialViewPager, 62, 0, 726, 0, 0, 0, 48.4, 0, 0
vert.x, 63, 103222, 41798, 1415, 0, 2867.27777778, 928.844444444, 31.4444444444, 0
SimianArmy, 64, 0, 1516, 1519, 0, 0, 32.9565217391, 33.0217391304, 0
CircleImageView, 65, 0, 0, 0, 0, 0, 0, 0, 0
retrofit, 66, 0, 10916, 41, 0, 0, 209.923076923, 1.07894736842, 0
PhotoView, 67, 0, 264, 0, 0, 0, 8.25, 0, 0
RxBinding, 68, 0, 11062, 0, 0, 0, 460.916666667, 0, 0
AndroidSwipeLayout, 69, 0, 768, 10, 0, 0, 59.0769230769, 1.0, 0
androidannotations, 70, 0, 2872, 758, 0, 0, 55.2307692308, 14.5769230769, 0
recyclerview-animators, 71, 0, 480, 28, 0, 0, 24.0, 1.4, 0
lottie-react-native, 72, 0, 12, 0, 0, 0, 4.0, 0, 0
FizzBuzzEnterpriseEdition, 73, 0, 0, 0, 0, 0, 0, 0, 0
AndroidViewAnimations, 74, 0, 174, 0, 0, 0, 14.5, 0, 0
UltimateRecyclerView, 75, 0, 4736, 71, 0, 0, 236.8, 3.55, 0
AppIntro, 76, 0, 300, 0, 0, 0, 14.2857142857, 0, 0
Android-CleanArchitecture, 77, 57, 632, 24, 0, 3.5625, 26.3333333333, 1.0, 0
ion, 78, 0, 9742, 29, 0, 0, 249.794871795, 1.0, 0
Calligraphy, 79, 0, 186, 0, 0, 0, 8.45454545455, 0, 0
MaterialDesignLibrary, 80, 0, 932, 0, 0, 0, 93.2, 0, 0
ListViewAnimations, 81, 0, 672, 35, 0, 0, 33.6, 1.75, 0
iosched, 82, 0, 6976, 308, 7, 0, 279.04, 12.32, 1.0
java8-tutorial, 83, 2384, 68, 0, 0, 140.235294118, 4.0, 0, 0
okhttputils, 84, 0, 508, 40, 2, 0, 42.3333333333, 3.33333333333, 1.0
dagger, 85, 0, 792, 130, 0, 0, 24.75, 4.0625, 0
AndroidSlidingUpPanel, 86, 0, 256, 0, 0, 0, 6.73684210526, 0, 0
logger, 87, 0, 0, 0, 0, 0, 0, 0, 0
HomeMirror, 88, 0, 186, 0, 0, 0, 23.25, 0, 0
android-Ultra-Pull-To-Refresh, 89, 0, 2812, 0, 0, 0, 200.857142857, 0, 0
Material-Animations, 90, 0, 498, 0, 0, 0, 45.2727272727, 0, 0
android-async-http, 91, 0, 3206, 63, 0, 0, 89.0555555556, 1.75, 0
Android-ObservableScrollView, 92, 0, 2870, 0, 0, 0, 179.375, 0, 0
Android-Universal-Image-Loader, 93, 0, 1002, 0, 108, 0, 27.8333333333, 0, 3.0
ActionBarSherlock, 94, 0, 1422, 18, 0, 0, 158.0, 2.0, 0
SlidingMenu, 95, 0, 646, 0, 0, 0, 49.6923076923, 0, 0
PagerSlidingTabStrip, 96, 0, 18, 0, 0, 0, 4.5, 0, 0
storm, 97, 0, 2224, 438, 13, 0, 171.076923077, 33.6923076923, 1.0
Android-PullToRefresh, 98, 0, 58, 0, 0, 0, 19.3333333333, 0, 0
