class, method, before_id, after_id, before_size, after_size
CreateGistActivity, onCreate, 1826006, 949760, 73, 69
DashboardIssueFragment, createPager, 1825438, 949254, 24, 21
DashboardIssueFragment, createIterator, 1825441, 949257, 8, 5
PublicGistsFragment, createPager, 1826020, 949772, 15, 11
PublicGistsFragment, createIterator, 1826021, 949773, 9, 5
AccountDataManager, getIssueFilters, 1826748, 950460, 14, 9
GistFragment, starGist, 1826039, 949790, 19, 9
GistFragment, unstarGist, 1826043, 949792, 18, 9
GistFragment, onActivityResult, 1826046, 949793, 34, 33
IssuesFragment, onOptionsItemSelected, 1825469, 949284, 25, 22
IssuesFragment, createPager, 1825472, 949286, 17, 12
IssuesFragment, createIterator, 1825473, 949287, 11, 6
GistFileFragment, loadSource, 1826067, 949809, 36, 29
GistsPagerFragment, randomGist, 1826076, 949815, 45, 36
FiltersViewFragment, onDialogResult, 1825492, 949305, 16, 13
MilestoneDialog, getPageAndNext, 1825640, 949436, 15, 13
EditIssueActivity, showCollaboratorOptions, 1825540, 949359, 45, 32
EditIssueActivity, checkCollaboratorStatus, 1825554, 949370, 24, 18
EditIssuesFilterActivity, onCreate, 1825558, 949372, 101, 86
LoginActivity, onUserLoggedIn, 1826685, 950404, 33, 25
CreateCommentActivity, createComment, 1825335, 949386, 28, 12
LoginActivity, endAuth, 1826694, 950411, 37, 29
MilestoneDialogFragment, onCreateDialog, 1825586, 949394, 44, 29
UserCreatedNewsFragment, createPager, 1826176, 949911, 15, 11
UserCreatedNewsFragment, createIterator, 1826177, 949912, 9, 5
UserReceivedNewsFragment, createPager, 1826179, 949913, 16, 11
UserReceivedNewsFragment, createIterator, 1826180, 949914, 10, 5
AssigneeDialogFragment, onCreateDialog, 1825598, 949403, 43, 29
SearchUserListFragment, createPager, 1825050, 948893, 31, 22
SearchUserListFragment, createIterator, 1825052, 948895, 21, 12
FiltersViewActivity, onDialogResult, 1825606, 949408, 16, 13
SearchUserListFragment, onListItemClick, 1825060, 948901, 15, 9
IssueSearchActivity, onOptionsItemSelected, 1825614, 949415, 23, 18
SearchActivity, onOptionsItemSelected, 1825065, 948905, 23, 18
AccountUtils, updateAccount, 1826728, 950442, 44, 41
AccountUtils, showConflictMessage, 1826730, 950443, 24, 14
LabelsDialogFragment, onCreateDialog, 1825626, 949426, 51, 39
MilestoneDialog, load, 1825635, 949432, 31, 27
SearchRepositoryListFragment, createPager, 1825084, 948922, 31, 22
SearchRepositoryListFragment, createIterator, 1825086, 948924, 21, 12
AccountDataManager, addIssueFilter, 1826752, 950462, 15, 13
AccountDataManager, removeIssueFilter, 1826758, 950464, 25, 13
IssueFragment, onViewCreated, 1825652, 949447, 85, 69
IssueFragment, refreshIssue, 1825659, 949449, 24, 19
OrganizationRepositories, request, 1826777, 950480, 40, 28
RefDialogFragment, onCreateDialog, 1825110, 948945, 37, 27
MyFollowersFragment, createPager, 1826243, 949975, 15, 11
MyFollowersFragment, createIterator, 1826244, 949976, 9, 5
GistFragment, refreshGist, 1826050, 949796, 29, 22
OrganizationNewsFragment, createIterator, 1826247, 949978, 10, 7
UserViewActivity, onCreate, 1826252, 949982, 36, 29
AssigneeDialog, getPageAndNext, 1825687, 949474, 15, 13
GistFragment, onDialogResult, 1826054, 949798, 42, 40
LabelDrawableSpan, setText, 1825692, 949478, 18, 12
UserViewActivity, followUser, 1826264, 949992, 25, 15
UserViewActivity, checkFollowingUserStatus, 1826267, 949993, 15, 12
UserFollowingFragment, createPager, 1826272, 949997, 15, 11
UserFollowingFragment, createIterator, 1826273, 949998, 9, 5
RepositoryCodeFragment, refreshTree, 1825148, 948978, 42, 37
RepositoryCodeFragment, onViewCreated, 1825154, 948982, 33, 26
RepositoryCodeFragment, setFolder, 1825157, 948984, 47, 45
UriLauncherActivity, showParseError, 1826302, 950026, 18, 8
MyFollowingFragment, createPager, 1826305, 950027, 15, 11
MyFollowingFragment, createIterator, 1826306, 950028, 9, 5
ItemListFragment, onViewCreated, 1825740, 949525, 35, 22
OrganizationNewsFragment, createPager, 1826246, 949977, 16, 13
UserFollowersFragment, createPager, 1826323, 950044, 15, 11
UserFollowersFragment, createIterator, 1826324, 950045, 9, 5
RepositoryViewActivity, onCreate, 1825773, 949556, 40, 34
CommentListAdapter, showMorePopup, 1825220, 949045, 27, 24
RepositoryViewActivity, checkReadme, 1825779, 949560, 19, 13
CommentListAdapter, updateComment, 1825218, 949044, 24, 20
RepositoryViewActivity, starRepository, 1825788, 949567, 25, 17
RepositoryViewActivity, checkStarredRepositoryStatus, 1825791, 949568, 15, 12
RepositoryViewActivity, forkRepository, 1825794, 949570, 21, 13
RepositoryViewActivity, deleteRepository, 1825797, 949571, 38, 30
RepositoryViewActivity, onNegative, 1825799, 949573, 22, 14
RepositoryReadmeFragment, onViewCreated, 1825803, 949575, 26, 22
ConfirmDialogFragment, onCreateDialog, 1825249, 949080, 22, 13
UserRepositoryListFragment, createPager, 1825825, 949596, 20, 16
UserRepositoryListFragment, createIterator, 1825827, 949598, 9, 5
BranchFileViewActivity, loadContent, 1825132, 948965, 41, 33
GistFilesViewActivityTest, testChangingPages, 1826930, 950629, 23, 13
RepositoryListFragment, onListItemLongClick, 1825841, 949611, 47, 45
RepositoryNewsFragment, createPager, 1825852, 949620, 15, 11
RepositoryNewsFragment, createIterator, 1825853, 949621, 9, 5
RefDialog, getPageAndNext, 1825140, 948971, 15, 13
CommitFileViewActivity, loadContent, 1825303, 949132, 40, 33
CommitCompareListFragment, compareCommits, 1825310, 949137, 21, 14
AvatarLoader, bind, 1826434, 950164, 41, 21
RepositoryContributorsFragment, onListItemClick, 1825892, 949659, 16, 10
WelcomeActivity, onCreate, 1825896, 949661, 28, 25
HttpImageGetter, bind, 1826462, 950185, 44, 37
HttpImageGetter, continueBind, 1826465, 950186, 33, 27
ViewPager, scheduleSetItem, 1825914, 949677, 15, 9
ViewPager, scheduleSetItem, 1825914, 949678, 15, 7
NewsFragment, onListItemLongClick, 1825921, 949682, 49, 44
CommitDiffListFragment, refreshCommit, 1825347, 949171, 22, 17
CommitDiffListFragment, showFileOptions, 1825359, 949181, 49, 39
CommitListFragment, createPager, 1825371, 949190, 42, 41
CommitListFragment, createIterator, 1825373, 949192, 15, 13
CommitListFragment, onViewCreated, 1825386, 949204, 15, 8
MyGistsFragment, createPager, 1825965, 949724, 15, 11
MyGistsFragment, createIterator, 1825966, 949725, 9, 5
GistFilesViewActivity, onCreate, 1825988, 949746, 39, 37
CreateCommentActivity, createComment, 1825335, 949752, 28, 16
StarredGistsFragment, createPager, 1825998, 949753, 15, 11
StarredGistsFragment, createIterator, 1825999, 949754, 9, 5
LabelsDialog, getPageAndNext, 1825426, 949243, 15, 13
