class, method, before_id, after_id, before_size, after_size
MainActivity, showBasicCheckPrompt, 3772423, 2941094, 16, 11
MainActivity, showCallbacks, 3772427, 2941097, 15, 10
MainActivity, showList, 3772429, 2941098, 12, 7
MainActivity, showListNoTitle, 3772431, 2941099, 11, 6
MainActivity, showLongList, 3772433, 2941100, 13, 7
MainActivity, showListLongItems, 3772435, 2941101, 12, 7
MainActivity, showListCheckPrompt, 3772437, 2941102, 14, 9
MainActivity, showListLongPress, 3772439, 2941103, 32, 21
MainActivity, showSingleChoice, 3772443, 2941104, 14, 11
MainActivity, showSingleChoiceLongItems, 3772445, 2941105, 14, 11
MainActivity, showMultiChoice, 3772447, 2941106, 30, 22
MainActivity, showMultiChoiceLimited, 3772450, 2941107, 18, 15
MainActivity, showMultiChoiceLongItems, 3772452, 2941109, 21, 18
MainActivity, showMultiChoiceDisabledItems, 3772454, 2941110, 31, 23
MainActivity, showSimpleList, 3772457, 2941111, 28, 23
MainActivity, showCustomList, 3772459, 2941112, 19, 10
MainActivity, showCustomView, 3772462, 2941113, 52, 44
MainActivity, showShowCancelDismissCallbacks, 3772476, 2941125, 27, 12
MainActivity, showInputDialog, 3772484, 2941130, 16, 11
MainActivity, showInputDialogCustomInvalidation, 3772486, 2941131, 22, 19
MainActivity, showInputDialogCheckPrompt, 3772488, 2941132, 18, 13
MainActivity, showProgressDeterminateDialog, 3772490, 2941133, 44, 32
MainActivity, onRequestPermissionsResult, 3772501, 2941140, 15, 10
