class, method, before_id, after_id, before_size, after_size
AggregationCompiler, getInputFunctions, 21766803, 21166080, 14, 9
TestNumericHistogramAggregation, testMerge, 21759565, 21158915, 28, 21
CachingCassandraSchemaProvider, loadPartitions, 21772251, 21171543, 12, 6
SqlTaskManager, load, 21767411, 21166680, 20, 15
TestHiveFileFormats, testPageSourceFactory, 21769806, 21169170, 33, 30
ExpressionAnalyzer, analyzeExpressionsWithSymbols, 21763255, 21162515, 21, 16
TestNumericHistogram, testMergeSame, 21759502, 21158854, 21, 14
SqlTask, getTaskInfo, 21767342, 21166617, 23, 15
CachingHiveMetastore, loadDatabase, 21770770, 21170118, 22, 19
TupleDescriptor, canResolvePredicate, 21763271, 21162530, 10, 3
MockHiveMetastoreClient, get_partitions_by_names, 21769823, 21169186, 24, 19
PredicatePushDown, nullInputEvaluator, 21763829, 21163049, 15, 8
PredicatePushDown, joinEqualityExpression, 21763831, 21163050, 20, 15
ExpressionFormatter, sortItemFormatterFunction, 21773954, 21173294, 39, 34
PredicatePushDown, shouldPrunePartition, 21763838, 21163056, 36, 31
StripeReader, readDiskRanges, 21771852, 21171148, 22, 9
SqlStageExecution, scheduleTask, 21767387, 21166657, 48, 41
EqualityInference, symbolToExpressionPredicate, 21764400, 21163586, 10, 3
EqualityInference, isInferenceCandidate, 21764402, 21163587, 20, 15
JmxMetadata, getColumnHandles, 21762761, 21162053, 12, 5
AggregationMetadata, fromAnnotations, 21766429, 21165642, 32, 30
Util, fromConnectorDomain, 21761178, 21160530, 10, 3
SqlTaskManager, SqlTaskManager, 21767410, 21166679, 46, 41
EffectivePredicateExtractor, symbolMatchesExpression, 21764166, 21163364, 10, 3
HiveClient, getPartitionSplits, 21770409, 21169755, 52, 45
GraphvizPrinter, visitTopN, 21762000, 21161317, 13, 6
OrcMetadataReader, toColumnStatistics, 21771230, 21170534, 9, 6
TestHiveFileFormats, testCursorProvider, 21769804, 21169169, 37, 33
HiveClient, columnMetadataGetter, 21770426, 21169771, 24, 17
RelationPlanner, visitUnion, 21764444, 21163629, 66, 61
ExampleClient, tableUriResolver, 21757871, 21157227, 11, 6
FunctionRegistry, resolveFunction, 21761230, 21160581, 97, 93
FunctionRegistry, listOperators, 21761233, 21160583, 17, 10
FunctionRegistry, FunctionMap, 21761251, 21160600, 19, 13
PrestoVerifier, applyOverrides, 21768944, 21168281, 18, 15
ExpressionOptimizer, visitCall, 21763397, 21162651, 74, 68
QualifiedTableName, convertFromSchemaTableName, 21761264, 21160612, 10, 3
MethodDefinition, MethodDefinition, 21760208, 21159589, 44, 37
TestHttpPageBufferClient, testExceptionFromResponseHandler, 21759224, 21158568, 69, 64
HttpRemoteTask, updateTaskInfo, 21762356, 21161651, 24, 19
DwrfMetadataReader, toColumnStatistics, 21771337, 21170635, 13, 6
LocalExecutionPlanner, visitRowNumber, 21763992, 21163207, 40, 36
LocalExecutionPlanner, visitTopNRowNumber, 21763994, 21163208, 57, 47
AverageBenchmarkResults, getAverageResultsValues, 21772583, 21171916, 10, 3
AverageBenchmarkResults, getAverageResultsStrings, 21772585, 21171917, 10, 3
SqlQueryManager, getAllQueryInfo, 21767013, 21166295, 16, 14
LocalExecutionPlanner, visitIndexSource, 21764014, 21163225, 48, 43
PerfTest, execute, 21771068, 21170403, 13, 8
TestEqualityInference, matchesSymbolScope, 21758751, 21158116, 10, 3
TestEqualityInference, matchesStraddlingScope, 21758753, 21158117, 11, 6
LocalExecutionPlanner, planGroupByAggregation, 21764032, 21163242, 55, 50
LocalExecutionPlanner, channelGetter, 21764044, 21163252, 11, 6
TestRowNumberOperator, stripRowNumberColumn, 21759302, 21158645, 11, 8
SqlStageExecution, SqlStageExecution, 21767360, 21166633, 78, 64
SampledSplitSource, getNextBatch, 21762441, 21161738, 14, 7
AbstractTestOrcReader, floatSequence, 21771121, 21170455, 14, 8
ExpressionUtils, expressionOrNullSymbols, 21762985, 21162269, 19, 14
OperatorAssertion, appendSampleWeight, 21759346, 21158688, 17, 14
TupleAnalyzer, analyzeWindowFunctions, 21763011, 21162294, 70, 63
TestExpressionCompiler, testHugeIn, 21758843, 21158204, 31, 17
GenerateTimeZoneIndex, ignoredZone, 21761939, 21161280, 10, 3
TaskStateMachine, transitionToDoneState, 21767126, 21166403, 13, 6
PlanPrinter, visitWindow, 21764131, 21163334, 28, 21
PlanPrinter, visitTopNRowNumber, 21764133, 21163335, 22, 15
CachingCassandraSchemaProvider, loadAllSchemas, 21772237, 21171532, 11, 6
CachingCassandraSchemaProvider, loadAllTables, 21772240, 21171534, 24, 18
PlanPrinter, visitTopN, 21764142, 21163343, 14, 7
PlanPrinter, visitSort, 21764144, 21163344, 14, 7
TypeUtils, resolveTypes, 21761441, 21160785, 9, 5
CachingCassandraSchemaProvider, loadTable, 21772247, 21171540, 14, 7
PlanPrinter, formatOutputs, 21764155, 21163354, 10, 3
HeartbeatFailureDetector, updateMonitoredServices, 21762520, 21161821, 52, 45
EffectivePredicateExtractor, entryToEquality, 21764168, 21163365, 13, 8
ExampleClient, schemasSupplier, 21757866, 21157224, 15, 10
ExampleClient, resolveAndIndexTables, 21757869, 21157226, 11, 6
EffectivePredicateExtractor, spanTupleDomain, 21764175, 21163371, 15, 10
UnionNode, outputToSourceSymbolFunction, 21763647, 21162875, 10, 3
HiveUtil, createRecordReader, 21770714, 21170060, 40, 34
ExpressionFormatter, joinExpressions, 21773949, 21173290, 10, 5
TestFunctionRegistry, testDuplicateFunctions, 21758092, 21157445, 19, 13
TestTypeSignature, assertSignature, 21767756, 21167014, 36, 24
TestEqualityInference, symbolBeginsWith, 21758770, 21158132, 15, 10
PrestoS3FileSystem, getS3ObjectMetadata, 21770249, 21169596, 34, 28
TupleDomainOrcPredicate, createDomain, 21771844, 21171139, 15, 3
CachingHiveMetastore, loadAllDatabases, 21770767, 21170116, 19, 15
PrestoS3FileSystem, read, 21770261, 21169607, 39, 33
