typeProject;before;project;version;file;start;end;p1;p2;p3;p4;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;502;519;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;502;519;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;197;202;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;273;278;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;594;634;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;645;690;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;759;773;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;781;805;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;197;202;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;273;278;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;594;634;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;645;690;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;759;773;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;781;805;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/GwtWorkarounds.java;54;64;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/GwtWorkarounds.java;72;88;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/GwtWorkarounds.java;105;137;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/GwtWorkarounds.java;155;170;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/GwtWorkarounds.java;188;203;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/GwtWorkarounds.java;212;229;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/GwtWorkarounds.java;54;64;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/GwtWorkarounds.java;72;88;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/GwtWorkarounds.java;105;137;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/GwtWorkarounds.java;155;170;false;false;false;false;
;;guava;0f9774d76fa6b0d7353b24e0550af519e936da07;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/GwtWorkarounds.java;188;203;false;false;false;false;
