typeProject;before;project;version;file;start;end;resource;multiCatch;catches;stmt1;stmt2;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;278;282;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;287;291;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;296;300;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;305;309;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;314;320;false;false;2;3;6;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;325;329;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;334;338;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;343;347;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;352;356;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;361;365;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;370;374;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;379;383;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;388;392;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;397;401;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;406;410;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;465;469;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;474;478;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;483;487;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;492;496;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;501;505;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;510;514;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;519;523;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;528;532;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;537;541;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;546;550;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;555;559;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;564;568;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;573;577;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;582;586;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;278;282;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;287;291;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;296;300;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;305;309;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;314;320;false;false;2;3;6;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;325;329;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;334;338;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;343;347;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;352;356;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;361;365;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;370;374;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;379;383;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;388;392;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;397;401;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;406;410;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;465;469;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;474;478;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;483;487;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;492;496;false;false;1;3;3;
;;guava;1de67afcb295c771fb00a98281c6becf74926e76;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;501;505;false;false;1;3;3;
