typeProject;before;project;version;file;start;end;switchString;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/LineBuffer.java;61;81;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/IntMath.java;119;143;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/IntMath.java;162;179;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/IntMath.java;228;245;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/IntMath.java;247;255;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/IntMath.java;271;298;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/IntMath.java;336;367;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/IntMath.java;489;504;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/IntMath.java;507;521;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/IntMath.java;563;582;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/IntMath.java;587;603;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/IntMath.java;653;665;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/LongMath.java;120;144;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/LongMath.java;164;181;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/LongMath.java;269;286;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/LongMath.java;289;297;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/LongMath.java;335;370;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/LongMath.java;400;431;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/LongMath.java;604;619;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/LongMath.java;623;637;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/LongMath.java;713;732;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/LongMath.java;738;754;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/LongMath.java;809;859;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/BigIntegerMath.java;92;125;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/BigIntegerMath.java;190;211;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/BigIntegerMath.java;232;257;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/BigIntegerMath.java;395;408;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/DoubleMath.java;60;114;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/DoubleMath.java;243;269;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/base/AbstractIterator.java;55;61;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/base/CharMatcher.java;394;405;false;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/base/CharMatcher.java;529;542;false;
