typeProject;before;project;version;file;start;end;name;superClass;interfaces;typeParameters;typeParameterModifiers;annotations;
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/AppendableWriter.java;28;127;AppendableWriter;Writer;[];0;[];[GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;42;868;ByteStreams;null;[];0;[];[Beta, GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;208;219;FastByteArrayOutputStream;ByteArrayOutputStream;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;269;412;ByteArrayDataInputStream;null;[ByteArrayDataInput];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;452;593;ByteArrayDataOutputStream;null;[ByteArrayDataOutput];0;[];[SuppressWarnings];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;640;711;LimitedInputStream;FilterInputStream;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/LittleEndianDataInputStream.java;31;240;LittleEndianDataInputStream;FilterInputStream;[DataInput];0;[];[Beta, GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/OutputSupplier.java;21;47;OutputSupplier;null;[];1;[[T]];[Deprecated];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/PatternFilenameFilter.java;28;65;PatternFilenameFilter;null;[FilenameFilter];0;[];[Beta, GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/Flushables.java;25;76;Flushables;null;[];0;[];[Beta, GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/MultiReader.java;26;95;MultiReader;Reader;[];0;[];[GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/LittleEndianDataOutputStream.java;28;174;LittleEndianDataOutputStream;FilterOutputStream;[DataOutput];0;[];[Beta, GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/InputSupplier.java;21;47;InputSupplier;null;[];1;[[T]];[Deprecated];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteSource.java;44;703;ByteSource;null;[];0;[];[GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteSource.java;436;464;AsCharSource;CharSource;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteSource.java;466;543;SlicedByteSource;ByteSource;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteSource.java;545;626;ByteArrayByteSource;ByteSource;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteSource.java;628;651;EmptyByteSource;ByteArrayByteSource;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteSource.java;653;702;ConcatenatedByteSource;ByteSource;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;43;1122;BaseEncoding;null;[];0;[];[Beta, GwtCompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;127;141;DecodingException;IOException;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;416;555;Alphabet;CharMatcher;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;557;842;StandardBaseEncoding;BaseEncoding;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;844;889;Base16Encoding;StandardBaseEncoding;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;891;946;Base64Encoding;StandardBaseEncoding;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;1033;1121;SeparatedBaseEncoding;BaseEncoding;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ReaderInputStream.java;36;256;ReaderInputStream;InputStream;[];0;[];[GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/CountingInputStream.java;26;97;CountingInputStream;FilterInputStream;[];0;[];[Beta, GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/LineProcessor.java;23;47;LineProcessor;null;[];1;[[T]];[Beta, GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/Resources.java;34;214;Resources;null;[];0;[];[Beta, GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/Resources.java;60;80;UrlByteSource;ByteSource;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteArrayDataOutput.java;22;82;ByteArrayDataOutput;null;[DataOutput];0;[];[GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/CharSequenceReader.java;27;133;CharSequenceReader;Reader;[];0;[];[GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteArrayDataInput.java;23;95;ByteArrayDataInput;null;[DataInput];0;[];[GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/Closeables.java;30;130;Closeables;null;[];0;[];[Beta, GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/LineReader.java;30;89;LineReader;null;[];0;[];[Beta, GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/CharSink.java;28;166;CharSink;null;[];0;[];[GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/MultiInputStream.java;27;124;MultiInputStream;InputStream;[];0;[];[GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/CharSource.java;40;606;CharSource;null;[];0;[];[GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/CharSource.java;423;451;AsByteSource;ByteSource;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/CharSource.java;453;540;CharSequenceCharSource;CharSource;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/CharSource.java;542;554;EmptyCharSource;CharSequenceCharSource;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/CharSource.java;556;605;ConcatenatedCharSource;CharSource;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/CharStreams.java;33;272;CharStreams;null;[];0;[];[Beta, GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/CharStreams.java;202;256;NullWriter;Writer;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/Files.java;56;852;Files;null;[];0;[];[Beta, GwtIncompatible];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/Files.java;111;158;FileByteSource;ByteSource;[];0;[];[];
;;guava;5b608043b9d56a4427a2d8c1583f6f3c5a4e1023;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/Files.java;190;209;FileByteSink;ByteSink;[];0;[];[];
