typeProject;before;project;version;file;start;end;resource;multiCatch;catches;stmt1;stmt2;
;;guava;6e8370d443dc3f2da70ca0befda68cf8d687216b;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;271;275;false;false;1;3;3;
;;guava;6e8370d443dc3f2da70ca0befda68cf8d687216b;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;279;283;false;false;1;3;3;
;;guava;6e8370d443dc3f2da70ca0befda68cf8d687216b;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;287;291;false;false;1;3;3;
;;guava;6e8370d443dc3f2da70ca0befda68cf8d687216b;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;295;299;false;false;1;3;3;
;;guava;6e8370d443dc3f2da70ca0befda68cf8d687216b;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;303;309;false;false;2;3;6;
;;guava;6e8370d443dc3f2da70ca0befda68cf8d687216b;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;313;317;false;false;1;3;3;
;;guava;6e8370d443dc3f2da70ca0befda68cf8d687216b;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;321;325;false;false;1;3;3;
;;guava;6e8370d443dc3f2da70ca0befda68cf8d687216b;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;329;333;false;false;1;3;3;
;;guava;6e8370d443dc3f2da70ca0befda68cf8d687216b;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;337;341;false;false;1;3;3;
;;guava;6e8370d443dc3f2da70ca0befda68cf8d687216b;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;345;349;false;false;1;3;3;
;;guava;6e8370d443dc3f2da70ca0befda68cf8d687216b;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;353;357;false;false;1;3;3;
;;guava;6e8370d443dc3f2da70ca0befda68cf8d687216b;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;361;365;false;false;1;3;3;
;;guava;6e8370d443dc3f2da70ca0befda68cf8d687216b;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;369;373;false;false;1;3;3;
;;guava;6e8370d443dc3f2da70ca0befda68cf8d687216b;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;377;381;false;false;1;3;3;
;;guava;6e8370d443dc3f2da70ca0befda68cf8d687216b;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;385;389;false;false;1;3;3;
;;guava;6e8370d443dc3f2da70ca0befda68cf8d687216b;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;447;451;false;false;1;3;3;
;;guava;6e8370d443dc3f2da70ca0befda68cf8d687216b;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;455;459;false;false;1;3;3;
