typeProject;before;project;version;file;start;end;p1;p2;p3;p4;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;595;616;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/ByteStreams.java;595;616;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;175;180;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;245;250;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;586;624;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;709;754;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;948;967;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;975;998;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;1006;1026;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;175;180;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;245;250;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;586;624;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;709;754;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;948;967;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;975;998;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/BaseEncoding.java;1006;1026;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/Resources.java;150;163;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/Resources.java;150;163;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/LineReader.java;47;52;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/LineReader.java;47;52;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/CharSource.java;491;510;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/CharSource.java;494;508;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/CharSource.java;491;510;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/CharSource.java;494;508;false;false;false;false;
;;guava;845a2b5b046ea3de2848f27288864d3d1977ea1e;/home/luna/TG/java-projects/guava/guava/src/com/google/common/io/Files.java;523;536;false;false;false;false;
