typeProject;before;project;version;file;start;end;stmts;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/StatsAccumulator.java;82;84;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/StatsAccumulator.java;105;107;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/StatsAccumulator.java;116;118;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/math/StatsAccumulator.java;128;130;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/base/Predicates.java;718;720;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/util/concurrent/CollectionFuture.java;106;108;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/util/concurrent/ListenerCallQueue.java;51;53;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/util/concurrent/WrappingExecutorService.java;84;86;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Multisets.java;909;911;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/FluentIterable.java;790;792;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/ImmutableCollection.java;396;398;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/ImmutableCollection.java;416;418;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/ImmutableSetMultimap.java;301;303;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/RangeSet.java;224;226;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/ImmutableRangeSet.java;748;750;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/hash/Hashing.java;612;614;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/hash/Hashing.java;632;634;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/reflect/Types.java;628;630;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/reflect/ClassPath.java;463;465;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/graph/IncidenceSetUndirectedGraph.java;171;173;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/graph/ImmutableDirectedGraph.java;205;207;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/graph/ImmutableDirectedGraph.java;214;216;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/graph/ImmutableUndirectedGraph.java;138;140;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/graph/IncidenceSetDirectedGraph.java;234;236;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava/src/com/google/common/graph/IncidenceSetDirectedGraph.java;257;259;1;
;;guava;93e4fb0aaf1c2304589f431c644f4bb7fc9e7363;/home/luna/TG/java-projects/guava/guava-tests/benchmark/com/google/common/util/concurrent/StripedBenchmark.java;98;100;1;
