typeProject;before;project;version;file;start;end;parentMethod;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/MoreCollectors.java;69;69;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/MoreCollectors.java;71;74;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Streams.java;129;129;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Streams.java;146;146;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Streams.java;160;160;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Streams.java;174;174;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/CollectSpliterators.java;110;110;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/CollectSpliterators.java;115;115;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/CollectSpliterators.java;234;234;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/CollectSpliterators.java;246;246;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/CollectCollectors.java;38;38;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/CollectCollectors.java;59;59;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/CollectCollectors.java;84;84;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/CollectCollectors.java;85;85;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/CollectCollectors.java;95;95;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/benchmark/com/google/common/collect/StreamsBenchmark.java;78;78;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/benchmark/com/google/common/collect/StreamsBenchmark.java;84;84;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/CollectSpliteratorsTest.java;34;36;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/CollectSpliteratorsTest.java;42;47;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/CollectSpliteratorsTest.java;45;45;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;54;54;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;61;61;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;67;67;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;90;90;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;100;100;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;103;103;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;103;103;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;114;114;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;117;117;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;117;117;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;128;128;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;132;132;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;132;132;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;185;188;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;187;187;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;191;195;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;194;194;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;200;200;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;204;204;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;209;209;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;209;209;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;214;214;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;214;214;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;220;220;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;220;220;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;226;227;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;227;227;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;232;232;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;240;240;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;240;240;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;250;250;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;251;251;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;252;252;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;259;259;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-tests/test/com/google/common/collect/StreamsTest.java;262;262;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapReplaceAllTester.java;55;58;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapReplaceAllTester.java;72;75;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapReplaceAllTester.java;90;93;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapReplaceAllTester.java;108;111;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapReplaceAllTester.java;120;120;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapMergeTester.java;53;56;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapMergeTester.java;71;74;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapMergeTester.java;87;90;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapMergeTester.java;104;108;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapMergeTester.java;122;126;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapMergeTester.java;142;146;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapMergeTester.java;156;158;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapMergeTester.java;181;183;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapComputeTester.java;48;53;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapComputeTester.java;65;70;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapComputeTester.java;84;89;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapComputeTester.java;102;107;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapComputeTester.java;124;129;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapComputeTester.java;145;150;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapComputeTester.java;165;170;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapComputeTester.java;183;187;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapComputeTester.java;200;204;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapComputeIfPresentTester.java;49;51;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapComputeIfPresentTester.java;64;68;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapComputeIfPresentTester.java;80;84;;
;;guava;fa95e381e665d8ee9639543b99ed38020c8de5ef;/home/luna/TG/java-projects/guava/guava-testlib/src/com/google/common/collect/testing/testers/MapComputeIfPresentTester.java;97;99;;
