Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
Android-Bootstrap, 46, 2478, 59e6cbb53bca3be1e13fa7bc2a3f6f54dfefeb68, 2013-11-29 00:00:00, 0, 12, 0, 0
Android-Bootstrap, 46, 2432, 6d7fd726914e436d1f199c153aaa8755e8d73cbe, 2013-12-13 00:00:00, 0, 14, 0, 0
Android-Bootstrap, 46, 2388, 9187a05fd7d91350569347f8565078441135d8d4, 2014-01-21 00:00:00, 0, 14, 0, 0
Android-Bootstrap, 46, 2297, 8053f5d794dfa2ac1977a7cb75fbd10f6b6bcf38, 2014-03-02 00:00:00, 0, 14, 0, 0
Android-Bootstrap, 46, 2200, 31569af06af48b9bfeb0ac0a0b828d08afcd1e1a, 2014-05-22 00:00:00, 0, 14, 0, 0
Android-Bootstrap, 46, 1955, ffa647269c420810faa05a62cc0d14842401925d, 2014-10-21 00:00:00, 0, 14, 0, 0
Android-Bootstrap, 46, 1905, b3fbf4f092b2afbe472e5a806b642d0fe98dc9f7, 2014-11-28 00:00:00, 0, 14, 0, 0
Android-Bootstrap, 46, 1849, 76ad1c994853bb601df3343718a2788e7c8fd946, 2014-12-30 00:00:00, 0, 14, 0, 0
Android-Bootstrap, 46, 1789, 66786b0999f5132a1a3346fa218b389adf512263, 2015-01-27 00:00:00, 0, 14, 0, 0
Android-Bootstrap, 46, 1730, 4901feb42348cb910022515245e0138b108b2376, 2015-02-18 00:00:00, 0, 14, 0, 0
Android-Bootstrap, 46, 1671, d6e043d75e8a57fed6427e062eb7b3ae8a602e23, 2015-03-13 00:00:00, 0, 4, 0, 0
Android-Bootstrap, 46, 1601, f8772273a50742948c6a98addb4ff135be6108a4, 2015-04-01 00:00:00, 0, 4, 0, 0
Android-Bootstrap, 46, 1536, 28e68ddfa19226d40039130738fc5681ae35380f, 2015-05-28 00:00:00, 0, 4, 0, 0
Android-Bootstrap, 46, 1468, 006757b46bf9624598e1e843f0c557b09b3cf0a9, 2015-06-05 00:00:00, 0, 4, 0, 0
Android-Bootstrap, 46, 1406, f31bb6acf5ce4131a420042ce00d1c75a626a57c, 2015-07-23 00:00:00, 0, 4, 0, 0
Android-Bootstrap, 46, 1343, 661ef1a5b5e45083b8a91957b0045a78d340ffc9, 2015-09-01 00:00:00, 0, 4, 0, 0
Android-Bootstrap, 46, 1277, f7273047fe455a4af92e350c31957b8710fd9d5b, 2015-09-30 00:00:00, 0, 10, 0, 0
Android-Bootstrap, 46, 1210, d909f7082532f571cea03d4cd608cb23901f1c46, 2015-10-08 00:00:00, 0, 8, 0, 0
Android-Bootstrap, 46, 1141, c985435ea21b3cf1ec8779899531b4b17477a6c0, 2015-12-01 00:00:00, 0, 6, 0, 0
Android-Bootstrap, 46, 1078, 8f145347cb2a7e218e44a859e2a1e278067894e0, 2015-12-18 00:00:00, 0, 6, 0, 0
Android-Bootstrap, 46, 1016, bea2195ac3106b3e44f7a3f4d63203ce27392e41, 2016-01-25 00:00:00, 0, 6, 0, 0
Android-Bootstrap, 46, 947, 2249f5c8236022f07b11d073de13e4d3d36394fd, 2016-02-27 00:00:00, 0, 8, 0, 0
Android-Bootstrap, 46, 885, d21ad2b568c3cfe9b3910ce3510908677a23b5e1, 2016-03-14 00:00:00, 0, 12, 0, 0
Android-Bootstrap, 46, 821, 0ab0a2d701650dfb8126a0b5fba57480e8075a7d, 2016-04-11 00:00:00, 0, 14, 0, 0
Android-Bootstrap, 46, 754, 55e02c482933126bef5f9179d63718a6b5c90f9b, 2016-06-01 00:00:00, 0, 16, 0, 0
Android-Bootstrap, 46, 684, 430e6b7e3d42119568f1c54d1c21333cf6a31bae, 2016-06-25 00:00:00, 0, 16, 0, 0
Android-Bootstrap, 46, 620, 0ff3a82719284ecc71f9cb48df0f6ba752077a4a, 2016-07-02 00:00:00, 0, 16, 0, 0
Android-Bootstrap, 46, 294, d5f6899b06cd5cea4b5ad42ceb2abc0ba26e9f11, 2016-12-12 00:00:00, 0, 16, 0, 0
Android-Bootstrap, 46, 46, 03d7d20223babb05bd1828ac857828f76c82da45, 2017-04-18 00:00:00, 0, 16, 0, 0
