Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
Android-CleanArchitecture, 77, 2060, 7c5d1208932e457a6528e00426191daeec54e917, 2014-09-01 00:00:00, 0, 48, 1, 0
Android-CleanArchitecture, 77, 2006, 50cb5a052b69bd4bc170bb70387d8b80bcab12f1, 2014-09-05 00:00:00, 0, 48, 1, 0
Android-CleanArchitecture, 77, 1850, e993beacc51235f237542f0397eedc5b4d1c7483, 2014-12-24 00:00:00, 0, 50, 1, 0
Android-CleanArchitecture, 77, 1790, ec26a74f653ff6819732f25eeab5cfdd9a2c6c18, 2015-01-05 00:00:00, 0, 50, 1, 0
Android-CleanArchitecture, 77, 1732, 59e60c1e0f68d001a9f514b51497c5c9717195a4, 2015-02-28 00:00:00, 0, 50, 1, 0
Android-CleanArchitecture, 77, 1673, 8ed37ce3c4e03eca994719283ba1a12b4207f65d, 2015-03-23 00:00:00, 0, 50, 1, 0
Android-CleanArchitecture, 77, 1603, c3e953ed1659c50736d0fee650be6f6e624e83b1, 2015-04-30 00:00:00, 0, 24, 1, 0
Android-CleanArchitecture, 77, 1537, dd6c2af307e57c52f5a7b16eeed2625c3b562622, 2015-05-08 00:00:00, 0, 24, 1, 0
Android-CleanArchitecture, 77, 1469, 856c94f86e5cba1e8e0f3a01e035ef5b061789db, 2015-07-02 00:00:00, 2, 24, 1, 0
Android-CleanArchitecture, 77, 1407, 521793b2dd6ef280ec81166d20308cb2855b2b31, 2015-07-25 00:00:00, 2, 22, 1, 0
Android-CleanArchitecture, 77, 1344, b18eef8328b0220e0ece8245dc20a845db945abf, 2015-08-31 00:00:00, 2, 22, 1, 0
Android-CleanArchitecture, 77, 1278, 9653a5389abdb263aa81bccb55ae1dd7a1a73fd2, 2015-09-27 00:00:00, 2, 22, 1, 0
Android-CleanArchitecture, 77, 1211, 3ab3df2f81b4dc9c3b076940f4fecb1b5b3dfded, 2015-10-22 00:00:00, 2, 22, 1, 0
Android-CleanArchitecture, 77, 1142, 5e8dbbae0049491786a461ec1bce1906252f8777, 2015-11-24 00:00:00, 5, 16, 1, 0
Android-CleanArchitecture, 77, 1080, a5bf4492be61b4263ad1d75456baed7a7cbe38a4, 2015-12-06 00:00:00, 5, 16, 1, 0
Android-CleanArchitecture, 77, 1017, ee50c079b4d60e5545f2d50cf1eb167e75d1c2c8, 2016-01-31 00:00:00, 5, 16, 1, 0
Android-CleanArchitecture, 77, 948, 1f7a436a29f8b7133f7dea4256e8e62216ceb678, 2016-02-22 00:00:00, 5, 16, 1, 0
Android-CleanArchitecture, 77, 886, eb54120a53635d0a83b5d1d2e9ec1f17e2a5f912, 2016-03-10 00:00:00, 5, 16, 1, 0
Android-CleanArchitecture, 77, 756, fcdcedfa535a2b63c755ee517eeef53e582ed42c, 2016-05-22 00:00:00, 5, 16, 1, 0
Android-CleanArchitecture, 77, 687, 51e57bd62108348841ddd70324dd73f47d7bd70b, 2016-07-01 00:00:00, 5, 16, 1, 0
Android-CleanArchitecture, 77, 622, 4026deb29ca4ca7cb2bc50e93aebbc01118c3002, 2016-08-01 00:00:00, 3, 16, 1, 0
Android-CleanArchitecture, 77, 486, 076b4c794316b0e8c0542a7f51fbb38d3d679bca, 2016-09-22 00:00:00, 3, 16, 1, 0
Android-CleanArchitecture, 77, 296, aaa21c1b7cb4dc7b80a4da7f0552036bcb7ff40e, 2016-12-26 00:00:00, 3, 16, 1, 0
Android-CleanArchitecture, 77, 233, ae30300e1c2b1edbb096ad42ae66fc34c4979bb1, 2017-01-08 00:00:00, 3, 16, 1, 0
