Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
AndroidSlidingUpPanel, 86, 2730, a8237ae2a1b4626b57e0ef9a165f9533b89f118d, 2013-05-31 00:00:00, 0, 2, 0, 0
AndroidSlidingUpPanel, 86, 2648, 487ade52d7d3ce254597eb164eff1212365746cf, 2013-07-25 00:00:00, 0, 2, 0, 0
AndroidSlidingUpPanel, 86, 2600, 40415d524d7c6c947e393d98ce44af4fa4af27c8, 2013-08-28 00:00:00, 0, 2, 0, 0
AndroidSlidingUpPanel, 86, 2558, e50cc782de34f3d8e5bfc42ba5b18d20687ca26b, 2013-09-26 00:00:00, 0, 2, 0, 0
AndroidSlidingUpPanel, 86, 2514, 1361a8563c555ddb14a83d2f7d4009e025ac43be, 2013-10-10 00:00:00, 0, 2, 0, 0
AndroidSlidingUpPanel, 86, 2468, 5268c1453496eef8005214ae98ee5fe837011168, 2013-11-29 00:00:00, 0, 2, 0, 0
AndroidSlidingUpPanel, 86, 2424, b1953ee97e8c86c909e1966ce426f7e19ea68ed8, 2013-12-26 00:00:00, 0, 4, 0, 0
AndroidSlidingUpPanel, 86, 2382, 97f02e80292bcb8794016b3ee59c2764a530aa1e, 2014-01-30 00:00:00, 0, 6, 0, 0
AndroidSlidingUpPanel, 86, 2337, 5a48225481264c51d39799c4c0941ad9b9a5ae97, 2014-02-22 00:00:00, 0, 6, 0, 0
AndroidSlidingUpPanel, 86, 2289, e2c07aedcff429683c787177175e83e0da8a9b08, 2014-03-26 00:00:00, 0, 6, 0, 0
AndroidSlidingUpPanel, 86, 2241, 1fa41bf3e023ffd8e58b6043995194191177a2cb, 2014-04-30 00:00:00, 0, 6, 0, 0
AndroidSlidingUpPanel, 86, 2191, 353dbf9efab0c98f94afa8339b9cacc7cafc4879, 2014-05-28 00:00:00, 0, 6, 0, 0
AndroidSlidingUpPanel, 86, 2148, dba7370a99bab65d57158063a179732ae9e658b9, 2014-06-30 00:00:00, 0, 6, 0, 0
AndroidSlidingUpPanel, 86, 2099, cf2fd60932818947204b614bd85d6ab5f3180958, 2014-07-08 00:00:00, 0, 6, 0, 0
AndroidSlidingUpPanel, 86, 2050, 11f796e142ebad58a3426cb1201ceb47f21a87f3, 2014-08-28 00:00:00, 0, 6, 0, 0
AndroidSlidingUpPanel, 86, 1994, c083c844125725c949a4625b9ac1c6b1f3a22a6a, 2014-09-03 00:00:00, 0, 6, 0, 0
AndroidSlidingUpPanel, 86, 1946, 7776d1ad68615dda55cd5325c52caa6e5bc23f01, 2014-10-31 00:00:00, 0, 6, 0, 0
AndroidSlidingUpPanel, 86, 1895, 1b6109cbce4db7aa92b3af51efcfa8a8be335941, 2014-11-01 00:00:00, 0, 8, 0, 0
