Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
AndroidSwipeLayout, 69, 2059, e89391e992e10760667bb8ce116601eac1356853, 2014-08-31 00:00:00, 0, 36, 0, 0
AndroidSwipeLayout, 69, 2004, 1c4dfcc9854ca34f9f8ca513a9d47c58be25ad59, 2014-09-27 00:00:00, 0, 38, 0, 0
AndroidSwipeLayout, 69, 1848, df48a3c3871ce429b1604b67ea41418ca85e78a5, 2014-12-26 00:00:00, 0, 44, 1, 0
AndroidSwipeLayout, 69, 1788, b97facaeeccae4322a1ceb58c3de7f6388faa18d, 2015-01-31 00:00:00, 0, 48, 0, 0
AndroidSwipeLayout, 69, 1729, 9ca31ac50fbb2b3ce6bbca8595decd082e9d5b0e, 2015-02-22 00:00:00, 0, 56, 1, 0
AndroidSwipeLayout, 69, 1670, 304176518770a580ea5444ad49568a98cf9aa740, 2015-03-22 00:00:00, 0, 56, 1, 0
AndroidSwipeLayout, 69, 1600, be8b5d483ebb9ec10025bbc7e0b6f38b2a4a4013, 2015-04-30 00:00:00, 0, 70, 1, 0
AndroidSwipeLayout, 69, 1535, 0734b92f88e246e1c848bb5f6121e624c4d33dfa, 2015-05-29 00:00:00, 0, 70, 1, 0
AndroidSwipeLayout, 69, 1467, 6f6498e549733e49dba2f6808c2ddeb218d1ac3e, 2015-06-11 00:00:00, 0, 70, 1, 0
AndroidSwipeLayout, 69, 1405, 14b67ac74a0f4e261cc985e48d47448a1ddb2a50, 2015-07-21 00:00:00, 0, 70, 1, 0
AndroidSwipeLayout, 69, 1342, f66ac6942b066c46a6f2a3db951f3e99740160e7, 2015-08-30 00:00:00, 0, 70, 1, 0
AndroidSwipeLayout, 69, 1015, d7a5759784c7399a1cbfe9b62c9fa6d0f257ab52, 2016-01-05 00:00:00, 0, 70, 1, 0
AndroidSwipeLayout, 69, 110, 2d6d44fb936a49ff34fcf8a8068530c325a67ea0, 2017-03-09 00:00:00, 0, 70, 1, 0
