Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
AndroidViewAnimations, 74, 2122, da680a8ed683f94ef27d831b3d5ea0f0b016311c, 2014-06-27 00:00:00, 0, 6, 0, 0
AndroidViewAnimations, 74, 2075, bc14e60330c684a10f324698edcdc09fc59723a4, 2014-07-15 00:00:00, 0, 6, 0, 0
AndroidViewAnimations, 74, 2024, d01bc1eb07ca6d80f07f488255e21dcfa798b1d8, 2014-08-28 00:00:00, 0, 12, 0, 0
AndroidViewAnimations, 74, 1972, 8b41ec8cc1e2218b071790da0c2dd87707076f77, 2014-09-07 00:00:00, 0, 12, 0, 0
AndroidViewAnimations, 74, 1866, 3381263f253ffa86c6662e03424feed780ac82ff, 2014-11-20 00:00:00, 0, 12, 0, 0
AndroidViewAnimations, 74, 1809, 025e7a7d8a3b25764889267b0488e02cff748d8e, 2014-12-29 00:00:00, 0, 12, 0, 0
AndroidViewAnimations, 74, 1622, 2ba1f66a8221a27b68d1bbf46c5c867c69e8ec63, 2015-03-20 00:00:00, 0, 12, 0, 0
AndroidViewAnimations, 74, 1491, 0dddce4f93e331683e5f011b3f454936f60d1c22, 2015-05-04 00:00:00, 0, 20, 0, 0
AndroidViewAnimations, 74, 902, 143c421697351c5fe867fe22a35c8b71c5808a2f, 2016-02-16 00:00:00, 0, 20, 0, 0
AndroidViewAnimations, 74, 505, 3811501d5ae511e9e623da7ad20d3f9f2875f293, 2016-08-15 00:00:00, 0, 20, 0, 0
AndroidViewAnimations, 74, 249, 0406a93b4655ad5c584315eb3577d242481449e5, 2016-12-28 00:00:00, 0, 20, 0, 0
AndroidViewAnimations, 74, 132, 89b980a4dcd437f28c1a983e91ce1c336f839c61, 2017-02-21 00:00:00, 0, 22, 0, 0
