Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
AppIntro, 76, 1449, 37e6ba0bc02e934e559e090c0e947424f876052a, 2015-07-01 00:00:00, 0, 14, 0, 0
AppIntro, 76, 1386, dc38f084de60b5cd62bae57f75876cc4cbe5732c, 2015-07-30 00:00:00, 0, 14, 0, 0
AppIntro, 76, 1324, 6a90ec8834de51b386b9e556511bd7bc40ba5f25, 2015-08-29 00:00:00, 0, 14, 0, 0
AppIntro, 76, 1257, 0877fe1ae368d48cf61a2d90f78290bbc1518ea0, 2015-09-23 00:00:00, 0, 14, 0, 0
AppIntro, 76, 1189, 4a2987415ddd65cba657b6a2c1e59966a0d47808, 2015-11-01 00:00:00, 0, 14, 0, 0
AppIntro, 76, 1124, 4f0923751740e4238d5b815dcfa966676126e05a, 2015-11-30 00:00:00, 0, 14, 0, 0
AppIntro, 76, 1058, 3526a6989af4c1f969e95342a6d6b9ff58cd7154, 2015-12-31 00:00:00, 0, 14, 0, 0
AppIntro, 76, 994, eba3b84e580abc6809e43d80b69801e66800c991, 2016-01-25 00:00:00, 0, 14, 0, 0
AppIntro, 76, 925, 38c14aad2a5d3c2753c8cb3956e1b3963354e0c0, 2016-02-26 00:00:00, 0, 14, 0, 0
AppIntro, 76, 865, 576392ede3882ecaf28871656f784a1d422bea6d, 2016-03-27 00:00:00, 0, 14, 0, 0
AppIntro, 76, 800, ce34c07d2505e3a3ae2ff413c1131dc2aa9fa606, 2016-04-22 00:00:00, 0, 6, 0, 0
AppIntro, 76, 734, b699738a8adba77f07beaa64231acb89e4bb7410, 2016-05-30 00:00:00, 0, 6, 0, 0
AppIntro, 76, 664, 64ca29b125f11cb9fdd19c5ed596ecedb3475274, 2016-06-29 00:00:00, 0, 6, 0, 0
AppIntro, 76, 600, 41b93bf2b9a482b9b9c2432ef2fe5ea76f354084, 2016-07-11 00:00:00, 0, 6, 0, 0
AppIntro, 76, 533, 10183f82ad2e720d136724d3bf4f7b140e20edd9, 2016-08-31 00:00:00, 0, 8, 0, 0
AppIntro, 76, 466, dccf9b31b14fb7488b2471c3eeda1a895b0cb81a, 2016-09-30 00:00:00, 0, 8, 0, 0
AppIntro, 76, 402, 57dac33682597f8810ed5e69ac4b8ce090515ec2, 2016-11-01 00:00:00, 0, 8, 0, 0
AppIntro, 76, 340, 025673c679b4c606731dda16cb148de482a06f66, 2016-11-30 00:00:00, 0, 28, 0, 0
AppIntro, 76, 275, 99da5664ca2cacfdb0b2fcb131a8a17baafcb717, 2016-12-30 00:00:00, 0, 28, 0, 0
AppIntro, 76, 217, 92a5b6de8f051707a4575c0d3b2aae37370a8bcb, 2017-01-15 00:00:00, 0, 28, 0, 0
AppIntro, 76, 160, 7cffb7c40744b0027729aa86995accd839a80a02, 2017-02-19 00:00:00, 0, 28, 0, 0
