Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
BottomBar, 11, 849, a94daba00f545a39637322b52d3233926a95b734, 2016-04-01 00:00:00, 0, 16, 0, 0
BottomBar, 11, 784, de1c37879a3842d8b8f1ea644e83bf043b62169a, 2016-04-25 00:00:00, 0, 20, 0, 0
BottomBar, 11, 717, f7fb6562997d63b8a7bb74c38bd304c62fbbe2b7, 2016-05-31 00:00:00, 0, 20, 0, 0
BottomBar, 11, 648, 492fa29ccf892ae6c3bfc0b3cccc2fd0c58b6b1e, 2016-06-28 00:00:00, 0, 28, 0, 0
BottomBar, 11, 582, e624de957390ff6e92d414760764aa1e2a91bb18, 2016-07-26 00:00:00, 0, 38, 0, 0
BottomBar, 11, 513, ef0dffd8efed848d31f473ed7ccb6b0683797624, 2016-08-31 00:00:00, 0, 34, 0, 0
BottomBar, 11, 447, 8de557934396c626ec8a94716c8b0764685c4208, 2016-09-23 00:00:00, 0, 34, 0, 0
BottomBar, 11, 384, adf8513681f85cf0ea51aac0d6ec816743539ee1, 2016-10-22 00:00:00, 0, 34, 0, 0
BottomBar, 11, 320, 416679b7039fa9333373fc912d36404e2064ecc5, 2016-11-18 00:00:00, 0, 34, 0, 0
BottomBar, 11, 200, 338ee864392087f0233ef42765730e00810cd020, 2017-01-16 00:00:00, 0, 48, 0, 0
BottomBar, 11, 76, c7e0fb5e6a6ef745f171e2b29c4a6e488d1652ae, 2017-03-25 00:00:00, 0, 54, 0, 0
BottomBar, 11, 11, 18f829040653fbee31337d4634c3e0005f87f4bd, 2017-04-13 00:00:00, 0, 58, 0, 0
