Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
Calligraphy, 79, 2418, 69e90be5a2fc94a8a0ffdb0b6fe384116d608f52, 2013-12-30 00:00:00, 0, 0, 0, 0
Calligraphy, 79, 2376, 3795e23b1e1ddb741de3759314d4be28ba59be13, 2014-01-29 00:00:00, 0, 0, 0, 0
Calligraphy, 79, 2331, fdc672425864d849b27e521e1fc0911bcd609ed0, 2014-02-19 00:00:00, 0, 0, 0, 0
Calligraphy, 79, 2283, e6904ab1e5c5fc1182f14742d2fd5e9ca3c34c8d, 2014-03-28 00:00:00, 0, 0, 0, 0
Calligraphy, 79, 2235, 4c75743f95c894d79f48691d70cd34fae79e69d8, 2014-04-22 00:00:00, 0, 0, 0, 0
Calligraphy, 79, 2186, 588cf739983166f4a61436d464c18727226bd3e5, 2014-05-30 00:00:00, 0, 6, 0, 0
Calligraphy, 79, 2094, fa447aa4177c6038ccd5c5039e9df9101bc069cc, 2014-07-26 00:00:00, 0, 6, 0, 0
Calligraphy, 79, 2045, 73183c186598959bcc13c403ba14f6775eed5b46, 2014-08-25 00:00:00, 0, 6, 0, 0
Calligraphy, 79, 1941, 21b12232d9dcef07c3ffaaa9cddfb2a039011f9c, 2014-10-31 00:00:00, 0, 8, 0, 0
Calligraphy, 79, 1888, 15bcf8b9a9b09ea4fe793eecb86ed5b67cc9572b, 2014-11-30 00:00:00, 0, 8, 0, 0
Calligraphy, 79, 1832, 5efd9550c3b317daf8e021fbe248327e67ce2fab, 2014-12-30 00:00:00, 0, 8, 0, 0
Calligraphy, 79, 1772, 7636773360faf794bb63189c45f443d31a4bd4be, 2015-01-28 00:00:00, 0, 8, 0, 0
Calligraphy, 79, 1713, 8d107fb8c39bad6eaa28813fee3b7b73365006e2, 2015-02-09 00:00:00, 0, 8, 0, 0
Calligraphy, 79, 1649, d9b046aad4186e555f6f64ca5a235592196e8cd4, 2015-03-19 00:00:00, 0, 8, 0, 0
Calligraphy, 79, 1580, e8fd3264a4a4b8ee5976d7c5d7ae9cc846a1a088, 2015-04-27 00:00:00, 0, 8, 0, 0
Calligraphy, 79, 1387, 06647844007e99d22f3354304bfc04feef9de187, 2015-07-16 00:00:00, 0, 8, 0, 0
Calligraphy, 79, 1325, 66c0d4a4aa4ac4c67c73f2f6bbb1d5073c3a46f7, 2015-09-01 00:00:00, 0, 8, 0, 0
Calligraphy, 79, 1258, 292714b4e000059087d07626177b28631960e5f9, 2015-09-29 00:00:00, 0, 8, 0, 0
Calligraphy, 79, 1190, 417120b5ec1f48bf85b84e527451755d92fd08ca, 2015-10-12 00:00:00, 0, 8, 0, 0
Calligraphy, 79, 1059, 07e89f994fe781d516d8f6f1bf1f501f469e67b3, 2015-12-30 00:00:00, 0, 10, 0, 0
Calligraphy, 79, 995, 65b45273220fa50663afed5c2b21413b00706d2a, 2016-01-29 00:00:00, 0, 10, 0, 0
Calligraphy, 79, 926, cb08df49e23c66df1d01eaed718104a0ca772680, 2016-02-28 00:00:00, 0, 10, 0, 0
Calligraphy, 79, 866, 9b48a9467819db04947a6b6afcfaea0b7f6c9ca1, 2016-03-23 00:00:00, 0, 10, 0, 0
Calligraphy, 79, 801, 5f2ef5a75e16c1ed9086b79387a8d812d6e9d893, 2016-04-30 00:00:00, 0, 10, 0, 0
Calligraphy, 79, 601, df1c07f82926831a5c47443bc49f9ff718a4c700, 2016-07-13 00:00:00, 0, 10, 0, 0
Calligraphy, 79, 467, 4de0a26f5ba7dee1422b8c0f787c9cc37a18e98b, 2016-09-19 00:00:00, 0, 10, 0, 0
Calligraphy, 79, 276, 397249014acbf7a06ec9ad464aa533d53128a99d, 2016-12-20 00:00:00, 0, 10, 0, 0
