Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
CircleImageView, 65, 2358, a56a7d920986e97cd6bc50b258512924a9912535, 2014-01-26 00:00:00, 0, 0, 0, 0
CircleImageView, 65, 2313, c1b3705252b879064ef560a059d854e4b2e13233, 2014-02-09 00:00:00, 0, 0, 0, 0
CircleImageView, 65, 2215, fc36cfcf55a93cf02fd35166600738ea2e1e9634, 2014-04-23 00:00:00, 0, 0, 0, 0
CircleImageView, 65, 2121, bbeadc801e226df55a9e27ac5c3233f386e7d593, 2014-06-01 00:00:00, 0, 0, 0, 0
CircleImageView, 65, 2074, e8428bf9876129d511bc0e96157f2d8ee95af733, 2014-07-15 00:00:00, 0, 0, 0, 0
CircleImageView, 65, 2023, b364fb44a1b5f0d4ebd6ac65b3985bca93901b21, 2014-08-11 00:00:00, 0, 0, 0, 0
CircleImageView, 65, 1865, 8af308b6e19e907f8501bf308e62a652d12f551c, 2014-11-17 00:00:00, 0, 0, 0, 0
CircleImageView, 65, 1748, ea5eac656505578ddc08990775e626b8bb6550d5, 2015-01-24 00:00:00, 0, 0, 0, 0
CircleImageView, 65, 1688, 6da865ee72c6c317d1ec5eea6d6dc90ca56e0614, 2015-02-25 00:00:00, 0, 0, 0, 0
CircleImageView, 65, 1621, 969a7ee74c26dfca311048ed09e96a23588539aa, 2015-03-04 00:00:00, 0, 0, 0, 0
CircleImageView, 65, 1556, 4772d31dbea409a9af2e7222eb1b451772d56180, 2015-04-28 00:00:00, 0, 0, 0, 0
CircleImageView, 65, 1490, 7c20cf09aca9116710799f96452d80fb57e21ebd, 2015-05-25 00:00:00, 0, 0, 0, 0
CircleImageView, 65, 1232, 6caafd60c71f885cd2c58c08e9063591bab2c77a, 2015-09-20 00:00:00, 0, 0, 0, 0
CircleImageView, 65, 968, dd083c7e1157897e46d90c475013e3f8d983d1be, 2016-01-30 00:00:00, 0, 0, 0, 0
CircleImageView, 65, 775, 661381f39b72aba22ce7bd9d71ee523e4fcf7c77, 2016-05-01 00:00:00, 0, 0, 0, 0
CircleImageView, 65, 706, f98b11c3867b5ad28b66717e6149fe4e86fe6f8b, 2016-05-16 00:00:00, 0, 0, 0, 0
CircleImageView, 65, 573, 86560980639500ae54361a9d5e582d8ee24214b6, 2016-07-03 00:00:00, 0, 0, 0, 0
CircleImageView, 65, 192, 6791585fccbb0fd8ad7ad0a3cffa3020cdb81367, 2017-01-21 00:00:00, 0, 0, 0, 0
CircleImageView, 65, 67, 7fd3573507e345da6d7a295c763f55afc852b481, 2017-03-13 00:00:00, 0, 0, 0, 0
