Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
ExoPlayer, 12, 2128, 273fad845e5d8e3b3d21d2f4c14adc197fe1d844, 2014-06-24 00:00:00, 0, 58, 0, 0
ExoPlayer, 12, 2081, ef6be7957df4911e2eef6aa92aedd459e78ab42e, 2014-07-28 00:00:00, 0, 58, 0, 0
ExoPlayer, 12, 2030, 79c2f535c6f811361c9ffa674de4a5dba2120b85, 2014-08-14 00:00:00, 0, 58, 0, 0
ExoPlayer, 12, 1978, e99aaa4d67606183026228da78d258c45e25d8ec, 2014-09-29 00:00:00, 0, 58, 0, 0
ExoPlayer, 12, 1928, 4c146ee28d6a867a08b850f10d2be0b6051b1298, 2014-10-28 00:00:00, 0, 58, 0, 0
ExoPlayer, 12, 1874, b9f32539247e70bbb3d3472c4116dc179b0950f8, 2014-11-27 00:00:00, 0, 60, 1, 0
ExoPlayer, 12, 1816, e8a8c49a97d5cc56e2e8fb4c5e9b6cb00fcc77c1, 2014-12-23 00:00:00, 0, 56, 1, 0
ExoPlayer, 12, 1757, e33e1d79227913b2b234364f53c946679af50722, 2015-01-27 00:00:00, 0, 56, 1, 0
ExoPlayer, 12, 1696, b03c8a713b4d94a135b2c487223e043afd40724d, 2015-02-28 00:00:00, 0, 68, 1, 0
ExoPlayer, 12, 1631, fcc2138e9fc41a1a21614caca54bac16a1fa8d07, 2015-03-31 00:00:00, 0, 96, 2, 0
ExoPlayer, 12, 1565, 26c5461b100cd4438f554d09007fd343e1fef7f3, 2015-04-24 00:00:00, 0, 78, 0, 0
ExoPlayer, 12, 1500, 02d5cb8109d71e9883b3abd5c748c595cb1f215c, 2015-05-29 00:00:00, 0, 76, 0, 0
ExoPlayer, 12, 1434, ead8abf09f48149b7b69b3471eaa256ff57614f2, 2015-06-30 00:00:00, 0, 98, 0, 0
ExoPlayer, 12, 1371, 1a5d12359df09de6fc20fee74bcf3e3a98881208, 2015-07-30 00:00:00, 0, 98, 0, 0
ExoPlayer, 12, 1308, 0c968703c829db38855c480c2ae760cae87dfd70, 2015-09-01 00:00:00, 0, 100, 0, 0
ExoPlayer, 12, 1243, 5b81612c3b63aa19262c1e87960d4d61477ba721, 2015-10-01 00:00:00, 0, 102, 0, 0
ExoPlayer, 12, 1174, a679e39ab76a4d471bca4be3e177b2edfa182fe6, 2015-10-30 00:00:00, 0, 104, 0, 0
ExoPlayer, 12, 1108, f752a023c81ef2b19b389f5d6b616724233ad83d, 2015-11-30 00:00:00, 0, 104, 0, 0
ExoPlayer, 12, 1044, f4c10dc560fbe46a4fee8bea9b6d7079d3e03ed0, 2015-12-17 00:00:00, 0, 104, 0, 0
ExoPlayer, 12, 979, 39a7cea987e4d19a5d5f1818146ac53da03ae0f3, 2016-01-22 00:00:00, 0, 106, 0, 0
ExoPlayer, 12, 649, 4fe6e5d7552804a826e92d55cce2e247399306af, 2016-06-15 00:00:00, 0, 96, 0, 0
ExoPlayer, 12, 583, 846f8e1d4685822d4816504127be1b3f4656b886, 2016-07-28 00:00:00, 0, 110, 1, 0
ExoPlayer, 12, 514, 26fe1dc2384902ba3f3b5c36afca03162fc0dc0d, 2016-09-01 00:00:00, 0, 112, 1, 0
ExoPlayer, 12, 448, f8a8302f7bbcb47997095bd97b086eb633e49972, 2016-09-30 00:00:00, 0, 156, 1, 0
ExoPlayer, 12, 385, 488c2d82708fcd547a5a0b19bd56160914ed8567, 2016-10-31 00:00:00, 0, 152, 1, 1
ExoPlayer, 12, 321, e803bff2b1438af13717065c0c037a64c406b252, 2016-12-01 00:00:00, 0, 154, 1, 2
ExoPlayer, 12, 256, 8804ecded40be1ef52328d8321fccb11b179fdcc, 2016-12-21 00:00:00, 0, 154, 1, 2
ExoPlayer, 12, 201, 25a966dc2300161448fa74dee5ee98322ff65604, 2017-01-31 00:00:00, 0, 164, 0, 2
ExoPlayer, 12, 141, a9079f67aa031649edfa7427e0fa96bf65efa1ac, 2017-02-28 00:00:00, 0, 166, 0, 2
ExoPlayer, 12, 77, 757999758b7f77e6d3553d6b50e7ca87215355c5, 2017-03-31 00:00:00, 0, 170, 0, 2
ExoPlayer, 12, 12, d979469659861f7fe1d39d153b90bdff1ab479cc, 2017-04-26 00:00:00, 0, 174, 0, 2
