Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
FizzBuzzEnterpriseEdition, 73, 2790, fe2167fd741e67d227abcbb0ac0d55381abe71c3, 2013-03-22 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 2751, d86974e6d757020ba86a7c5087b4036f01c28d6e, 2013-04-12 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 2708, 5a545cb37e43055110c80ce4ff71d69fb9009978, 2013-05-08 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 2626, c83b5d460b19bd199f7ead582997d8e0c42c19d6, 2013-07-18 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 2579, 2fd773ce300cd8126cb5f183bbe2f0943ae8290b, 2013-08-29 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 2537, 38fd073b38cdca0f288f6f420e28d094152b0bef, 2013-09-25 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 2312, 32b6a7e19463f21964f09f784031a61cf9cadb70, 2014-02-21 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 2263, cb0f49c877632fe80775024c22df824a5dc87bbe, 2014-03-25 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 2073, 77de767ce86d05415b489d8e4d164ff74e53eae4, 2014-07-22 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 2022, 60925e24f2326f37b4887701ec6efdd05648721f, 2014-08-22 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 1971, a26369b6d817cdeba0bf858247f02d1586166dfd, 2014-09-10 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 1923, 246c54e85738d52e7fd20aebb595e013de2b00d5, 2014-10-03 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 1808, a7d1356b8ee1c93855e33df5d641565daa1f2d50, 2014-12-22 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 1620, ccee75903d0f766b8cb1edb17c9fdccb65b958d9, 2015-03-30 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 1555, 27e040318cdbe460fe08f50659402a428041879b, 2015-04-22 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 1488, 301d500de8bf82c789cf93bdc01a286bf70d9491, 2015-05-26 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 1362, 10d080f646bd824dba33b3a426bb9c27bbbb758c, 2015-07-20 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 1297, 6e9ce2e9b516940dc551847f188818563409e340, 2015-08-28 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 1161, 44c8251e4ebc8056b3f516cad3da4b2683d6c0f2, 2015-10-30 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 1097, 9bcd20f23ead64b4c958cf0abe499d0e88127db4, 2015-11-13 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 965, 4ed799fcfdd1f1067e76dc91919ae390e5d3f889, 2016-01-29 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 571, 4307c8a52baf3da8d5bbf8c5a91b852925178ef7, 2016-08-01 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 503, f98ec95911ed319809e915754c872f90dc194408, 2016-09-01 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 372, c386ab8ab6ff4da2607ce11c57fcac54780e0c9a, 2016-10-20 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 310, 6880465e246b33c744b6480156ad8769cac6b910, 2016-11-30 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 190, 4590711773475a09f3dbe8c603c02ca5a01af280, 2017-01-07 00:00:00, 0, 0, 0, 0
FizzBuzzEnterpriseEdition, 73, 130, cdfac751e51e18607b67d6ca3794a8d703863aa9, 2017-02-04 00:00:00, 0, 0, 0, 0
