Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
Hystrix, 36, 2928, 101cd6b38437f98736d25794eb72075ee27cff22, 2012-12-30 00:00:00, 0, 294, 2, 0
Hystrix, 36, 2890, af5adeb594b196d72266c43c5879ca345581860d, 2013-01-29 00:00:00, 0, 294, 2, 0
Hystrix, 36, 2852, 3f6987deb9dc99ecdc5e3f1cf70702eb4a87f10b, 2013-02-28 00:00:00, 0, 310, 2, 0
Hystrix, 36, 2813, 1a32199c225433c08adedc46d5b17ddb9f994669, 2013-03-30 00:00:00, 0, 328, 2, 0
Hystrix, 36, 2773, e2f5968873499835cb67b26ab52ebbbb1522ba2c, 2013-04-16 00:00:00, 0, 328, 2, 0
Hystrix, 36, 2732, 16b004bbfc59898f24fa3e8c906ba4a3468a3dfb, 2013-05-16 00:00:00, 0, 328, 2, 0
Hystrix, 36, 2691, e8f1e1692a0140410a69fe5699ade5cf050eefca, 2013-06-28 00:00:00, 0, 370, 2, 0
Hystrix, 36, 2649, 081fc06c97dc12b14be77575ef1478b96ee54fa3, 2013-07-30 00:00:00, 0, 370, 2, 0
Hystrix, 36, 2602, 99cd8b350d6c329508b78519f1507b45253f3d47, 2013-08-31 00:00:00, 0, 378, 4, 0
Hystrix, 36, 2560, c73ab84ab4e4c938fb5003c1f3fe6c2467d60128, 2013-09-26 00:00:00, 0, 382, 4, 0
Hystrix, 36, 2515, 34b0bab91301dc792c45f1e61fa9215c723632ed, 2013-10-03 00:00:00, 0, 384, 4, 0
Hystrix, 36, 2470, e22d3ed9a64e8259ef5158f20643d7385e969b35, 2013-11-24 00:00:00, 0, 484, 4, 0
Hystrix, 36, 2383, 00e4064dfaaadfbea8463b14ef222abf19fd9098, 2014-01-28 00:00:00, 0, 384, 4, 0
Hystrix, 36, 2338, 999e7d37ec9b1c92d57e2ff74153093b6b8c8739, 2014-02-28 00:00:00, 0, 564, 4, 0
Hystrix, 36, 2290, b68689b36e583e62737296869a7d1bf45f0be0d6, 2014-03-31 00:00:00, 0, 720, 4, 0
Hystrix, 36, 2243, a3724bc953f99fe2034cca892d2a7e336467354a, 2014-04-30 00:00:00, 0, 728, 4, 0
Hystrix, 36, 2193, 063394b4b349f6fea59713d89cf1aae04982ec99, 2014-05-19 00:00:00, 0, 748, 4, 0
Hystrix, 36, 2150, 908a9a061faf24aab5bf7920b19ea970f4f32620, 2014-06-09 00:00:00, 0, 748, 4, 0
Hystrix, 36, 2100, d3cc636e55e202649b72033356187609e5f4e173, 2014-07-29 00:00:00, 0, 748, 4, 0
Hystrix, 36, 2051, 9d9eb38338ef43da4c38bb397a3073a6f722ea65, 2014-08-27 00:00:00, 0, 756, 4, 0
Hystrix, 36, 1996, 62ac93f94c7248c2a5bac596344bac0f332fdf7f, 2014-09-25 00:00:00, 0, 924, 4, 0
Hystrix, 36, 1947, 9acbd362f0a4e0fcfe849d99f9594a54ea374aef, 2014-10-22 00:00:00, 0, 924, 4, 0
Hystrix, 36, 1897, 2137cb15bf6a7ff035f6434c218162c751eef740, 2014-11-27 00:00:00, 0, 924, 4, 0
Hystrix, 36, 1839, f40f9fe1edafa4adca177e37d4fdd0a3ed1516e9, 2014-12-31 00:00:00, 0, 752, 4, 0
Hystrix, 36, 1780, 68b79de7b92be391b8e705359d3db4f2131f9701, 2015-01-27 00:00:00, 0, 1148, 3, 0
Hystrix, 36, 1722, eccf1923646ae6d53aec8e7230817901866ac9a7, 2015-02-24 00:00:00, 0, 1098, 3, 0
Hystrix, 36, 1658, eb4002e1f72bc249c37373c3cfd00686f9227b55, 2015-03-29 00:00:00, 0, 1098, 6, 0
Hystrix, 36, 1588, 99e3172a767129fbfd83acda0d2cffb10dcb7976, 2015-04-30 00:00:00, 0, 1104, 7, 0
Hystrix, 36, 1523, 0a1acee069a933663ae4cdf57a155d3dcfb3ecb2, 2015-05-31 00:00:00, 0, 1110, 6, 0
Hystrix, 36, 1456, 990394e98ba7472b96d90d7246e785d0966ade9a, 2015-06-21 00:00:00, 0, 1110, 6, 0
Hystrix, 36, 1395, dfb2be675375a2a93a1d1d55272ef34b78b28b43, 2015-07-30 00:00:00, 0, 1128, 6, 0
Hystrix, 36, 1332, a9b80bcf7a1d592d04ab26ae8f11863acd832858, 2015-08-25 00:00:00, 0, 1130, 6, 0
Hystrix, 36, 1266, 66318bc0fb6faa1ebef4a475bc9330185619cc0c, 2015-10-01 00:00:00, 0, 1134, 9, 0
Hystrix, 36, 1198, b8e3247cb948b694d61703371ad61e54917bf650, 2015-10-28 00:00:00, 0, 1118, 9, 0
Hystrix, 36, 1132, 1e99f76cbcf54fed32e8630efca25d6ad186d513, 2015-11-24 00:00:00, 0, 1132, 12, 0
Hystrix, 36, 1068, d6cbb711930bbc9890003e29f1696dbc5bfb1229, 2015-12-30 00:00:00, 0, 1176, 12, 0
Hystrix, 36, 1004, 8fc99b3c691480f2403a3cc7c4dd4bf881a4475e, 2016-02-01 00:00:00, 0, 1612, 13, 0
Hystrix, 36, 936, c280059bc932ff8950eee9ce9278d9355597eb8a, 2016-02-29 00:00:00, 0, 1630, 13, 0
Hystrix, 36, 876, 930ce5c91d8c2219023fad18356c7f869607234f, 2016-04-01 00:00:00, 0, 1646, 13, 0
Hystrix, 36, 811, 18fab29c234a68ebb23465f53b517e0f0e10044b, 2016-04-24 00:00:00, 0, 1646, 13, 0
Hystrix, 36, 744, d91cc7431fd44cb3d337c0e87e61d4c7ac4c6a2c, 2016-05-31 00:00:00, 13, 1916, 13, 0
Hystrix, 36, 672, 584f3622fccb9ea7aedabe2c402e19c208dda0d6, 2016-06-30 00:00:00, 15, 2022, 16, 0
Hystrix, 36, 611, b5d975c054c677c9c4f53804a6d6e7b2d233e961, 2016-07-29 00:00:00, 15, 2042, 19, 0
Hystrix, 36, 543, 13b4cde2a21a7e181e020ca8a0927033321cbcbc, 2016-09-01 00:00:00, 0, 2046, 19, 0
