Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
ListViewAnimations, 81, 2838, 5ff30351c6cf854c6d3e276126153f17f345a7c7, 2013-02-28 00:00:00, 0, 8, 1, 0
ListViewAnimations, 81, 2798, c6b2d8fb1c83b0cc08d5d92aa16834776505fb9b, 2013-03-25 00:00:00, 0, 22, 1, 0
ListViewAnimations, 81, 2759, d1a11f3a99120a27ecd591b434a16c49f0869b91, 2013-04-13 00:00:00, 0, 22, 1, 0
ListViewAnimations, 81, 2717, 07cc1e9f05d8970e27662e9657c9728b504890df, 2013-05-30 00:00:00, 0, 22, 1, 0
ListViewAnimations, 81, 2676, 378509547d55dba23ab65c447d1658f96b76f5b4, 2013-06-16 00:00:00, 0, 30, 1, 0
ListViewAnimations, 81, 2635, c69f0c76a99f5cdaa308bb7172881247015f9dfe, 2013-07-11 00:00:00, 0, 30, 1, 0
ListViewAnimations, 81, 2587, a67e895c2c524fbf6396f3a6aeed1ae7177e5169, 2013-08-30 00:00:00, 0, 30, 1, 0
ListViewAnimations, 81, 2544, a971c426248fa64209620a5838e059560ec6f47c, 2013-09-23 00:00:00, 0, 40, 1, 0
ListViewAnimations, 81, 2500, 065ab19903ecd761c3016c9f503ef6fa1b616967, 2013-10-29 00:00:00, 0, 42, 1, 0
ListViewAnimations, 81, 2454, 41089175d4805c4ac21fa7c712191c8c904251ba, 2013-11-27 00:00:00, 0, 44, 1, 0
ListViewAnimations, 81, 2410, 1457da4bbf962080bdbdcf3972f5bdda11946899, 2013-12-30 00:00:00, 0, 46, 1, 0
ListViewAnimations, 81, 2367, a71cdb647bc28fab4e3f67c471ad58b6a1955592, 2014-01-05 00:00:00, 0, 50, 1, 0
ListViewAnimations, 81, 2322, 543f093a77b61180061198c451187983c98f3d07, 2014-02-27 00:00:00, 0, 50, 3, 0
ListViewAnimations, 81, 2274, 4d81509e5546476e2783d6d8630711c76d0f3e0d, 2014-03-31 00:00:00, 0, 50, 3, 0
ListViewAnimations, 81, 2226, 60e3d59345356a192b36a0b1996149a8c605577c, 2014-04-28 00:00:00, 0, 40, 4, 0
ListViewAnimations, 81, 2177, da66024161f1f3dde41c5e09033ca09db34f2834, 2014-06-01 00:00:00, 0, 48, 4, 0
ListViewAnimations, 81, 2133, 513b5b4b6b91a654e9764ec5754815570ecd1b83, 2014-06-23 00:00:00, 0, 20, 3, 0
ListViewAnimations, 81, 2035, 4aa6dd2253c6132b121497cd3e729962f411d0d3, 2014-08-21 00:00:00, 0, 26, 2, 0
ListViewAnimations, 81, 1637, 25124c555c9d6ced81ce3e78b3d8a0e02fc274ce, 2015-03-16 00:00:00, 0, 26, 2, 0
ListViewAnimations, 81, 326, 23617960178fb5af3099c07996569cc305a40945, 2016-11-03 00:00:00, 0, 26, 2, 0
