Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
MPAndroidChart, 19, 2229, 08c94fc0f98e0b1bdb6a3fc49649d7770463e3dc, 2014-04-30 00:00:00, 0, 0, 1, 0
MPAndroidChart, 19, 2180, 9b2a3b4f6ace1e11f7b6e78ac852830c7b371267, 2014-05-30 00:00:00, 0, 0, 1, 0
MPAndroidChart, 19, 2136, 883c8b08ea9ebfab446ea59f8a42d803c1b53987, 2014-06-20 00:00:00, 0, 0, 2, 0
MPAndroidChart, 19, 2088, 4c201334d816311cffb5b2ef35e5cbb637f6d054, 2014-07-31 00:00:00, 0, 8, 2, 0
MPAndroidChart, 19, 2038, dfe3dd93cceffc8a2982a9152ffbe7d11aa8ecf7, 2014-08-31 00:00:00, 0, 4, 4, 0
MPAndroidChart, 19, 1984, f516b4587d899f4e0213e4ffd08ee390119c14b6, 2014-09-30 00:00:00, 0, 4, 4, 0
MPAndroidChart, 19, 1935, 22d855cee2d70d7b62f8559c826457b56b177287, 2014-10-30 00:00:00, 0, 4, 4, 0
MPAndroidChart, 19, 1881, 58b42df504b5b046002d29aee84de96a78667c04, 2014-11-27 00:00:00, 0, 4, 4, 0
MPAndroidChart, 19, 1825, 0e08509b0c7bfb94b74aef4edf5d43aac6ad03f2, 2014-12-31 00:00:00, 0, 4, 4, 0
MPAndroidChart, 19, 1764, f6ad237f6f1e760abefbb632685204afaf50dbb0, 2015-01-27 00:00:00, 0, 4, 4, 0
MPAndroidChart, 19, 1705, b622ea5561f91dcf3bab4aa0bb834884a888f8ed, 2015-03-01 00:00:00, 0, 8, 4, 0
MPAndroidChart, 19, 1641, 92d15d80bd5da3a2ec6819ebdc24bc9b2995caf8, 2015-03-30 00:00:00, 0, 8, 4, 0
MPAndroidChart, 19, 1573, fe9f904c351aa37b134e68add6560d48a3679c35, 2015-05-01 00:00:00, 0, 8, 4, 0
MPAndroidChart, 19, 1509, fde9ce83c608f6c218bc621c1f1203fa01512db3, 2015-05-31 00:00:00, 0, 8, 4, 0
MPAndroidChart, 19, 1442, 950d6a2354b7fcf643b586e856ac0218af21f96b, 2015-07-01 00:00:00, 0, 14, 4, 0
MPAndroidChart, 19, 1379, 3e17def76c9e3505fbc6b4af09b6be971d0e8193, 2015-08-01 00:00:00, 0, 14, 4, 0
MPAndroidChart, 19, 1317, f9d8e365f058922522e2feb912cdecc1d2acc886, 2015-08-27 00:00:00, 0, 14, 4, 0
MPAndroidChart, 19, 1250, 497beacf9a83e22164079cc2cfb4e88606f2fe1f, 2015-10-02 00:00:00, 0, 14, 4, 0
MPAndroidChart, 19, 1181, 16ffc975f94f79f55b5af56fe80951ed3c58a402, 2015-10-30 00:00:00, 0, 16, 4, 0
MPAndroidChart, 19, 1116, db1fc396efa47a1b33739c087274d8a03cb4be7a, 2015-11-26 00:00:00, 0, 16, 4, 0
MPAndroidChart, 19, 1051, c2fbd7ccf1c1c401ff6688d40d4bf876a12c9563, 2015-12-30 00:00:00, 0, 16, 6, 0
MPAndroidChart, 19, 987, f19b8e862af655a20ed301b273de80ad501a68c9, 2016-01-31 00:00:00, 0, 16, 6, 0
MPAndroidChart, 19, 919, a990ed79a2a513908a11f3eac828b6f419324a4f, 2016-03-01 00:00:00, 0, 16, 6, 0
MPAndroidChart, 19, 857, d976b79ed0df0a3c6e2e286331a6e8f6b6d8406f, 2016-04-01 00:00:00, 0, 16, 6, 0
MPAndroidChart, 19, 792, a002634d490e15e94984735b27a3afe11c4435c2, 2016-05-01 00:00:00, 0, 16, 7, 0
MPAndroidChart, 19, 725, 90dc54a6853e7e82262c6ffeda006994bbc23b46, 2016-06-01 00:00:00, 0, 16, 7, 0
MPAndroidChart, 19, 657, b5da8dcdb585ad94fefd837d07da638ca40aaa24, 2016-07-01 00:00:00, 0, 32, 5, 0
MPAndroidChart, 19, 591, 3ea1db57abb08780d6c0182480c3eda5a09050a9, 2016-07-16 00:00:00, 0, 32, 5, 0
MPAndroidChart, 19, 522, 01419f795bf87ecdbc90c1f61f9bffbad6c79952, 2016-08-31 00:00:00, 0, 32, 6, 0
MPAndroidChart, 19, 456, 6f1d365176251a70adee6da5da494ad43c0dd050, 2016-09-30 00:00:00, 0, 32, 6, 0
MPAndroidChart, 19, 393, 00f36054c79938e2cb6c0276df16ae10b42a6400, 2016-10-31 00:00:00, 0, 32, 7, 0
MPAndroidChart, 19, 331, 345b4bc97eb54526f1fb5c9c22768f47fa809449, 2016-11-19 00:00:00, 0, 32, 7, 0
MPAndroidChart, 19, 264, 30a331781f72f4217153b5d88b21bd191c58db8f, 2016-12-23 00:00:00, 0, 32, 7, 0
MPAndroidChart, 19, 149, 0c919ab02d5919ac3ac76c9f0fb0642a19153f20, 2017-02-22 00:00:00, 0, 32, 7, 0
MPAndroidChart, 19, 85, f6a398b6b230e09da081f34bd135dd1793bbef09, 2017-03-24 00:00:00, 0, 32, 7, 0
MPAndroidChart, 19, 19, acf985ff0cd3a6ba894bcad107732b49530d8098, 2017-04-26 00:00:00, 0, 32, 7, 0
