Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
Material-Animations, 90, 1666, 8d3f1da4aabbe2da11b170db4424894f429a9231, 2015-03-17 00:00:00, 0, 6, 0, 0
Material-Animations, 90, 1597, 56e6f4df0fca5d3950acd2323d6be0a3456e3938, 2015-04-02 00:00:00, 0, 14, 0, 0
Material-Animations, 90, 1463, 9ee94bd313ea247af2a6ca0d11ab5fe82ff16b0d, 2015-06-07 00:00:00, 0, 14, 0, 0
Material-Animations, 90, 1273, 5476be9d81633817dc3f46faa2774bde1d93b54c, 2015-09-26 00:00:00, 0, 58, 0, 0
Material-Animations, 90, 1206, 859b1ef061ed7bb7a6fe064742e04ad2d7e5ffa1, 2015-10-13 00:00:00, 0, 58, 0, 0
Material-Animations, 90, 1074, 2ff160633e0a6b4d42011bcbddbb38f8873a734d, 2015-12-21 00:00:00, 0, 58, 0, 0
Material-Animations, 90, 1012, 12c7b2eb5109535864d37ccc276bb76a04cb69b9, 2016-01-28 00:00:00, 0, 58, 0, 0
Material-Animations, 90, 943, ccaa83e1b636da498665f92e069ef71eb26325da, 2016-02-23 00:00:00, 0, 58, 0, 0
Material-Animations, 90, 882, 2771cb100c32530b7e87dc0daef9b085318dfb2d, 2016-03-25 00:00:00, 0, 58, 0, 0
Material-Animations, 90, 817, 0c671ee503a89d11667057c5f6f8019b9ec93d75, 2016-04-03 00:00:00, 0, 58, 0, 0
Material-Animations, 90, 750, 28e65b23a9226521fa42c3a29860d2ec6b8def11, 2016-05-15 00:00:00, 0, 58, 0, 0
