Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
MaterialDesignLibrary, 80, 1931, f670f86199154214e0b41fa68f787a2b08e34693, 2014-10-29 00:00:00, 0, 64, 0, 0
MaterialDesignLibrary, 80, 1877, 79091d12d403994f61ab33d0435e876f3d49ab66, 2014-11-30 00:00:00, 0, 170, 0, 0
MaterialDesignLibrary, 80, 1819, 3d244627227c751d67b9936b3ef0b11f172c14f8, 2014-12-16 00:00:00, 0, 82, 0, 0
MaterialDesignLibrary, 80, 1759, 414a9691be7fe1fb7b473236ecf7927bdf49d550, 2015-01-30 00:00:00, 0, 88, 0, 0
MaterialDesignLibrary, 80, 1699, 8b765860592f65070b932b44d8c8db054fbcde32, 2015-02-02 00:00:00, 0, 88, 0, 0
MaterialDesignLibrary, 80, 1634, 353418ca86f12c6ae881fa29e4778bc2d3f37698, 2015-03-31 00:00:00, 0, 88, 0, 0
MaterialDesignLibrary, 80, 1568, 6aa88f84cc0bc66ba05eae5991db65fb81f89ad7, 2015-04-25 00:00:00, 0, 88, 0, 0
MaterialDesignLibrary, 80, 1503, 9998c2dbb608bf78de28b3fb3384e75d5871715e, 2015-05-18 00:00:00, 0, 88, 0, 0
MaterialDesignLibrary, 80, 1311, b11cdc7095473d957a3723fef608d6400a3428ff, 2015-08-22 00:00:00, 0, 88, 0, 0
MaterialDesignLibrary, 80, 323, 7271050ff486cc4038e13f02b10a28aa4cf5b8cf, 2016-11-14 00:00:00, 0, 88, 0, 0
