Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
MaterialDrawer, 15, 2273, 6ffcef53e32ae2746c9a968604af34ef7e9df1b2, 2014-03-15 00:00:00, 0, 2, 0, 0
MaterialDrawer, 15, 2225, 8265a824f0265940a6d846ef2f6de9e13a2bcada, 2014-04-10 00:00:00, 0, 4, 0, 0
MaterialDrawer, 15, 2132, 4455484d5319d1e2a071b7fd0510ad3de84106fa, 2014-06-30 00:00:00, 0, 4, 0, 0
MaterialDrawer, 15, 2085, f35d774b7e63023bb00296efb544ea213f1e1ced, 2014-07-27 00:00:00, 0, 4, 0, 0
MaterialDrawer, 15, 2034, 2b06dd8ed7e14046cda41c30618e9a135d1b7360, 2014-08-11 00:00:00, 0, 4, 0, 0
MaterialDrawer, 15, 1821, 2a601ddca1b57d68ee03378c0ec9626b9122ddc6, 2014-12-25 00:00:00, 0, 0, 0, 0
MaterialDrawer, 15, 1761, bcb47792ed542bf08e1a1ed2b506679b7c46c0f2, 2015-01-31 00:00:00, 0, 0, 0, 0
MaterialDrawer, 15, 1701, 1432d38d8de29293b747a99c31a3ada3b802915e, 2015-02-28 00:00:00, 0, 30, 1, 0
MaterialDrawer, 15, 1636, 9aebd114fe3f3ebd264bdc62b3ac54a41ae2cbb0, 2015-03-31 00:00:00, 0, 62, 1, 0
MaterialDrawer, 15, 1570, d853afd0ee75ae64373305c0a1d1c6f7872e9ae6, 2015-04-30 00:00:00, 0, 56, 1, 0
MaterialDrawer, 15, 1505, 0eb7032622488fde1f846f225655ae5fafb9ed5c, 2015-05-30 00:00:00, 0, 56, 1, 0
MaterialDrawer, 15, 1438, 84552f75dccc95c0a006cf9f9ebf77d4ed30195b, 2015-07-01 00:00:00, 0, 58, 1, 0
MaterialDrawer, 15, 1375, 3d34692252346c2b8e40e67cb9f77b0638e8b93d, 2015-08-02 00:00:00, 0, 68, 1, 0
MaterialDrawer, 15, 1313, e7bc18e84164dfe467b44a642c7fc0bad606e1a2, 2015-09-01 00:00:00, 0, 70, 1, 0
MaterialDrawer, 15, 1247, f3aa4701122b0e5618eba2e76caf15a850686aaa, 2015-09-29 00:00:00, 0, 74, 1, 0
MaterialDrawer, 15, 1177, e3515274d7bc5a19eaf9d0f4ae25157094bd3257, 2015-11-01 00:00:00, 0, 82, 1, 0
MaterialDrawer, 15, 1112, bb483dc32e3ba3ef76c7cfe3adcb7c44e8fc903e, 2015-12-01 00:00:00, 0, 86, 1, 0
MaterialDrawer, 15, 1048, ff93a595f1916b526ddc868306dcf284dd6ed995, 2015-12-31 00:00:00, 0, 90, 1, 0
MaterialDrawer, 15, 983, d8255dab36360807ed669975ca79fa653d529f2d, 2016-02-01 00:00:00, 0, 86, 1, 0
MaterialDrawer, 15, 915, 20ddb62f64bcd9afd39b19fe1757b025eed45796, 2016-02-29 00:00:00, 0, 86, 1, 0
MaterialDrawer, 15, 852, 60c4abadd4c14de77d59965b157f8d83318bbc57, 2016-04-01 00:00:00, 0, 86, 1, 0
MaterialDrawer, 15, 787, ce64654e0f3b0c116e2f7e9d275f57b4dfac3808, 2016-04-26 00:00:00, 0, 80, 1, 0
MaterialDrawer, 15, 720, b1bdbe4dcad057cb8cd5bb43caf509bbe15a4f0f, 2016-06-02 00:00:00, 0, 80, 1, 0
MaterialDrawer, 15, 652, 769cbfdc233c4835f8403a4c94002166d4e7f8c0, 2016-06-30 00:00:00, 0, 80, 1, 0
MaterialDrawer, 15, 586, c580f908e9535e8acb19469940f598f7487ae17c, 2016-07-26 00:00:00, 0, 80, 1, 0
MaterialDrawer, 15, 517, 65790b579b89e756a821a895ee6a38f0afd63206, 2016-08-25 00:00:00, 0, 80, 1, 0
MaterialDrawer, 15, 451, d9f0742aacb7fa0d95d6688698f1e03eef29f7d9, 2016-10-01 00:00:00, 0, 80, 1, 0
MaterialDrawer, 15, 388, 807c1e408a9407762931432efe8db529ca524492, 2016-10-26 00:00:00, 0, 80, 1, 0
MaterialDrawer, 15, 325, 4cc07c391ead91dfaa3d38efa7149d59d0b171eb, 2016-11-30 00:00:00, 0, 80, 1, 0
MaterialDrawer, 15, 259, c2ab06e03b396821e4f7a88a2299200a6d168776, 2016-12-21 00:00:00, 0, 80, 1, 0
MaterialDrawer, 15, 204, 3401c112c0e0fb7c73541846e0e120ad955995d3, 2017-01-29 00:00:00, 0, 82, 1, 0
MaterialDrawer, 15, 144, 26465caabf1eae46d02ccb5864717a665c08defb, 2017-02-27 00:00:00, 0, 82, 1, 0
MaterialDrawer, 15, 80, d4695f345936cd053461eec9d790f76a1e00f4b8, 2017-03-27 00:00:00, 0, 82, 1, 0
MaterialDrawer, 15, 15, c64dc1885ce0aa75077646c6b81f40612ce44910, 2017-04-06 00:00:00, 0, 82, 1, 0
