Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
MaterialViewPager, 62, 1618, d653a60fcbfdc875403c63de844f76250b244f6b, 2015-04-30 00:00:00, 0, 36, 0, 0
MaterialViewPager, 62, 1552, 32780635b91336acad38f07cebc615a2bfecb282, 2015-05-30 00:00:00, 0, 42, 0, 0
MaterialViewPager, 62, 1485, 78f05428e7e827b148609141b2dad65d27fa9100, 2015-06-25 00:00:00, 0, 46, 0, 0
MaterialViewPager, 62, 1423, 0145c61886aab000ba57e605fd2be37a06698942, 2015-07-31 00:00:00, 0, 50, 0, 0
MaterialViewPager, 62, 1359, 97ca6df9ee029998483e5a05ab5ff446d71f77a2, 2015-08-31 00:00:00, 0, 54, 0, 0
MaterialViewPager, 62, 1294, 07c7566693ee8ca5298b0ebde59982b615dd7683, 2015-09-13 00:00:00, 0, 54, 0, 0
MaterialViewPager, 62, 1228, 0aa932586eb841906a08228e2a1f3f7a02dc773e, 2015-10-24 00:00:00, 0, 54, 0, 0
MaterialViewPager, 62, 1158, fb06e8aa1448cd011996b7748c7556e3b089e582, 2015-11-20 00:00:00, 0, 54, 0, 0
MaterialViewPager, 62, 1094, 8b7081bf0988eabd358df01f094bddd9847f6e9b, 2015-12-24 00:00:00, 0, 54, 0, 0
MaterialViewPager, 62, 772, 1ce6730528fc09069b846a9ce245236b02898c69, 2016-05-27 00:00:00, 0, 54, 0, 0
MaterialViewPager, 62, 701, 1a231f693fc0b0bceee530544d2895570757ad18, 2016-06-20 00:00:00, 0, 54, 0, 0
MaterialViewPager, 62, 569, 85a124898b76127af2b9a7d2cb993a1011fde15e, 2016-08-20 00:00:00, 0, 54, 0, 0
MaterialViewPager, 62, 188, 71d644fbbde8be44a158fa9665de9a86c3513dd4, 2017-03-01 00:00:00, 0, 40, 0, 0
MaterialViewPager, 62, 127, f951f82d15e727b9a1640ee57b6eb15a54039ab9, 2017-03-07 00:00:00, 0, 40, 0, 0
MaterialViewPager, 62, 62, 8966f0527b4bfabb590ae0fb53380323f31c7377, 2017-04-18 00:00:00, 0, 40, 0, 0
