Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
RxAndroid, 43, 2606, 11b1452ffba156d35e83c9c35c77b70f38ee60cb, 2013-08-31 00:00:00, 0, 2, 0, 0
RxAndroid, 43, 2519, 085d3790d35a2f3992fb59a0d711741eecfdc101, 2013-10-29 00:00:00, 0, 8, 0, 0
RxAndroid, 43, 2475, ecbaa4dbe54a55d69d6af65de1cbed00eb3dd720, 2013-11-27 00:00:00, 0, 8, 0, 0
RxAndroid, 43, 2429, 335c90671d4404ed938cbce2f93b99d49cbd3a59, 2013-12-10 00:00:00, 0, 8, 0, 0
RxAndroid, 43, 2386, 3e29ac8b47cf971fe8b07d4e38e786feedb51a41, 2014-01-31 00:00:00, 0, 16, 0, 0
RxAndroid, 43, 2342, 8bd9eab1a87279c42af49f9f60d2051f3e982b95, 2014-02-26 00:00:00, 0, 36, 0, 0
RxAndroid, 43, 2294, 9f49292dd5a4296a94f86f748f1c3dce9186f868, 2014-03-13 00:00:00, 0, 36, 0, 0
RxAndroid, 43, 2247, 37577d204452daef6c73ab4fe9089fdc52447e0e, 2014-04-22 00:00:00, 0, 40, 0, 0
RxAndroid, 43, 2197, d31b29df97b46f38bc3547471c901ea64677c8ec, 2014-05-06 00:00:00, 0, 40, 0, 0
RxAndroid, 43, 2153, 3d8925c77a700e1d305c183e9bcf1bcecf5ee77b, 2014-06-07 00:00:00, 0, 38, 0, 0
RxAndroid, 43, 2105, 0f6a50a488057563bc919b076f5b630f97fd0b35, 2014-07-29 00:00:00, 0, 46, 0, 0
RxAndroid, 43, 2056, 4412f1820f03c460513945a9aa42b4f0986cdbeb, 2014-08-29 00:00:00, 0, 52, 0, 0
RxAndroid, 43, 2001, 48c3e97530606d7cb1c56f4cefda9bbe2738a4e4, 2014-09-18 00:00:00, 0, 38, 0, 0
RxAndroid, 43, 1952, 1ac188f0a5b9334ff420f0da79d4d5927e9d306e, 2014-10-27 00:00:00, 0, 46, 0, 0
RxAndroid, 43, 1902, 0c3bd5822ccbe56ad924d96113551be2c1c0260c, 2014-11-29 00:00:00, 0, 102, 0, 0
RxAndroid, 43, 1845, 0240c1213f173ad5faeaa45b185c8e7ba09203f4, 2014-12-15 00:00:00, 0, 116, 0, 0
RxAndroid, 43, 1785, 8ba5c40c98147b5799ea55bbb22c1eebe34fea70, 2015-01-10 00:00:00, 0, 116, 0, 0
RxAndroid, 43, 1726, 3e506a08810e7afb45583a62c7e30b2395f7f01c, 2015-02-26 00:00:00, 0, 120, 0, 0
RxAndroid, 43, 1667, 0e12e47c56840d6953cd8b85474435135be30301, 2015-03-13 00:00:00, 0, 120, 0, 0
RxAndroid, 43, 1532, 6bd33b3ce3f8359b8b0bdad8fbe3aaa2e889fa0c, 2015-05-29 00:00:00, 0, 124, 0, 0
RxAndroid, 43, 1464, 94a8668cbde9ca6377113a0de3a827434d50e921, 2015-07-01 00:00:00, 0, 14, 0, 0
RxAndroid, 43, 1402, 4121448444ff4537bb9cca437daffb4522d439d9, 2015-07-31 00:00:00, 0, 14, 0, 0
RxAndroid, 43, 1339, 4d1b4f03ab783520f295db630b40f6d94ca80251, 2015-08-31 00:00:00, 0, 20, 0, 0
RxAndroid, 43, 1274, d01ccef70b9ee35fe6b34edcac4102fce2711382, 2015-09-21 00:00:00, 0, 20, 0, 0
RxAndroid, 43, 1207, ace2a83118fec03b17fc25d7e165f120806c69b2, 2015-11-01 00:00:00, 0, 20, 0, 0
RxAndroid, 43, 1138, bb2e8bf70c98bfdc6dbe890d396e3f1ed0325eaa, 2015-11-16 00:00:00, 0, 34, 0, 0
RxAndroid, 43, 1075, 3b686a39d924e54c7d2885601113a6a19e7867b5, 2015-12-22 00:00:00, 0, 34, 0, 0
RxAndroid, 43, 944, 04b8a685745f09cdc5f5ac31597b31faecf0e165, 2016-02-20 00:00:00, 0, 34, 0, 0
RxAndroid, 43, 818, 57d7a4c484579e88b3a65eaaa1352d013b99cae9, 2016-05-01 00:00:00, 0, 34, 0, 0
RxAndroid, 43, 751, fc72d3ae29022a5f2064a7b149d81058a378294f, 2016-05-11 00:00:00, 0, 34, 0, 0
RxAndroid, 43, 681, 5ce19577a0c0ef39f837944a27149d3b920ed304, 2016-06-16 00:00:00, 0, 36, 0, 0
RxAndroid, 43, 552, c11117676955f911f3a586fd408bbc46b153bcc6, 2016-08-25 00:00:00, 0, 58, 0, 0
RxAndroid, 43, 482, 27c7f43d89cb7e6368146cc05f280c0d4a1e018b, 2016-09-23 00:00:00, 0, 58, 0, 0
RxAndroid, 43, 419, 8c65ad8e68a383e4e5ecfbef93d5a35ec18915f3, 2016-10-29 00:00:00, 0, 68, 0, 0
RxAndroid, 43, 353, 8432dcb1c262692cda161119a905c028133eda81, 2016-11-12 00:00:00, 0, 68, 0, 0
RxAndroid, 43, 291, 0482e41cf52548174a88a16d335eafba3d7fd8cc, 2016-12-17 00:00:00, 0, 68, 0, 0
RxAndroid, 43, 229, eb27d7505b4776e88ca24d3f6bb0d5db3c16b16c, 2017-01-09 00:00:00, 0, 72, 0, 0
RxAndroid, 43, 43, 5e2920b6544584eac9b7aca9cd656fc36163cd49, 2017-04-22 00:00:00, 0, 72, 0, 0
