Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
RxJava, 4, 2871, 473c91d3864e1c1cdedf4bb7913e9d2b79313bc9, 2013-01-31 00:00:00, 0, 316, 4, 0
RxJava, 4, 2831, bf52f3d0b40b0abe1d83a10e19807afdbc1d79cd, 2013-02-28 00:00:00, 0, 354, 5, 0
RxJava, 4, 2792, 4a9f2fb05a3163e11ed35d85a33a6b8e216dde77, 2013-03-31 00:00:00, 0, 460, 5, 0
RxJava, 4, 2752, b9466bb2dcc1dfcf88629486fbf9b84e1bf13ca3, 2013-04-30 00:00:00, 0, 678, 6, 0
RxJava, 4, 2710, 3ed9f0f35aa82e04798ff4f35a32207787d78074, 2013-05-30 00:00:00, 0, 972, 7, 0
RxJava, 4, 2670, 81adc5c56ed93b418ffdc158f7db21a25b3402f5, 2013-06-30 00:00:00, 0, 972, 7, 0
RxJava, 4, 2628, 97fafb02d98ba4f5329e34cbed532b65c087e9ee, 2013-07-31 00:00:00, 0, 1036, 7, 0
RxJava, 4, 2581, a127b061ac37a7a6789db27dc9100132fffc152c, 2013-09-01 00:00:00, 0, 966, 7, 0
RxJava, 4, 2539, 67449fb8be018a9c6d82c1333d9f87dec913801c, 2013-09-30 00:00:00, 0, 1240, 7, 0
RxJava, 4, 2494, bcf6eb288e966e132502f7abe12a47ec2b843eea, 2013-10-31 00:00:00, 0, 1334, 7, 0
RxJava, 4, 2447, 25ce82fc4d6389ef06a487edb17f2d5bd8e23709, 2013-11-30 00:00:00, 0, 1556, 11, 0
RxJava, 4, 2403, b7e6410fe9be1cb4e3d1257a13e91506e2af9f1a, 2013-12-31 00:00:00, 0, 2138, 10, 0
RxJava, 4, 2360, 26f36ecf5fc2350b989c7ca6587300e7c40356af, 2014-01-31 00:00:00, 0, 2326, 8, 0
RxJava, 4, 2315, 6b25b2304b08dbaf9f4d52054f06d743a9fb4a22, 2014-02-27 00:00:00, 0, 2884, 8, 0
RxJava, 4, 2265, 31cfd197ac0b83670b298cadb2331d4bc4046119, 2014-03-31 00:00:00, 0, 3404, 8, 0
RxJava, 4, 2217, 129e531a0d3b7cb5b3989e6e2a5e9b633a2cc11a, 2014-05-01 00:00:00, 0, 3056, 8, 0
RxJava, 4, 2169, 95081655154ec9f12475835d13be5db06450af87, 2014-06-01 00:00:00, 0, 3100, 8, 0
RxJava, 4, 2124, 750c627ff41599bc91b72daa3fc2a1bc67726e28, 2014-06-30 00:00:00, 0, 3010, 8, 0
RxJava, 4, 2077, a7953e6e2adc9c7616acdace344673f8c10f67be, 2014-07-31 00:00:00, 0, 3414, 9, 0
RxJava, 4, 2026, 0847f35b1ac54064844d79af97d20daf32efd815, 2014-08-31 00:00:00, 0, 2800, 5, 0
RxJava, 4, 1974, ec2f99188aad6a85c266a48a04a5e83e2ee886d5, 2014-09-30 00:00:00, 0, 2810, 5, 0
RxJava, 4, 1925, c26847176479a57e221d14d7ec574e58d40d9c69, 2014-10-31 00:00:00, 0, 2968, 6, 0
RxJava, 4, 1868, 181c0aa17e3b3639144105292e259738726948f4, 2014-11-29 00:00:00, 0, 3054, 8, 0
