Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
Signal-Android, 50, 2936, 61d4192798163c882c38397b376c5a14094dc58f, 2012-12-30 00:00:00, 0, 88, 5, 0
Signal-Android, 50, 2898, 6bdb0e2d6607d4b7ba9428620d227dcaf4b5e467, 2013-01-14 00:00:00, 0, 92, 5, 0
Signal-Android, 50, 2860, 48576dbb584464efa2bfc5c98a88cfa434965c64, 2013-02-26 00:00:00, 0, 102, 5, 0
Signal-Android, 50, 2820, e3c5e837e1adb530fc36f3f5ff08ce2377b65885, 2013-03-27 00:00:00, 0, 110, 5, 0
Signal-Android, 50, 2780, f2475491fe7b26ee4e341a538d7ccf8f5415e8be, 2013-04-23 00:00:00, 0, 110, 5, 0
Signal-Android, 50, 2741, ea98fe2d4f606b8cac0a2f3b9a2cf2bdf784f251, 2013-05-31 00:00:00, 0, 136, 6, 0
Signal-Android, 50, 2698, 68b82c168e02a8d0b04cd4fd6375358bf5e25d3b, 2013-06-29 00:00:00, 0, 158, 6, 0
Signal-Android, 50, 2657, 4722b7f005e2493eeb6e1e30a19e0f02a3d9e2b7, 2013-07-22 00:00:00, 0, 160, 6, 0
Signal-Android, 50, 2612, 45f4faaf4c09a65a9a09028f8916050b28a1f9e0, 2013-08-23 00:00:00, 0, 164, 6, 0
Signal-Android, 50, 2569, 1149d8b625e7ec6464122396345560fcfe6c1157, 2013-09-30 00:00:00, 0, 164, 6, 0
Signal-Android, 50, 2523, f9c7687ce29f70bcad0343b225a773c99f4ea2f9, 2013-10-21 00:00:00, 0, 164, 6, 0
Signal-Android, 50, 2480, 56fd6e703584ce6c51ae4430de5c00e0075b4c71, 2013-12-01 00:00:00, 0, 164, 6, 0
Signal-Android, 50, 2435, eb1b762a76f7c3abf42e6aeef08cdb320939fca5, 2013-12-22 00:00:00, 0, 162, 6, 0
Signal-Android, 50, 2391, 5a75ff9299185dee44a6d536bb9be7704b523a33, 2014-01-26 00:00:00, 0, 178, 12, 0
Signal-Android, 50, 2347, 8ea4db03db5d77cd237a4c50b5dccbe00edac0f9, 2014-02-28 00:00:00, 0, 220, 12, 0
Signal-Android, 50, 2301, c41433405978733820a897330e86698a7879685d, 2014-03-31 00:00:00, 0, 228, 11, 0
Signal-Android, 50, 2252, d4b4667d5add07ffbe00c5521b9da58198eb998b, 2014-04-28 00:00:00, 0, 232, 13, 0
Signal-Android, 50, 2203, f190321e40bc727bcd2238dd8c720fe32e6ed635, 2014-05-31 00:00:00, 0, 234, 13, 0
Signal-Android, 50, 2157, 66aad852f8f2ed2c4cce2dd411c61aa64770955c, 2014-06-25 00:00:00, 0, 238, 13, 0
Signal-Android, 50, 2109, 40ce0cebe0a3762c2336e34b0770e7e2f80ee8c3, 2014-07-31 00:00:00, 0, 254, 13, 0
Signal-Android, 50, 2062, 877f2a25a97518f1ff71c9f349192f3ffe37585a, 2014-08-29 00:00:00, 0, 260, 13, 0
Signal-Android, 50, 2008, cf9c9bbfd7eca1ddd476773bcfc5e3dc4cf89a78, 2014-09-15 00:00:00, 0, 260, 13, 0
Signal-Android, 50, 1957, 4cab657ebe34acfb4657ecf930799eefacdc3534, 2014-10-29 00:00:00, 0, 278, 15, 0
Signal-Android, 50, 1907, 9ef1ea283b3d8f56d6a8d0bf5f453cdcb2d6d362, 2014-11-30 00:00:00, 0, 274, 16, 0
Signal-Android, 50, 1852, b6822b310ee8a480f9fa2ceab46e3cb7df3b011b, 2014-12-31 00:00:00, 0, 278, 12, 0
Signal-Android, 50, 1792, ba62e018db89793aca4526f241e4b3188cb66b9c, 2015-01-28 00:00:00, 0, 286, 12, 0
Signal-Android, 50, 1734, 7bf7acb1ffc9e0abfb72c77f35e151052d33e5c1, 2015-02-28 00:00:00, 0, 302, 12, 0
