Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
SlidingMenu, 95, 2935, 934171f21b8efc74428c8b536523b93ac8031c1a, 2012-12-20 00:00:00, 0, 46, 0, 0
SlidingMenu, 95, 2897, 24893d0f1752153a047f2b7f2b115f29a10aafbb, 2013-01-16 00:00:00, 0, 50, 0, 0
SlidingMenu, 95, 2859, a1710a7038c17f37c6dfb31cd626dd484f5ecf16, 2013-02-19 00:00:00, 0, 50, 0, 0
SlidingMenu, 95, 2819, 7753bbbe240ad680b298f33d37dc9fc8a9feec92, 2013-03-25 00:00:00, 0, 50, 0, 0
SlidingMenu, 95, 2779, 9b3d8c15c1b0fbd6b3e21b487d8d4f549cfc59f9, 2013-04-29 00:00:00, 0, 50, 0, 0
SlidingMenu, 95, 2739, 8fcae2cce29ef51626542e7026391d980109b101, 2013-05-25 00:00:00, 0, 50, 0, 0
SlidingMenu, 95, 2696, bd701c6e3fbf26a9d5fbd4619301cc05e0d09caf, 2013-06-26 00:00:00, 0, 50, 0, 0
SlidingMenu, 95, 2655, 7ebe3277241734748d305f30f82eedd14e949b1a, 2013-07-25 00:00:00, 0, 50, 0, 0
SlidingMenu, 95, 2610, b38aca508775323a042ea25044853fd2fce61628, 2013-08-28 00:00:00, 0, 50, 0, 0
SlidingMenu, 95, 2567, 4eeff1b809c68c6ec91449e33a77f58a7d050633, 2013-09-12 00:00:00, 0, 50, 0, 0
SlidingMenu, 95, 2433, d929476bee721e295f7e73d7395e29ca090c122b, 2013-12-09 00:00:00, 0, 50, 0, 0
SlidingMenu, 95, 2345, 08ff04755ab2eb81472d6c25cd58b57cee2407dc, 2014-02-26 00:00:00, 0, 50, 0, 0
SlidingMenu, 95, 2299, 4254feca3ece9397cd501921ee733f19ea0fdad8, 2014-03-09 00:00:00, 0, 50, 0, 0
