Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
UltimateRecyclerView, 75, 1765, f7076ec6076b5e150b822564c3a3b4f2b7a963e9, 2015-01-30 00:00:00, 0, 44, 1, 0
UltimateRecyclerView, 75, 1706, 8a81894169d3446c1fd6c47ab327f9ff89d2b192, 2015-02-28 00:00:00, 0, 80, 1, 0
UltimateRecyclerView, 75, 1642, 89e16f90eabd37a91b6c4a5d1a5babf2b84ffd67, 2015-03-31 00:00:00, 0, 166, 3, 0
UltimateRecyclerView, 75, 1574, b15a9f29fad20e423bdab13aeaba045b9c3d87d5, 2015-04-30 00:00:00, 0, 168, 3, 0
UltimateRecyclerView, 75, 1510, badfcd221840439e0ab9f6be5a3310ff25cdc89f, 2015-05-31 00:00:00, 0, 146, 2, 0
UltimateRecyclerView, 75, 1443, 40b1bcd8e963776818e988e2dadf8b656e1457e2, 2015-07-02 00:00:00, 0, 242, 4, 0
UltimateRecyclerView, 75, 1380, 848991fb4c5a8ee6b0b74c4c8254eb61f0a3ebbc, 2015-08-01 00:00:00, 0, 262, 5, 0
UltimateRecyclerView, 75, 1318, cb8fb2df22e3e4321e829551eb3533f18afc636a, 2015-08-29 00:00:00, 0, 288, 5, 0
UltimateRecyclerView, 75, 1251, cd3c671ea363e6691a2634a858d0778f5767c7c0, 2015-09-26 00:00:00, 0, 288, 5, 0
UltimateRecyclerView, 75, 1182, 1c9c840bc223f0635d17c0f5bb855a1ee3817b5f, 2015-10-25 00:00:00, 0, 288, 5, 0
UltimateRecyclerView, 75, 1117, e446b3354ba1e703c1568dd1a1767093d01513ac, 2015-11-08 00:00:00, 0, 288, 5, 0
UltimateRecyclerView, 75, 988, a5f20dfcf86d8a3eb38308761a0a6c7f3bd38a5a, 2016-01-30 00:00:00, 0, 294, 5, 0
UltimateRecyclerView, 75, 920, 325fefe5e64d3450dc038a7ef501489bcaa96209, 2016-03-01 00:00:00, 0, 274, 3, 0
UltimateRecyclerView, 75, 858, 80d97e0582876b0bb622a65bdc283ca108589eda, 2016-03-22 00:00:00, 0, 280, 3, 0
UltimateRecyclerView, 75, 793, de712ba99e19e85c08d598001400eca3f79c48fe, 2016-04-29 00:00:00, 0, 278, 3, 0
UltimateRecyclerView, 75, 726, 768048b7397099eb66f31ecf93a8c790b25a8ea6, 2016-05-31 00:00:00, 0, 258, 3, 0
UltimateRecyclerView, 75, 592, 21958edfc5a921bc847ee671e9a0489f1a28167a, 2016-07-04 00:00:00, 0, 258, 3, 0
UltimateRecyclerView, 75, 523, ebf75c95b603bcb984dabac45b45ee1a3da72c6c, 2016-08-05 00:00:00, 0, 278, 4, 0
UltimateRecyclerView, 75, 265, 3cf6d0814294195f2bee1d0bca10076ae4cb7dad, 2016-12-05 00:00:00, 0, 278, 4, 0
UltimateRecyclerView, 75, 150, 929a645f63c4df7ea68f1321547d6953732f269f, 2017-02-24 00:00:00, 0, 278, 4, 0
