Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
agera, 48, 823, 78326e2de34e238bfa12ccc66f32f0555597ab29, 2016-05-01 00:00:00, 0, 58, 4, 0
agera, 48, 755, 46db3cee8d04141d9ede41829976ce28381e20ca, 2016-06-01 00:00:00, 13, 56, 4, 0
agera, 48, 686, 30dddf0f718ff24cdf892b22784f5029f2d83318, 2016-06-15 00:00:00, 13, 58, 4, 0
agera, 48, 621, ede53539d2697748e634bdd0e7b7981198bad5b1, 2016-08-01 00:00:00, 13, 58, 4, 0
agera, 48, 555, bedf9caf2cb59ba6715312d0d68598a65e744f3a, 2016-08-16 00:00:00, 13, 60, 4, 0
agera, 48, 485, 1d10eee46b8d4144586669446c8711444f66863e, 2016-09-02 00:00:00, 13, 60, 4, 0
agera, 48, 422, d38c1385057a629c28304668cc9683663ae80b73, 2016-10-13 00:00:00, 14, 60, 4, 0
agera, 48, 356, 5fed3b34fa179824f038b0495c67a84a30cc822b, 2016-11-28 00:00:00, 14, 60, 4, 0
agera, 48, 295, e5d8829ad5f39c08986229840dcd4a80781cb78a, 2016-12-21 00:00:00, 21, 60, 5, 0
agera, 48, 232, e68d5610867461292418e7373896074c55d17482, 2017-02-01 00:00:00, 21, 60, 5, 0
agera, 48, 175, 0600d79daf49c3db8de9570dc36874c39ca8f5d6, 2017-03-01 00:00:00, 21, 60, 5, 0
agera, 48, 112, c40c4ba27fe85750362281917dd5a3cd7b736bcc, 2017-03-31 00:00:00, 21, 72, 5, 0
agera, 48, 48, 3b9ae7b6e44457e0d61c355961a6c9ac7cbe5c0a, 2017-04-24 00:00:00, 21, 96, 5, 0
