Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
android-UniversalMusicPlayer, 38, 1898, 515756fefac184cbd01fda68fee1ba54a99bea84, 2014-11-25 00:00:00, 0, 46, 1, 0
android-UniversalMusicPlayer, 38, 1840, 12dd51e52464534f18e2150f78d605dd56715e4f, 2014-12-18 00:00:00, 0, 50, 2, 0
android-UniversalMusicPlayer, 38, 1661, cfded28f789111b64390343a9b670146181d2b76, 2015-03-31 00:00:00, 0, 38, 1, 0
android-UniversalMusicPlayer, 38, 1591, 36471e36c9af00fd4d7bff96e9eb665bd992edd1, 2015-04-25 00:00:00, 0, 40, 1, 0
android-UniversalMusicPlayer, 38, 1526, 069bb9f2581ac5034f37103e42f8e9c8a24a6376, 2015-05-21 00:00:00, 0, 40, 1, 0
android-UniversalMusicPlayer, 38, 1459, 8a70ed4615c4771b6c26d7cb304e5225af66e714, 2015-06-24 00:00:00, 0, 52, 2, 0
android-UniversalMusicPlayer, 38, 1268, d3b0e9d3ccfadd125000b37ea1d63855e699192b, 2015-09-17 00:00:00, 0, 54, 2, 0
android-UniversalMusicPlayer, 38, 1134, 3ea11a25c12af3d16453a6cd276b29d2b838a6a8, 2015-12-01 00:00:00, 0, 52, 2, 0
android-UniversalMusicPlayer, 38, 1007, 451afdc9116196ccc2d9afe45ab64800fc1ca07f, 2016-01-20 00:00:00, 0, 74, 6, 0
android-UniversalMusicPlayer, 38, 938, 23870821073cee93ed9be3e2dee188449e8a27df, 2016-02-24 00:00:00, 0, 74, 6, 0
android-UniversalMusicPlayer, 38, 878, 1a1ad69a743de3260e746f4534e7f0228b7ea560, 2016-03-02 00:00:00, 0, 74, 6, 0
android-UniversalMusicPlayer, 38, 675, 734b8f052c01cf7376083f23956e1ed305a2312d, 2016-06-02 00:00:00, 0, 76, 6, 0
android-UniversalMusicPlayer, 38, 614, 19c444ebcad798f72d5fb90ac7a87f970ab24e05, 2016-07-15 00:00:00, 0, 76, 6, 0
android-UniversalMusicPlayer, 38, 546, 753606e22ea6ebf153247c1e0e13aa3352a50973, 2016-08-25 00:00:00, 0, 76, 6, 0
android-UniversalMusicPlayer, 38, 414, c23c80801bfc95d71dd34fe4e76d22510a1146b9, 2016-10-28 00:00:00, 0, 76, 6, 0
android-UniversalMusicPlayer, 38, 349, 372d03d66f74ecc694d7b1b0333c60a7b12fb927, 2016-11-02 00:00:00, 0, 76, 6, 0
android-UniversalMusicPlayer, 38, 286, 65e56522cef687af75154799ded85c4cebc45d86, 2016-12-28 00:00:00, 0, 76, 6, 0
android-UniversalMusicPlayer, 38, 169, 6dfc3ff20de4e7a0f6ec3611ecb25fe246b02bed, 2017-02-10 00:00:00, 0, 76, 6, 0
android-UniversalMusicPlayer, 38, 103, 27f0c4d2096b4aa6b3552b1a179d110319732b31, 2017-03-28 00:00:00, 0, 76, 6, 0
android-UniversalMusicPlayer, 38, 38, 3897903a1c50a917a8f2855b0b98d5ce6a36604c, 2017-04-11 00:00:00, 0, 76, 6, 0
