Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
androidannotations, 70, 2938, cb6eeaa2bff6b1fd7917fe024eaf22fac6c371ce, 2012-12-30 00:00:00, 0, 10, 11, 0
androidannotations, 70, 2900, fb6432cad1245ab0a8abc37308997ef1b8b1adf2, 2013-01-31 00:00:00, 0, 10, 11, 0
androidannotations, 70, 2862, b341012673bab558386b37282c8077e5c0abea53, 2013-02-28 00:00:00, 0, 10, 11, 0
androidannotations, 70, 2822, 1bc53aab16dcafabed7fe066a7b6c77c8ce83758, 2013-03-29 00:00:00, 0, 12, 10, 0
androidannotations, 70, 2781, dbd7cafdefb215c02b3242203c8f4481855bbbb1, 2013-04-22 00:00:00, 0, 14, 9, 0
androidannotations, 70, 2742, acd3972301a0e014cb72bce906b3fe1e5b1c6b2f, 2013-05-28 00:00:00, 0, 12, 11, 0
androidannotations, 70, 2700, 642abb051175ab995e57599da6fba814a18f7425, 2013-06-20 00:00:00, 0, 12, 10, 0
androidannotations, 70, 2658, 0fb5ca32d71e15157a2b22db23b51969b8e4a783, 2013-07-28 00:00:00, 0, 18, 12, 0
androidannotations, 70, 2614, 2dcd4a154c0cbafd34cbbd6791cde56dc19b020a, 2013-08-28 00:00:00, 0, 18, 12, 0
androidannotations, 70, 2570, 615bce863b53ec7b00b4495bd97799d5fe11bd00, 2013-09-30 00:00:00, 0, 20, 12, 0
androidannotations, 70, 2525, d99edaea0a9adbe1ae1660bde2e42f6523c4f46d, 2013-10-23 00:00:00, 0, 28, 12, 0
androidannotations, 70, 2482, 9f42f5a991f62208b039e93206ae379049bdb526, 2013-11-27 00:00:00, 0, 28, 12, 0
androidannotations, 70, 2436, 94c8dda7e424c7ceb8f96d0f0cb930eb300d422e, 2013-12-30 00:00:00, 0, 26, 14, 0
androidannotations, 70, 2392, bead8893d10a337e5adb53900e8085694ab42f2f, 2014-01-20 00:00:00, 0, 26, 13, 0
androidannotations, 70, 2348, db85e0ea6a58cc2eca9e5c2eeca85fc845bbeb3d, 2014-02-14 00:00:00, 0, 26, 13, 0
androidannotations, 70, 2302, 9d08512bc48c4f975877f8f27ea990d8ce3437ba, 2014-04-01 00:00:00, 0, 26, 13, 0
androidannotations, 70, 2253, e6721660f3b3f8a5f3e84c86e8e7b7a3be64bced, 2014-04-28 00:00:00, 0, 26, 13, 0
androidannotations, 70, 2205, 4ec8a02e125b6d466f0d8fd40ea8409ca3a24a06, 2014-05-31 00:00:00, 0, 30, 13, 0
androidannotations, 70, 2158, 49f9fe49bdba4be5a58326ed879dc99eb84f647f, 2014-06-29 00:00:00, 0, 58, 13, 0
androidannotations, 70, 2110, d0997d991a06fa726b39c3074927a5b9bc2859f8, 2014-07-23 00:00:00, 0, 58, 13, 0
androidannotations, 70, 2063, bb18d55a41b7c21f377ee037a64b0a68d0b7bac4, 2014-08-31 00:00:00, 0, 58, 13, 0
androidannotations, 70, 2009, 825faa48451f8810481618cc1091f5d163e60da3, 2014-09-29 00:00:00, 0, 60, 14, 0
androidannotations, 70, 1958, ed7092c3b67f5c0f63fa06a807ab7ac4aeec3b0a, 2014-10-19 01:00:00, 0, 60, 14, 0
androidannotations, 70, 1909, bf39e297f43140111634d0f176df2f6468ac16a1, 2014-11-22 00:00:00, 0, 62, 14, 0
androidannotations, 70, 1853, 2964494a0643bd016a51f9e827ee3220562d6c3f, 2014-12-28 00:00:00, 0, 62, 14, 0
androidannotations, 70, 1793, 098164ae812373644cc322338e5303cd3e3ee6d8, 2015-01-24 00:00:00, 0, 62, 14, 0
androidannotations, 70, 1735, 0fdddecbf23e9daab0b62243061d833c5c8e8f76, 2015-02-28 00:00:00, 0, 62, 14, 0
androidannotations, 70, 1676, d2a72c63921fdceaecd3504dd0b2ef0c0ea3ce7d, 2015-03-30 00:00:00, 0, 62, 14, 0
androidannotations, 70, 1606, b4ae83a1c07994b1513cb2da654f0d4b793eecac, 2015-04-30 00:00:00, 0, 62, 14, 0
androidannotations, 70, 1540, 686e75ea3458e540ee68ac0b3d5d1b7c89d4cce4, 2015-05-31 00:00:00, 0, 68, 13, 0
androidannotations, 70, 1473, edf729e7c6c81303fddfb2e779d1f832ace0ea2c, 2015-06-25 00:00:00, 0, 68, 14, 0
androidannotations, 70, 1411, 8535ce0f342810a7a1d68c45d6f9530bc7d50095, 2015-07-29 00:00:00, 0, 68, 13, 0
androidannotations, 70, 1348, 997c3247ded49c7ab6ca2b11ce33ede50bae704a, 2015-08-02 00:00:00, 0, 68, 13, 0
androidannotations, 70, 1281, 5df38589c0c38f857b631be88f9fbd29c4c569e8, 2015-09-29 00:00:00, 0, 82, 18, 0
androidannotations, 70, 1215, d59f19b612029686c2254e5c6c1ed3e4981575bf, 2015-10-31 00:00:00, 0, 82, 18, 0
androidannotations, 70, 1146, 100aa9c95067cd88811e06c8b3eba6b8d24034ae, 2015-12-01 00:00:00, 0, 82, 18, 0
