Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
butterknife, 27, 2804, 912d7b2434195014cfb2229bd939e66c68a0447c, 2013-03-28 00:00:00, 0, 2, 0, 0
butterknife, 27, 2765, dc7c7393ac82a83b59a6f8616bbeae69373769db, 2013-04-27 00:00:00, 0, 2, 0, 0
butterknife, 27, 2723, 6d8fe10fef31a0d322bb69864068e7c08aeb1ef2, 2013-05-31 00:00:00, 0, 2, 0, 0
butterknife, 27, 2682, e1b18b5ad07e678882f2b941701ab8ffbca557c7, 2013-06-18 00:00:00, 0, 2, 0, 0
butterknife, 27, 2641, b1b1db3eed75eb361eeff03febec0a313cbfd19d, 2013-07-18 00:00:00, 0, 0, 0, 0
butterknife, 27, 2593, b60948eab772f2121014e46f81b107fd05d98e91, 2013-08-14 00:00:00, 0, 0, 0, 0
butterknife, 27, 2550, 1968d35be6f2d3294c7accb3b247808eeeb4a5ce, 2013-09-11 00:00:00, 0, 0, 0, 0
butterknife, 27, 2506, a47fee9cf3b2b0f8bfb816072bc018c5afe4b661, 2013-10-17 00:00:00, 0, 0, 0, 0
butterknife, 27, 2460, 02e0ddfbc20da3ec3ddbd757f6f0c929c29627f2, 2013-11-30 00:00:00, 0, 0, 1, 2
butterknife, 27, 2373, 50a61adb7c888bf2be12df4e825677fc0cfed626, 2014-01-12 00:00:00, 0, 0, 1, 2
butterknife, 27, 2328, ac6cd3006b80cf3ab84775ac2fcaefa490f58b4d, 2014-02-24 00:00:00, 0, 0, 1, 2
butterknife, 27, 2280, 594a2cd9bbb5ebe33415671f7996a8c6ea3d006d, 2014-03-25 00:00:00, 0, 0, 1, 2
butterknife, 27, 2233, a6e70748fab32f3053ac1d5c5e92010fd6e198b8, 2014-04-23 00:00:00, 0, 0, 1, 2
butterknife, 27, 2184, dbcdcd4514853696f643ff1038ceeadd22826c1e, 2014-05-30 00:00:00, 0, 0, 1, 2
butterknife, 27, 2140, 571082edcb05e3c1125dafd6f5c804988a6eeab3, 2014-06-19 00:00:00, 0, 0, 1, 2
butterknife, 27, 2042, 45c0414c4ef4ee2f59af12f4445c1551c26b70d1, 2014-08-22 00:00:00, 0, 0, 1, 2
butterknife, 27, 1988, 3dcd577810a623d15327a07a589a232a9e8dc355, 2014-09-30 00:00:00, 0, 0, 1, 2
butterknife, 27, 1939, eee48dfafed93408e0d2951560d29acc1c4db189, 2014-10-27 00:00:00, 0, 0, 1, 2
butterknife, 27, 1885, 78767690a46490e5c5bd1f36a4e03033b61700cc, 2014-11-09 00:00:00, 0, 0, 1, 2
butterknife, 27, 1829, 42b385310bc034f086f325f2bf6b14c88cd9f4e9, 2014-12-20 00:00:00, 0, 0, 1, 2
butterknife, 27, 1769, 54ac2a7c87a2f26fdfde7ca8acde8c650ac018cf, 2015-01-30 00:00:00, 0, 0, 1, 2
butterknife, 27, 1710, f6447bae70b8d425525341a72250332e929fd965, 2015-02-08 00:00:00, 0, 0, 1, 2
butterknife, 27, 1646, acc1c90d75f84c38056d4931ebb5c4bc99357969, 2015-03-16 00:00:00, 0, 0, 1, 2
butterknife, 27, 1578, 5233a90caed1c6a66d6bffefec8932b79338eb53, 2015-04-17 00:00:00, 0, 0, 1, 2
butterknife, 27, 1514, f94577d17c34bd58eba22a5bd71d09bbf36dc428, 2015-05-05 00:00:00, 0, 0, 1, 2
butterknife, 27, 1447, 2b0807ee6f096bc116e0092cae7fff87f970c6aa, 2015-06-30 00:00:00, 0, 0, 1, 2
butterknife, 27, 1384, 66e050dd6b16204bcf9012301a95a3601ab4a7a9, 2015-08-01 00:00:00, 0, 0, 1, 2
butterknife, 27, 1322, 45328e5b7cb312066eedad8b93f634eb96112edd, 2015-08-26 00:00:00, 0, 0, 1, 2
butterknife, 27, 1255, c09eacb09ffbb7c2fea81d3fa4dd0b31acd418ed, 2015-10-01 00:00:00, 0, 0, 1, 2
butterknife, 27, 1186, f6d4306f5edaafadd0434383a9e1a1b239c40540, 2015-10-12 00:00:00, 0, 0, 1, 2
butterknife, 27, 1121, d4c27543b67de7140af23208f62807c80d556f19, 2015-11-24 00:00:00, 0, 0, 1, 2
butterknife, 27, 1055, 6ab6fb5e98a9da8eeaecc4f8917f06adbc8b67a7, 2015-12-22 00:00:00, 0, 0, 1, 2
butterknife, 27, 862, 88acbb4a874b53d610c21995d6bf70663be3de94, 2016-03-28 00:00:00, 0, 0, 1, 2
butterknife, 27, 798, 0e28dbf542aa546764eb864566504050ed54aefc, 2016-04-27 00:00:00, 0, 4, 1, 2
butterknife, 27, 731, a4f334d55ff39d63cd1228eba0f15f0f13ae66af, 2016-06-01 00:00:00, 0, 0, 1, 1
butterknife, 27, 662, 4a890b0437841d3620a382498e0f12c8eca27e01, 2016-06-30 00:00:00, 0, 2, 2, 1
butterknife, 27, 598, 92750a42d989ed7f126858890eb849b4308e605b, 2016-08-01 00:00:00, 0, 2, 2, 1
butterknife, 27, 531, 22cabf8c07469bb177738296d1bcf111d384393b, 2016-08-26 00:00:00, 0, 2, 2, 1
butterknife, 27, 463, dfe9d38bb0840a2090d84aecfee5b6c3cae9ba2c, 2016-09-29 00:00:00, 0, 2, 2, 1
butterknife, 27, 400, 7c39e473efd501269a444f2e3d03184eb41d2d05, 2016-10-05 00:00:00, 0, 2, 2, 1
butterknife, 27, 338, 2f48dc46758c0086d3bd8557f0b213c19cabda8d, 2016-11-22 00:00:00, 0, 2, 3, 1
butterknife, 27, 273, 20cbc41f58b0118957f9c3670e7aeac285b07d9f, 2016-12-30 00:00:00, 0, 2, 3, 1
butterknife, 27, 215, 581666a28022796fdd62caaf3420e621215abfda, 2017-01-24 00:00:00, 0, 2, 3, 1
butterknife, 27, 158, 4ad9f9888c4b62476591488cade3aacda80330ba, 2017-02-27 00:00:00, 0, 2, 2, 1
butterknife, 27, 93, acf8957801c66d4aaa75084fc0c5c28ba84d3918, 2017-03-07 00:00:00, 0, 2, 2, 1
butterknife, 27, 27, fc10f1674a08162ad7cf8c762c11a748c20c25d8, 2017-04-05 00:00:00, 0, 2, 2, 1
