Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
clojure, 56, 2941, 00978c76edfe4796bd6ebff3a82182e235211ed0, 2012-12-22 00:00:00, 0, 40, 0, 0
clojure, 56, 2903, cd01820e6bb7a168035398fb4f889e819c0b782f, 2013-01-29 00:00:00, 0, 40, 0, 0
clojure, 56, 2865, 4ccb10edbe66eae81336a4c0972050d9759b0bf7, 2013-02-22 00:00:00, 0, 40, 0, 0
clojure, 56, 2825, c77e5bd87dfb6ca55612c842ec5ed80ff6319866, 2013-03-10 00:00:00, 0, 40, 0, 0
clojure, 56, 2784, 8be9b2ba0a5c82dfcc30786b59673879e1f0dbb6, 2013-04-12 00:00:00, 0, 40, 0, 0
clojure, 56, 2745, ef00c7cffad10e6104d333f7f71a29163b06cd0a, 2013-05-24 00:00:00, 0, 40, 0, 0
clojure, 56, 2661, 229bf8fe9a751e4f48bb2b7ea57e27ebc43d26ae, 2013-07-07 00:00:00, 0, 40, 0, 0
clojure, 56, 2617, 469005f139d733ae1ca492bbe453b0b343606d3a, 2013-08-14 00:00:00, 0, 40, 0, 0
clojure, 56, 2528, 249479ecebcb0cfca9e6a1d528e3d7f0b3ca7dc6, 2013-10-31 00:00:00, 0, 40, 0, 0
clojure, 56, 2485, ea283daa6ea419754b939a89c1d98ed0a25019ad, 2013-11-22 00:00:00, 0, 40, 0, 0
clojure, 56, 2394, e8ecfaa1174b91d0f5be0dd8ad2a98bbe9cfdb12, 2014-01-31 00:00:00, 0, 42, 0, 0
clojure, 56, 2351, 041e6bb54cfcaceb84470a4123ba3146d3347f56, 2014-02-27 00:00:00, 0, 42, 0, 0
clojure, 56, 2305, 201a0dd9701e1a0ee3998431241388eb4a854ebf, 2014-03-25 00:00:00, 0, 42, 0, 0
clojure, 56, 2113, 3471585d58cc46f42cad40f183a210aa4973487e, 2014-07-31 00:00:00, 0, 42, 0, 0
clojure, 56, 2065, 1d856d485baeedd75c508495c5a966bf4d9a4375, 2014-08-29 00:00:00, 0, 46, 0, 0
clojure, 56, 2013, 03cd9d159a2c49a21d464102bb6d6061488b4ea2, 2014-09-09 00:00:00, 0, 46, 0, 0
clojure, 56, 1962, b01adb859c66322c5cff1ca9dc1ad98585f2cdc1, 2014-10-27 00:00:00, 0, 46, 0, 0
clojure, 56, 1914, 05af4b52a474bc60d2eb931e388b302c14edc884, 2014-11-14 00:00:00, 0, 46, 0, 0
clojure, 56, 1798, f437b853adeaffc5cad9bb1e01e2355357a492c9, 2015-01-16 00:00:00, 0, 46, 0, 0
clojure, 56, 1740, 1242c4878f3d4ef30535a22f6c74144637504fbe, 2015-02-20 00:00:00, 0, 46, 0, 0
clojure, 56, 1680, bdbc80a6c51659a4df7a261700a9b82490bb1455, 2015-03-31 00:00:00, 0, 62, 0, 0
clojure, 56, 1611, 4964194bae036dc2cddd3f9c03479657aeab6e8c, 2015-04-24 00:00:00, 0, 70, 0, 0
clojure, 56, 1546, 41af6b24dd5be8bd62dc2b463bc53b55e18cd1e5, 2015-05-21 00:00:00, 0, 70, 0, 0
clojure, 56, 1478, 35563c1d64406ce9c57e93a3d1d83cbd0a21bbab, 2015-06-30 00:00:00, 0, 70, 0, 0
clojure, 56, 1417, 4bb1dbd596f032621c00a670b1609a94acfcfcab, 2015-07-31 00:00:00, 0, 70, 0, 0
clojure, 56, 1352, 1d5237f9d7db0bc5f6e929330108d016ac7bf76c, 2015-08-05 00:00:00, 0, 70, 0, 0
clojure, 56, 1287, bc186508ab98514780efbbddb002bf6fd2938aee, 2015-09-11 00:00:00, 0, 70, 0, 0
clojure, 56, 1220, eb26aac312b9f5a754bd639193fbd225e1ff4342, 2015-10-27 00:00:00, 0, 70, 0, 0
clojure, 56, 1152, 2e0c0a9a89ede8221504edeb90e8c4ee6cce7e16, 2015-12-01 00:00:00, 0, 70, 0, 0
clojure, 56, 1088, 77819a58b66dd7dc26bb5798d2e14d3b7b2ea481, 2015-12-16 00:00:00, 0, 70, 0, 0
clojure, 56, 1026, d5708425995e8c83157ad49007ec2f8f43d8eac8, 2016-01-19 00:00:00, 0, 70, 0, 0
clojure, 56, 765, 68fe71f0153bb6062754442c0a61c075b58fd9bc, 2016-06-01 00:00:00, 0, 70, 0, 0
clojure, 56, 694, 0f2e5e575b26a7937d3b94e3c4270137d247690a, 2016-07-01 00:00:00, 0, 70, 0, 0
clojure, 56, 628, d920ada9fab7e9b8342d28d8295a600a814c1d8a, 2016-07-14 00:00:00, 0, 70, 0, 0
clojure, 56, 564, defa7b8ef268ea2b8772658ade2010ca5ad00dc4, 2016-08-30 00:00:00, 0, 70, 0, 0
clojure, 56, 494, 7ce2f66c6bf109783be282886a6031cf0afdbb7b, 2016-09-26 00:00:00, 0, 70, 0, 0
clojure, 56, 427, c0326d2386dd1227f35f46f1c75a8f87e2e93076, 2016-10-28 00:00:00, 0, 70, 0, 0
clojure, 56, 119, 303496aa196f75f9fd7c899b2e1fd3b430a96521, 2017-03-14 00:00:00, 0, 70, 0, 0
clojure, 56, 56, 21a7d5192d7503c58dc97256617beae7c330b7bd, 2017-04-27 00:00:00, 0, 70, 0, 0
