Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
disruptor, 54, 2940, eeb86ae808074caf35715b1cacb3dc9398f584cd, 2012-12-15 00:00:00, 0, 52, 3, 1
disruptor, 54, 2902, f7324eb05c567ed9cc16ab3b9baf423b057b371a, 2013-01-31 00:00:00, 0, 54, 2, 0
disruptor, 54, 2864, 4e11bd1ac799f960ba102a46d02492984750b9b6, 2013-02-20 00:00:00, 0, 56, 2, 0
disruptor, 54, 2824, 65a189849673a0d581f638b24723bc31a77a8c0e, 2013-03-22 00:00:00, 0, 56, 2, 0
disruptor, 54, 2783, df10f1317b1fc82ff9c9d2393588d832518d9f2f, 2013-04-22 00:00:00, 0, 56, 2, 0
disruptor, 54, 2744, 611bd26a67062535135c1edba833d82f7232f36a, 2013-05-24 00:00:00, 0, 56, 2, 0
disruptor, 54, 2702, 481cc5854e9d9c30e6c6d2501533178d78b11192, 2013-06-17 00:00:00, 0, 58, 2, 0
disruptor, 54, 2660, fd310a4378d0165fc745c7d7def318bddd76630e, 2013-07-30 00:00:00, 0, 58, 2, 0
disruptor, 54, 2616, 6fd2ca8b32ad6b1a460b844e06f0012d9b5594d3, 2013-08-12 00:00:00, 0, 58, 2, 0
disruptor, 54, 2527, 8ebea216eb16e884313668fb8f9f785dc1cd4162, 2013-10-25 00:00:00, 0, 58, 2, 0
disruptor, 54, 2484, 57ba059d44e310df4f56a93e3840c6972e09e09d, 2013-11-24 00:00:00, 0, 58, 2, 0
disruptor, 54, 2438, fd86ab33e430be99a17bfdc04e4685b77c8c06bb, 2013-12-16 00:00:00, 0, 58, 2, 0
disruptor, 54, 2350, 046024a8ff9c6881e46c6eca9ac706ee37a57f53, 2014-02-26 00:00:00, 0, 58, 2, 0
disruptor, 54, 2304, f9f13ddbc306f7558f5f81e9b21de661bb40b61f, 2014-03-26 00:00:00, 0, 60, 2, 0
disruptor, 54, 2255, 09b01dd758fd294a95edfa9f4dffcee7edaed0de, 2014-04-28 00:00:00, 0, 64, 2, 0
disruptor, 54, 2207, 6dcd19228fe063483b71e8ade4eea8eee9678da8, 2014-05-26 00:00:00, 0, 66, 2, 0
disruptor, 54, 2160, 07dfde57d06d341aa5a83d3c42d1e075abe14681, 2014-06-16 00:00:00, 0, 68, 2, 0
disruptor, 54, 2112, 03153e3ada0489eef16cb6f59c1668d7ff0b5b2f, 2014-07-21 00:00:00, 0, 72, 2, 0
disruptor, 54, 2012, 1d43965ed0c8e134da51e94157a737957275b35d, 2014-09-15 00:00:00, 0, 72, 2, 0
disruptor, 54, 1961, 24ec7f75c18e5cdf6180aebe78d667b87b966d76, 2014-10-28 00:00:00, 0, 74, 2, 0
disruptor, 54, 1913, 822be7266171540418c8f1291781d0b234c0f939, 2014-11-13 00:00:00, 0, 74, 2, 0
disruptor, 54, 1797, c7b8052d18d9a1a2675f5b88dac82b9dda5d821e, 2015-01-27 00:00:00, 0, 72, 2, 0
disruptor, 54, 1739, b7a61eeefe1823e5f4fc3346629191141fd99374, 2015-02-25 00:00:00, 0, 76, 2, 0
disruptor, 54, 1610, 105c4d59ed1fe49072860ab3aac51927005a3cb4, 2015-05-01 00:00:00, 0, 76, 2, 0
disruptor, 54, 1544, 98749a88b6e65f0f5ee15b962e873e9dd523324e, 2015-05-15 00:00:00, 0, 80, 2, 0
disruptor, 54, 1477, af41074f2561bf9a51411163820768d271c13606, 2015-06-25 00:00:00, 0, 80, 2, 0
disruptor, 54, 1415, 9fad4f148e0ec190bc45353408cf0ac173838490, 2015-07-30 00:00:00, 0, 80, 2, 0
disruptor, 54, 1285, f29b3148c2eef3aa2dc5d5f570d7dde92b2f98ba, 2015-09-08 00:00:00, 0, 80, 2, 0
disruptor, 54, 1150, 21956cfaf9a74aa72b5c5022d9004e70dbf23cda, 2015-12-01 00:00:00, 0, 80, 2, 0
disruptor, 54, 1087, d2252345fe5afc53963babfa6628286824cadd03, 2015-12-22 00:00:00, 0, 80, 2, 0
disruptor, 54, 1025, 71d47f6352c024745f7a7ff371a218de72975a02, 2016-02-02 00:00:00, 0, 80, 2, 0
disruptor, 54, 956, 9cea6e8896fb1841f34f3aa9c1d0cd97a4519863, 2016-02-10 00:00:00, 0, 80, 2, 0
disruptor, 54, 892, acd4e3c22f10abdeea0feff647221eeeaee27d9a, 2016-03-23 00:00:00, 0, 80, 2, 0
disruptor, 54, 827, 6ff996d8a2cde8d4609aa0314f64f72f2b7e820b, 2016-04-12 00:00:00, 0, 80, 2, 0
disruptor, 54, 763, be036d01238f26ff2e3ec6920e9d555822b51e84, 2016-05-11 00:00:00, 0, 82, 2, 0
disruptor, 54, 693, 2851cf8cb48519e3fb81971428ed32274b3f4662, 2016-06-19 00:00:00, 0, 84, 2, 0
disruptor, 54, 627, 8e0af7917b050f4b1581d5d0a78003d881c760e5, 2016-07-31 00:00:00, 0, 84, 2, 0
disruptor, 54, 562, 50a06d56890d4d8b738cd12d61aa40681b8e2523, 2016-08-04 00:00:00, 0, 92, 2, 0
disruptor, 54, 493, b1e425ea7d5f0e4c48af75876e2a50231e8e69eb, 2016-09-28 00:00:00, 0, 92, 2, 0
disruptor, 54, 363, 2314a2735b9be01b0254d17dedda79e4cd93635c, 2016-11-22 00:00:00, 0, 92, 2, 0
disruptor, 54, 180, 2687e168eb79b7840e7f238d3fd9ef8a37fba5a0, 2017-03-01 00:00:00, 0, 48, 2, 0
disruptor, 54, 118, cb87701d5638e8649744e41ad79fb168f2b872ba, 2017-03-30 00:00:00, 0, 48, 2, 0
disruptor, 54, 54, c0623be6e72f4573acbbc7f51cf6c850de47fc19, 2017-04-12 00:00:00, 0, 48, 2, 0
