Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
dropwizard, 28, 2921, 0bffb9d2dad5a4a0dc8dfb442ff8197ef599e890, 2012-12-22 00:00:00, 0, 36, 4, 3
dropwizard, 28, 2883, b255203753b08783890c234fdd213b6264a549da, 2013-01-29 00:00:00, 0, 36, 4, 3
dropwizard, 28, 2844, 126eacf6e54b1d775c446396234ad5a50be564db, 2013-02-28 00:00:00, 0, 44, 4, 3
dropwizard, 28, 2805, fb9825f98de195f1034cc55fb8ec2762672755f6, 2013-03-29 00:00:00, 0, 56, 4, 3
dropwizard, 28, 2766, 657e4ddc77c57c1cbc0b67fed0b2b318be6d1b1c, 2013-04-30 00:00:00, 0, 56, 7, 3
dropwizard, 28, 2724, 7dacf096be6b18016e5d8a4e2f92ce9f24c6da0d, 2013-05-31 00:00:00, 0, 66, 10, 3
dropwizard, 28, 2683, 85fa1cfde49da4a71f9a8a90cc83fc1a48fa1e42, 2013-06-25 00:00:00, 0, 60, 9, 3
dropwizard, 28, 2642, 5485c6cb8e2dcd26177c5abe93883dc01357d0f9, 2013-07-29 00:00:00, 0, 62, 10, 3
dropwizard, 28, 2594, 9e073277b5e3936b5a89b361e95f2e2176b41d78, 2013-08-29 00:00:00, 0, 60, 9, 3
dropwizard, 28, 2551, 374a9eb81506b9ccdbd1494e79b3d92f23242b5f, 2013-09-29 00:00:00, 0, 64, 11, 3
dropwizard, 28, 2507, a079d189a970444d86f18cfa6eb4e4a6f2e6ac6d, 2013-10-28 00:00:00, 0, 64, 11, 3
dropwizard, 28, 2461, abed9658b0fb77070c161e82c30f6580f6a74212, 2013-11-14 00:00:00, 0, 66, 10, 3
dropwizard, 28, 2416, ca02d9c0658f78bc5c128308a8b933538f2fe656, 2013-12-26 00:00:00, 0, 66, 10, 3
dropwizard, 28, 2374, 8c7ca9bc31b9e37e7797f66ecb5d6d690f0ae86a, 2014-01-31 00:00:00, 0, 68, 10, 3
dropwizard, 28, 2329, aff25430202f9728413b03f5d11a1ae0a89bed03, 2014-02-28 00:00:00, 0, 96, 11, 3
dropwizard, 28, 2281, 17bd536a21a8765de4d530ee27a4ffabc95a40f7, 2014-03-31 00:00:00, 0, 96, 11, 0
dropwizard, 28, 2234, 3eee3423d87b688fbdfc56bb8b112d39152d3898, 2014-04-30 00:00:00, 0, 100, 12, 0
dropwizard, 28, 2185, 7eea09b60bacb8b3503cdddfb44df00d410058ad, 2014-05-28 00:00:00, 0, 104, 12, 0
dropwizard, 28, 2141, 2235f5a6fdd324faa36e3054d104acd9cf865db7, 2014-06-30 00:00:00, 0, 106, 12, 0
dropwizard, 28, 2092, 3cfe6a958f9f9b879bb23d071424eaab25b17818, 2014-07-31 00:00:00, 0, 106, 12, 0
dropwizard, 28, 2043, a070ecc7e5a8c11040d185daef7fb7e7383138d6, 2014-08-29 00:00:00, 0, 108, 12, 0
dropwizard, 28, 1989, 3b048005a4cb734c60159403762801d92c6a4f62, 2014-09-30 00:00:00, 0, 122, 10, 3
dropwizard, 28, 1940, fc20f7d9c53c99e750099b09b68fe8fcadd4b418, 2014-10-28 00:00:00, 0, 124, 10, 3
dropwizard, 28, 1886, c83980324add33b9e743a0b18af47ec42c5a443d, 2014-11-26 00:00:00, 0, 128, 10, 3
