Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
elasticsearch, 45, 2933, 720feca3c57b5ce80b1b46d363aebb079df89b26, 2012-12-31 00:00:00, 0, 1296, 103, 13
elasticsearch, 45, 2895, 45b2bff8daaef17f78019f90a359217e302f7373, 2013-01-31 00:00:00, 0, 1228, 95, 6
elasticsearch, 45, 2857, 30075bb6f977ac2c4279e87a1b44a08e07ccd70b, 2013-03-01 00:00:00, 0, 1306, 94, 6
elasticsearch, 45, 2817, a57a9e23f14f43bce447d878d843146a6156d110, 2013-03-31 00:00:00, 0, 4, 1, 0
elasticsearch, 45, 2778, 6437c5150132c380f8f0535efdca0fd35c48746a, 2013-04-30 00:00:00, 0, 1396, 90, 5
elasticsearch, 45, 2738, 183bb7637130cc8e2af3b82c2cbccbae900984ff, 2013-05-31 00:00:00, 0, 1438, 93, 5
elasticsearch, 45, 2654, fd15b6278b78be0057fad1357c1c2f511a6413d2, 2013-07-31 00:00:00, 0, 1534, 98, 6
elasticsearch, 45, 2608, 69848210d64eef7027fb9df3cdef620c73e04684, 2013-08-31 00:00:00, 0, 1660, 109, 6
elasticsearch, 45, 2565, ba40aa374e586f362414b16ec5a58faf8dee6ed6, 2013-09-30 00:00:00, 0, 1732, 110, 6
elasticsearch, 45, 2521, 29363d81396f434bde6af6678e042c2bfb0b1893, 2013-10-31 00:00:00, 0, 1780, 106, 7
elasticsearch, 45, 2477, ac1e9856703960d953b81ba987f04596c925d153, 2013-11-30 00:00:00, 0, 1784, 124, 7
elasticsearch, 45, 2431, e7a84d744ae84b1192e8454d83ad7b4e76556808, 2013-12-30 00:00:00, 0, 1832, 129, 7
elasticsearch, 45, 2387, 9cf8251a0de630ba608212c5020e81b644be6e3c, 2014-01-31 00:00:00, 0, 1890, 141, 7
elasticsearch, 45, 2343, f01363ec37247bf30f2ec9d1bff6cb30e8937458, 2014-02-28 00:00:00, 0, 12, 0, 0
elasticsearch, 45, 2296, fac4da822d0494eb9f491455f59c8814fc69927b, 2014-03-31 00:00:00, 0, 1988, 168, 8
elasticsearch, 45, 2249, 23f200bc0e36cc0a642e3a7599fbca68d8564ff4, 2014-04-30 00:00:00, 0, 1966, 172, 8
elasticsearch, 45, 2199, 7552b69b1f3e06248edee06221ab9e7655107d67, 2014-05-31 00:00:00, 0, 1928, 169, 8
elasticsearch, 45, 2155, 8a20bfcdd541438f1b92a9d5a49225bb4dd25161, 2014-06-30 00:00:00, 0, 1986, 172, 8
elasticsearch, 45, 2107, 1d581e628624c3b59941acfad6f07bd463010944, 2014-07-31 00:00:00, 0, 2268, 181, 8
elasticsearch, 45, 2058, 9df10a07b08e49c4f7daf6772ca438a9f87ba897, 2014-08-31 00:00:00, 0, 2302, 182, 7
elasticsearch, 45, 2003, 3aa4ac9caac65c1566d6fbac7fa0a1551d7b3993, 2014-09-30 00:00:00, 0, 2346, 186, 7
elasticsearch, 45, 1954, 02debfd1279e64326b5ddd9b3c3cfac9770df8c2, 2014-10-31 00:00:00, 0, 2410, 193, 6
elasticsearch, 45, 1904, ade5aaae5f74e368d747077e8b22548677bf2969, 2014-11-30 00:00:00, 0, 2494, 195, 5
elasticsearch, 45, 1847, 707025fb7af81505fc39ff4d64676fdbe93fffaa, 2014-12-31 00:00:00, 0, 2508, 197, 5
elasticsearch, 45, 1787, 42bb5deca2d11d5b13ea83c1aff608caf805a319, 2015-01-31 00:00:00, 0, 2552, 197, 5
elasticsearch, 45, 1728, c346effd9c16585ba8220f9fac3e4e83511df2f9, 2015-03-01 00:00:00, 0, 2670, 203, 5
elasticsearch, 45, 1669, 1c162ed34aacedf9b81f2dd31c604f12f5da4247, 2015-03-31 00:00:00, 0, 2654, 198, 5
elasticsearch, 45, 1599, c165afb4d5a0d90ac214307beb16fc10513c8995, 2015-04-30 00:00:00, 0, 2726, 193, 5
elasticsearch, 45, 1534, ec8ab8a10926b752ca66d2ab9b013118e054dfd0, 2015-05-31 00:00:00, 0, 2778, 196, 5
elasticsearch, 45, 1466, ce900b4d7a92d3005294715a2b022cae7b3f1317, 2015-07-01 00:00:00, 0, 2910, 200, 5
elasticsearch, 45, 1404, aaf0976cb7478bebf7839072ebf22dc6e8b30dfc, 2015-08-01 00:00:00, 0, 2920, 208, 6
elasticsearch, 45, 1341, abec2679f02724ac600653595bee86d26a8f3a66, 2015-09-01 00:00:00, 0, 3024, 222, 6
elasticsearch, 45, 1276, e75f1137f2e59cf8dd114ca9c74c21fcff7304e6, 2015-10-02 00:00:00, 173, 2854, 226, 5
