Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
fastjson, 16, 2916, 013a89b8968d78b6839392345511cc831019c123, 2012-12-21 00:00:00, 0, 336, 3, 0
fastjson, 16, 2878, 5ad4de36e8e949297e263c935cf9f97f2c440cbe, 2013-01-31 00:00:00, 0, 338, 3, 0
fastjson, 16, 2839, 8e1fad39b5ee145fa549ad6ea96e2a74da58562c, 2013-02-27 00:00:00, 0, 338, 3, 0
fastjson, 16, 2799, b3e3274528e0850f251735ae62e136cbb4e5c513, 2013-03-20 00:00:00, 0, 340, 3, 0
fastjson, 16, 2760, 8a1775b93583879affd0b0cea32025a8f86a32b2, 2013-04-27 00:00:00, 0, 340, 3, 0
fastjson, 16, 2718, d50b584f3e9ffd37d82ac0cad62c196707417957, 2013-06-01 00:00:00, 0, 362, 3, 0
fastjson, 16, 2677, 2774ecb7d283ee843c0decfd1cc996c5726d3129, 2013-06-30 00:00:00, 0, 386, 4, 0
fastjson, 16, 2636, 331719573dca2029b525806995bd35f015c051ba, 2013-07-31 00:00:00, 0, 410, 6, 0
fastjson, 16, 2588, 80eb7360d44a97672f9017ee40127f75ea6b27b3, 2013-08-29 00:00:00, 0, 410, 6, 0
fastjson, 16, 2545, c38c67cfdded87ccbf7cbba27d76553462c800a8, 2013-09-30 00:00:00, 0, 410, 6, 0
fastjson, 16, 2501, 76fc26dcd22a23c91585160c01c3410fa1c543fb, 2013-10-24 00:00:00, 0, 410, 6, 0
fastjson, 16, 2455, 4292accb603b56ab8a7de10d6b82e03ec2a18410, 2013-11-19 00:00:00, 0, 410, 6, 0
fastjson, 16, 2411, 4be3edb8a29d9eed5db65828ac6f2fb7ba7aa440, 2013-12-30 00:00:00, 0, 410, 6, 0
fastjson, 16, 2368, 4a9b5aa17c991e2e4057a18d2f262c225b650b1e, 2014-01-18 00:00:00, 0, 410, 6, 0
fastjson, 16, 2323, 1e418d3440fcf9f317d8fbc6b310e815b809af9c, 2014-02-24 00:00:00, 0, 410, 6, 0
fastjson, 16, 2275, 5e3ede7923bd4b7930b8f785b900e80753b97c01, 2014-03-10 00:00:00, 0, 410, 6, 0
fastjson, 16, 2227, 0354231aa24db3aa635496a09b1b23c4eaa56028, 2014-04-17 00:00:00, 0, 410, 6, 0
fastjson, 16, 2178, 6a2b502455b54367cc2554eb5e00d27056c07f13, 2014-05-23 00:00:00, 0, 410, 6, 0
fastjson, 16, 2134, 21b9657d1bc1521ec05d0a84f8728270040622b9, 2014-06-28 00:00:00, 0, 410, 6, 0
fastjson, 16, 2086, fbfa4b29c46d9eeff84f493f04eb2f6081c73570, 2014-07-28 00:00:00, 0, 410, 6, 0
fastjson, 16, 2036, a6a3bdbe09e5dd329dedcdf3e2d9f2c506bb5ff0, 2014-08-27 00:00:00, 0, 410, 6, 0
fastjson, 16, 1982, 23740c40ad9ad869a1713eb8f2ab81ec6edd8287, 2014-09-30 00:00:00, 0, 410, 6, 0
fastjson, 16, 1933, 22707f0f3a9c4937994a5e463b8c08f082d07e9b, 2014-10-28 00:00:00, 0, 432, 8, 0
fastjson, 16, 1879, e20904461589493a264189a586fca56e2c2b0b49, 2014-11-29 00:00:00, 0, 432, 8, 0
fastjson, 16, 1823, 523c92f997921ad4c5fae4ef4ea36e9e00979b59, 2014-12-02 00:00:00, 0, 432, 8, 0
fastjson, 16, 1762, 8c6709268735339031c30da0de8031039349ca02, 2015-01-29 00:00:00, 0, 432, 8, 0
fastjson, 16, 1702, 2ce76b5e75027f642628772b1a583184bcf41498, 2015-03-01 00:00:00, 0, 432, 8, 0
fastjson, 16, 1638, 76b97154038f9f8e289a2ba217dee7361d23df4f, 2015-03-11 00:00:00, 0, 436, 8, 0
fastjson, 16, 1506, db4e1e619cfdfd60490a59891d1b33819ec260c1, 2015-05-27 00:00:00, 0, 436, 8, 0
fastjson, 16, 1439, 2dd66464db80d245505de689d98b138bc5f67f89, 2015-06-30 00:00:00, 0, 436, 8, 0
fastjson, 16, 1376, 0f039687312130db032355ecb27913371f78014b, 2015-07-23 00:00:00, 0, 436, 8, 0
fastjson, 16, 1314, 7b1c901b359f48177d13a7cf42c312479780e904, 2015-09-01 00:00:00, 0, 436, 8, 0
fastjson, 16, 1178, df0e02b549c791358655fae8c4f0d30a6c359a79, 2015-10-29 00:00:00, 0, 436, 8, 0
fastjson, 16, 1113, 0bf508224cdb72cb2d77d03f7d41328d4e2df951, 2015-11-16 00:00:00, 0, 436, 8, 0
fastjson, 16, 984, 07f9625bcf6e3bc9ce5e9892db324721be105f8b, 2016-01-31 00:00:00, 0, 436, 8, 0
fastjson, 16, 916, 82550631e67dfb59e795c2a28719100058b595d7, 2016-02-28 00:00:00, 0, 436, 8, 0
fastjson, 16, 853, c1091ed4d92074695c9b24056f4b5471578951f8, 2016-04-02 00:00:00, 0, 440, 8, 0
fastjson, 16, 788, 55f3fc0d86051f878806b20ca7c264ae68649ac5, 2016-05-02 00:00:00, 0, 718, 8, 0
fastjson, 16, 721, 249e7e1a79812fc5d3cd1ca8f900f1acd443154b, 2016-06-01 00:00:00, 0, 726, 7, 0
fastjson, 16, 653, 7a3018b3ad78ad829c2987017c1661c41ea426dc, 2016-07-01 00:00:00, 0, 726, 7, 0
fastjson, 16, 587, f40b7b10a581e9c9edcf4c4fc089fb26926a14b1, 2016-08-01 00:00:00, 0, 726, 7, 0
fastjson, 16, 518, 8bb9e959594edba6297ded90dec77cc29eb173cc, 2016-09-01 00:00:00, 0, 730, 7, 0
fastjson, 16, 452, 92c139a9d2050893d0ef60de42a51f3b4a1e2701, 2016-10-01 00:00:00, 0, 738, 8, 0
fastjson, 16, 389, 3d4a7a29d858d40029cca0a0d1ee5be67b9a1ade, 2016-11-01 00:00:00, 0, 750, 8, 0
fastjson, 16, 327, 335a7abd4c2506106b1656a64ba52aa8afa1afbc, 2016-11-22 00:00:00, 0, 752, 8, 0
fastjson, 16, 260, 923e30e62c654fdf13c683338989cc17ccabcb8d, 2016-12-29 00:00:00, 0, 758, 8, 0
fastjson, 16, 205, 74bb3d4a7a826b9259ce768c3671ddf9a8d197e4, 2017-01-31 00:00:00, 0, 760, 8, 0
fastjson, 16, 145, 206892be0f5fb51918c035cbe9448a30f6731231, 2017-02-28 00:00:00, 0, 760, 8, 0
