Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
flexbox-layout, 17, 854, 6fc3977fd6f9677f90e8f04ab0545008d2e03507, 2016-03-31 00:00:00, 0, 6, 0, 0
flexbox-layout, 17, 789, efe2e77d8fb08e8668de1b8bcbf328c0110e1da9, 2016-04-28 00:00:00, 0, 184, 0, 0
flexbox-layout, 17, 722, 3c9573c895c5735fa9c9e1abfcea7b8816fa8285, 2016-06-01 00:00:00, 0, 240, 0, 0
flexbox-layout, 17, 654, e7d308e4585b953a076ceeea3d822248baaf9fd2, 2016-06-17 00:00:00, 0, 274, 0, 0
flexbox-layout, 17, 588, 329a26a6a3765203b1afd49fc7107a8908b98833, 2016-07-27 00:00:00, 0, 312, 0, 0
flexbox-layout, 17, 519, 9fda765a7920145c0eb052e0110e231840155c39, 2016-09-01 00:00:00, 0, 312, 0, 0
flexbox-layout, 17, 453, 17cfa5f3ae81a5f515f11977951db9b1d9c99880, 2016-09-20 00:00:00, 0, 312, 0, 0
flexbox-layout, 17, 390, 952cc074b8d3eca6c9a78d347d8ee74e03996fc4, 2016-10-21 00:00:00, 0, 312, 0, 0
flexbox-layout, 17, 328, fcfde6f3c9fede31d30e2b7718220c77ad14ef70, 2016-11-24 00:00:00, 0, 320, 0, 0
flexbox-layout, 17, 261, 69c327652094b2ca2c3a8628fe7c1aa70de84178, 2016-12-22 00:00:00, 0, 336, 0, 0
flexbox-layout, 17, 206, 4925eb9721c8c6a9eb97d8c7c75d016f5395d4a4, 2017-02-01 00:00:00, 0, 336, 0, 0
flexbox-layout, 17, 146, cfc8d05bbcbc43e299ed4a1d5f0d34c12d7a34eb, 2017-02-27 00:00:00, 0, 244, 0, 0
flexbox-layout, 17, 82, 23facc3fd7fd8c31288b44a72f2b015dd0730fd0, 2017-03-30 00:00:00, 0, 244, 0, 0
flexbox-layout, 17, 17, 542066438215c80cab5d82d69a9110b6423476ec, 2017-04-18 00:00:00, 0, 254, 0, 0
