Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
greenDAO, 51, 2937, 0fbc67832d3d00f1c6c9f0473d32b152d3124fc2, 2012-12-03 00:00:00, 0, 16, 3, 0
greenDAO, 51, 2899, 45248466c69555a33e46b702e3133f06f7de002c, 2013-01-15 00:00:00, 0, 16, 3, 0
greenDAO, 51, 2861, f7dd857df6abfc576d64a6d7b7c264174a50b8a2, 2013-02-24 00:00:00, 0, 90, 3, 0
greenDAO, 51, 2821, 465e2ef056ce2d9b5362e51bdffff8ba6bd0ed64, 2013-03-02 00:00:00, 0, 90, 3, 0
greenDAO, 51, 2699, 6a522c0a7986fe7b8ab5eed333b423253540a26d, 2013-06-14 00:00:00, 0, 90, 3, 0
greenDAO, 51, 2613, 01be6fcacd3a424a220011b7de1437e028ccb46a, 2013-08-30 00:00:00, 0, 90, 3, 0
greenDAO, 51, 2524, ac1aec6ab873ee564d6725e2d08a993cc10e87d2, 2013-10-18 00:00:00, 0, 92, 3, 0
greenDAO, 51, 2481, d13a1f1d0e8d244e8033a944599adda7bb157bef, 2013-11-27 00:00:00, 0, 92, 3, 0
greenDAO, 51, 2204, 37d9ec1887b3fd467b545e6a6e42c29259d6c4e0, 2014-05-29 00:00:00, 0, 92, 3, 0
greenDAO, 51, 1908, 07524fc2c45426c184110c2d4c78477c224a7f99, 2014-11-08 00:00:00, 0, 92, 3, 0
greenDAO, 51, 1472, e4d6a075ff85ec1c7c71814fd682f7a22585379e, 2015-07-01 00:00:00, 0, 92, 2, 0
greenDAO, 51, 1410, 5b7b48127244962572722776bf600c418897d168, 2015-07-30 00:00:00, 0, 92, 2, 0
greenDAO, 51, 1347, 3da7fd20b1e1c940ef567b0732fd0f7fa97e9694, 2015-08-31 00:00:00, 0, 92, 2, 0
greenDAO, 51, 1280, 25908b4aba7bf8a21010a8fb60d9b34a641e3b12, 2015-09-30 00:00:00, 0, 96, 2, 0
greenDAO, 51, 1214, d9067c438755902a1282789fe4235d700f47bb94, 2015-10-06 00:00:00, 0, 102, 2, 0
greenDAO, 51, 1145, 6e27db98cbd0cafdcb3333da490488df15f4db62, 2015-11-17 00:00:00, 0, 90, 2, 0
greenDAO, 51, 1083, 49e84eca99db22abfd5df3bff6eb9b0514691028, 2015-12-08 00:00:00, 0, 90, 2, 0
greenDAO, 51, 1020, b51da611dfa4413c321e775ac68c2f854fade930, 2016-01-22 00:00:00, 0, 90, 2, 0
greenDAO, 51, 951, 96308484c70f518ae8b1df1ef82240db2640a255, 2016-02-12 00:00:00, 0, 90, 2, 0
greenDAO, 51, 888, 981daa2d27d022996214c2af6ec1552d7d41374c, 2016-04-01 00:00:00, 0, 90, 2, 0
greenDAO, 51, 824, 44fdb19e1c23463b7aa9a827c40f88ed92cf6e8c, 2016-04-29 00:00:00, 0, 90, 2, 0
greenDAO, 51, 759, 557f6db73c8e983b3af3322ad09c60174818224c, 2016-05-31 00:00:00, 0, 90, 2, 0
greenDAO, 51, 689, 0ece2ad08ac59c0ae3e3c5ab5a86d412d5b429d2, 2016-07-01 00:00:00, 0, 92, 2, 0
greenDAO, 51, 623, f3e834cc5ca6f49efc6429f5a2c1ea12a664b0fd, 2016-08-01 00:00:00, 0, 108, 2, 0
greenDAO, 51, 558, cd8f1f2a7d225d8a4005ccae588c16faae45389e, 2016-08-30 00:00:00, 0, 172, 2, 0
greenDAO, 51, 489, 40320866b831fddeb6dead3d2c16ec40f2ab6c32, 2016-10-01 00:00:00, 0, 172, 2, 0
greenDAO, 51, 424, a47dee49b25ffa329df6f13af37b5c7320b4e90e, 2016-10-31 00:00:00, 0, 172, 2, 0
greenDAO, 51, 359, 7b2f3650fdfb1193572b092ed0dfb49936453153, 2016-11-17 00:00:00, 0, 172, 2, 0
greenDAO, 51, 298, e15bd81ce521847e6de8c4094b8bb952b859ba6c, 2016-12-12 00:00:00, 0, 172, 2, 0
greenDAO, 51, 236, 4c101e73e6bfc6d376bb610fea5afc29082d8398, 2017-01-28 00:00:00, 0, 172, 2, 0
greenDAO, 51, 115, ec946ff91746dbee4a196ccfd7a09b5d0bc5ccd2, 2017-03-27 00:00:00, 0, 172, 2, 0
greenDAO, 51, 51, 59c66587bbf996bc2baddd0e7dee4dee87931a84, 2017-04-13 00:00:00, 0, 172, 2, 0
