Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
guava, 29, 2923, af568193e6ee1015f38fb7c2bfed6228529f43b9, 2012-12-20 00:00:00, 0, 4618, 100, 5
guava, 29, 2885, 82c959fe44eb4af14e44229c2c4ad6fface6defb, 2013-01-30 00:00:00, 0, 4558, 92, 5
guava, 29, 2846, 6487f52fabf979c6260ea652660e49ded05bbba3, 2013-02-22 00:00:00, 0, 4566, 92, 5
guava, 29, 2807, 9775718339e7cfe0c0c562230eef10ff5c08a070, 2013-03-28 00:00:00, 0, 4460, 96, 5
guava, 29, 2768, 3a03624df74595b4dd953a4ca9fed43408249ca4, 2013-04-29 00:00:00, 0, 5008, 111, 5
guava, 29, 2726, 2653e5bbecfee0dc8bf502c48975740e3a6453eb, 2013-05-29 00:00:00, 0, 5000, 116, 5
guava, 29, 2685, 7c3a7b17ff193720dc57ccf21aaa5525a75b3ffb, 2013-06-29 00:00:00, 0, 4984, 120, 5
guava, 29, 2644, 9e513787c859c6ea922574ef30c66f17eb9158f1, 2013-07-29 00:00:00, 0, 4960, 121, 5
guava, 29, 2596, cc75db0727f283900fe601fc2905fa0b220c46b2, 2013-08-30 00:00:00, 0, 4962, 121, 5
guava, 29, 2553, ed3d044ad485fa09b424f26810b123b872a9270f, 2013-09-30 00:00:00, 0, 5096, 120, 5
guava, 29, 2509, cff5df6b48b892574975dc045f6ed3552d4b3d1d, 2013-10-30 00:00:00, 0, 5076, 120, 5
guava, 29, 2463, 7de3cbca3854ae0d9e9f7973a8f3cfe855a2407a, 2013-11-26 00:00:00, 0, 5074, 118, 5
guava, 29, 2419, 4b0e869014db10f62a6efec866a0a2fcccee52ad, 2013-12-30 00:00:00, 0, 5134, 118, 5
guava, 29, 2377, 7a8148a7bbd7aaa5e9e157118c824ab502f9b052, 2014-01-31 00:00:00, 0, 5134, 119, 5
guava, 29, 2332, e8a99494cf370daf93880c99fc69c5d52bbaaa46, 2014-02-28 00:00:00, 0, 5144, 119, 5
guava, 29, 2284, c413ba4581a8eac5c8dfe663660c6ad8e1f682d4, 2014-03-31 00:00:00, 0, 5146, 112, 5
guava, 29, 2236, fc2081c91447a8f74aaeca6ebc1e0a96f16da9b9, 2014-04-28 00:00:00, 0, 5144, 112, 5
guava, 29, 2187, 75bcf0a64563396d55e997b017c5640e8a1ff6e5, 2014-05-23 00:00:00, 0, 5140, 112, 5
guava, 29, 2143, 4232450e7bb7c46c08868f699323db3e787507c8, 2014-06-29 00:00:00, 0, 5132, 111, 5
guava, 29, 2095, f031a751150e474f9f55bc6b23eba7cc9a31dccf, 2014-07-30 00:00:00, 0, 5130, 111, 5
guava, 29, 2046, f5d24b9c0bc6a5f6b203e52626a44d40c7fa04d5, 2014-08-24 00:00:00, 0, 5142, 111, 5
guava, 29, 1990, d0a0c8fb1c7df372e617878c1d8414861558637d, 2014-09-29 00:00:00, 0, 4984, 112, 5
guava, 29, 1942, fa95e381e665d8ee9639543b99ed38020c8de5ef, 2014-10-31 00:00:00, 0, 4964, 112, 5
guava, 29, 1889, 0f9774d76fa6b0d7353b24e0550af519e936da07, 2014-11-19 00:00:00, 0, 4976, 112, 5
guava, 29, 1833, e370ddeb7558f0028302c5aada1f89b469417b25, 2014-12-30 00:00:00, 0, 5118, 110, 5
guava, 29, 1773, a451495691f7e57de33344899e3ea2e0383a14be, 2015-01-30 00:00:00, 0, 5208, 110, 5
guava, 29, 1714, 957450e1f7f476718d7d13e7723baa325267c763, 2015-02-26 00:00:00, 0, 5390, 110, 5
guava, 29, 1650, 7af428ed5883d5237849d44a76d8ec0f41c10080, 2015-03-23 00:00:00, 0, 5374, 108, 5
guava, 29, 1581, 9e23ac36e8fe0f54d399d54b67b3c484c46eccb1, 2015-04-28 00:00:00, 0, 5370, 108, 5
guava, 29, 1517, fb25083e4628ba4f648b80283d167b667fb0d09c, 2015-05-29 00:00:00, 0, 5396, 108, 5
guava, 29, 1450, cb0cf6a40e815e662fb63438dbbfebaf6d9dcb80, 2015-06-26 00:00:00, 0, 5350, 109, 5
guava, 29, 1388, 755b2a8a851a15e7d9fbe32fc8d99e7670717631, 2015-07-28 00:00:00, 0, 5288, 111, 5
guava, 29, 1326, 7f357b8db9dc1c0564c99689e29f5f927e623ad7, 2015-09-01 00:00:00, 0, 5368, 110, 5
guava, 29, 1259, a9f8b899c07a33c2203b4e6cf84861646952aeed, 2015-09-30 00:00:00, 0, 5396, 111, 5
guava, 29, 1191, 41c3a220300dd8e8b6e41f7089875c98a14cb7d9, 2015-10-30 00:00:00, 0, 4170, 76, 3
guava, 29, 1125, f8fb8c005386fed668ade679bb1469355fddc4f7, 2015-12-01 00:00:00, 0, 4174, 76, 3
guava, 29, 1060, ecb5eaa6672faf665e6bdd064866ad795ad2d394, 2015-12-29 00:00:00, 0, 4194, 90, 3
guava, 29, 996, 2e112b74caa773d6d57c3766a8086e9c59d39bce, 2016-02-01 00:00:00, 0, 4176, 91, 3
guava, 29, 927, 2b384af7d7c63afa06cf684c24867757d7e54969, 2016-03-01 00:00:00, 0, 4182, 82, 3
guava, 29, 867, c995616f2409e2b20e890e415d6dd3d38d5bc1fe, 2016-04-01 00:00:00, 0, 4166, 82, 3
guava, 29, 802, 1de67afcb295c771fb00a98281c6becf74926e76, 2016-04-26 00:00:00, 0, 4198, 78, 3
guava, 29, 735, 52a6955f2a3f7d5e62bcb9561e5fc563b6e7fafb, 2016-05-27 00:00:00, 0, 4200, 78, 3
guava, 29, 665, 1b1163b7e2c121d4a5b25b8966714201551976c4, 2016-06-30 00:00:00, 0, 4232, 78, 3
guava, 29, 602, 5803c43d7e79b969b12fb61ed423dbb07fddfc6c, 2016-08-01 00:00:00, 0, 4242, 77, 3
guava, 29, 534, 58f40144cd50246dfebd00d36e372527ba912d0b, 2016-09-01 00:00:00, 0, 4244, 77, 3
guava, 29, 468, 782eac76781420dbecf4aa1031d718eb375c7a96, 2016-10-01 00:00:00, 0, 4248, 75, 3
guava, 29, 403, 0f3f53a1f51495023a8552df6db25ac8ed44ae2e, 2016-11-01 00:00:00, 0, 4230, 75, 3
guava, 29, 341, 526ba0d4b72902cc1d4a2430c57fa56565f60453, 2016-12-01 00:00:00, 243, 4314, 74, 3
guava, 29, 277, 305a4b97c56ca04d7e487c59b21b148479561117, 2016-12-29 00:00:00, 248, 4316, 74, 3
guava, 29, 218, 93e4fb0aaf1c2304589f431c644f4bb7fc9e7363, 2017-01-31 00:00:00, 257, 4326, 74, 3
guava, 29, 161, 53e2de6e9cbb7fe686c3a28180770b884c02d1e3, 2017-03-01 00:00:00, 259, 4326, 74, 3
guava, 29, 95, 9fad64c2874ab1aa21d3ecad54f19ae4a25f27fd, 2017-03-31 00:00:00, 284, 4356, 75, 3
guava, 29, 29, f92fbe4e0eeacbfc1eb947acab04760f9adeb7f5, 2017-04-28 00:00:00, 398, 16486, 289, 12
