Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
ion, 78, 2740, a7b4149b0d690437945f3d73cecc55841820308e, 2013-05-31 00:00:00, 0, 58, 0, 0
ion, 78, 2697, 7a7759a58d1950ff02a5194797c031f5423b36f3, 2013-06-30 00:00:00, 0, 136, 0, 0
ion, 78, 2656, 0396958b1b6d9aec424b89873cd238b26a3d3e4f, 2013-07-23 00:00:00, 0, 144, 0, 0
ion, 78, 2611, 59a2e44747a6725f49aaf7684ec5fb89daf36800, 2013-08-31 00:00:00, 0, 144, 0, 0
ion, 78, 2568, 0064a1d285509ac69ebc8e277a7d49587b9773e7, 2013-09-29 00:00:00, 0, 158, 0, 0
ion, 78, 2522, 145448c3cb9491203782deabef5a400eb764997c, 2013-10-27 00:00:00, 0, 166, 0, 0
ion, 78, 2479, 6b8dd7af5949f42b16956d18eb7eae17bb8d2251, 2013-11-27 00:00:00, 0, 208, 0, 0
ion, 78, 2434, 59d6e38af9ad75859d3e0f530342625a0eb083ad, 2013-12-26 00:00:00, 0, 230, 0, 0
ion, 78, 2390, 89ad0a712a62244a36c9e55e78d647c8a4b0576a, 2014-01-30 00:00:00, 0, 236, 0, 0
ion, 78, 2346, 9b9ca0907d76d94f9bf4ce7bfa3f14eced010601, 2014-02-27 00:00:00, 0, 254, 0, 0
ion, 78, 2300, 10c0c5f77bec3223def66c64a514fd5a241d2a73, 2014-03-19 00:00:00, 0, 258, 1, 0
ion, 78, 2251, 8a25aaa1ee291ea5f7a841d856a019c798ab9186, 2014-04-26 00:00:00, 0, 254, 1, 0
ion, 78, 2202, d32f537c9e62ddf3bb2cb2c28a04ab9bc67e05cd, 2014-05-30 00:00:00, 0, 254, 1, 0
ion, 78, 2156, 1d6f03c3309a53521ffa83d441a8d972acf0cb43, 2014-06-29 00:00:00, 0, 268, 1, 0
ion, 78, 2108, 6e85fa8d04a2c2c8a5425612adfa8bbaae482b73, 2014-07-29 00:00:00, 0, 268, 1, 0
ion, 78, 2061, b6b0a5b3f12cd871cf603acfa06497f838cdef0d, 2014-08-28 00:00:00, 0, 280, 1, 0
ion, 78, 2007, bf7a47cae9bb90a9f9eac36c97b64a7005239692, 2014-09-28 00:00:00, 0, 280, 1, 0
ion, 78, 1956, e7434107a059b6538c11aad74b19c60aa316cdd7, 2014-10-27 00:00:00, 0, 280, 1, 0
ion, 78, 1906, 9ff5760be7e53d1ab5db5ddc4bf7c88eb1cc1315, 2014-11-30 00:00:00, 0, 274, 1, 0
ion, 78, 1851, ec3b392b3f07cefa898b874ee124224296896f18, 2014-12-26 00:00:00, 0, 274, 1, 0
ion, 78, 1791, b9e205ddf5879b4324ff64915678b6451074fe2f, 2015-01-20 00:00:00, 0, 274, 1, 0
ion, 78, 1733, b7ba5ed1eb5094409c1b733ad0bd8b6cc7cb64ce, 2015-02-28 00:00:00, 0, 274, 1, 0
ion, 78, 1674, 327a0a67025347ce1d4d63126c16313ba5afafdd, 2015-03-25 00:00:00, 0, 278, 1, 0
ion, 78, 1604, 274ce68c0e7b0ad08f2ed34254729c172cd7eedd, 2015-04-26 00:00:00, 0, 278, 1, 0
ion, 78, 1538, 9175b4ea54a5f05234a07b5e9173cd6eccba0a6d, 2015-05-27 00:00:00, 0, 278, 1, 0
ion, 78, 1470, 376d6d0dc1f5a6d8d6cae5d7ebc5fc2d62888358, 2015-06-30 00:00:00, 0, 278, 1, 0
ion, 78, 1408, c0ccb1cb430c74fba350147a178eb8e889e6079b, 2015-07-29 00:00:00, 0, 278, 1, 0
ion, 78, 1345, 72fd27f7b26686061a7eb64d6c48f014751917f4, 2015-08-30 00:00:00, 0, 278, 1, 0
ion, 78, 1212, 8f8f94a28d75312c8578c78b57851aae645196bc, 2015-10-27 00:00:00, 0, 276, 1, 0
ion, 78, 1143, 34533a414e7ba16f19fa7c333ca3712622ea791a, 2015-11-29 00:00:00, 0, 278, 1, 0
ion, 78, 1081, 32da7e9a8e4c66ed70f1a3ec49f915a877a814d3, 2015-12-31 00:00:00, 0, 278, 1, 0
ion, 78, 1018, c98b9be02b1459cbb999b65f79c9215885cca0fa, 2016-01-03 00:00:00, 0, 278, 1, 0
ion, 78, 949, 2ebb6a5a71f8631de9b4c09a2223f97b4fd5b772, 2016-02-11 00:00:00, 0, 278, 1, 0
ion, 78, 757, 0384f354a5ff8a0ccfed0452945149f5dda77ca9, 2016-05-25 00:00:00, 0, 278, 1, 0
ion, 78, 688, 2856e752a1cc73b3791ef5390e5309fe367b1a7c, 2016-06-13 00:00:00, 0, 286, 1, 0
ion, 78, 556, 21e250b37fb0f4be50eae42442498492ba1ac9c9, 2016-08-29 00:00:00, 0, 286, 1, 0
ion, 78, 487, 0162b5c5f619361850880568b9def550a0f414e7, 2016-09-22 00:00:00, 0, 288, 1, 0
ion, 78, 357, 171b51b51f6f0b5a6110de7a748ee0c61043fd31, 2016-11-07 00:00:00, 0, 288, 1, 0
ion, 78, 234, f0d55332df845ed1b2d1cb65cc5a96fd8477c539, 2017-01-31 00:00:00, 0, 288, 1, 0
