Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
java8-tutorial, 83, 2267, 7d8c0cc422d47e10965d4cb51505366289778062, 2014-03-31 00:00:00, 30, 4, 0, 0
java8-tutorial, 83, 2219, ec86bddbb19947bc29179014c99bac09db934b09, 2014-04-07 00:00:00, 30, 4, 0, 0
java8-tutorial, 83, 2171, d42024814890b5d2a39dfada37382003a903b291, 2014-05-09 00:00:00, 34, 4, 0, 0
java8-tutorial, 83, 2078, 2946422c4d62d4adb15424fe2cb3c7be568066fc, 2014-07-31 00:00:00, 119, 4, 0, 0
java8-tutorial, 83, 1871, 2a5896179e6fa8eef40498d430aaf42801ba2da8, 2014-11-11 00:00:00, 119, 4, 0, 0
java8-tutorial, 83, 1754, ad3faa05a71aee6b8a2fbc6741f99ec90ac64ee6, 2015-01-14 00:00:00, 121, 4, 0, 0
java8-tutorial, 83, 1628, 89a257129873974e4beb658115e854649b9204b2, 2015-03-29 00:00:00, 145, 4, 0, 0
java8-tutorial, 83, 1562, b2d20be9d1043a1af00746c94c0509a7bc5aa100, 2015-04-30 00:00:00, 172, 4, 0, 0
java8-tutorial, 83, 1497, 9501b001a3f3186a865fbfb12c722dea175153e1, 2015-05-29 00:00:00, 178, 4, 0, 0
java8-tutorial, 83, 1368, 9804c2e3b6bb2afd038dcc07e9c6820737b3aaab, 2015-07-25 00:00:00, 178, 4, 0, 0
java8-tutorial, 83, 1170, 9a57df95b40f9cf4f4d556ad3d3959db750e16ce, 2015-10-14 00:00:00, 178, 4, 0, 0
java8-tutorial, 83, 1104, 1a596004225564264c95f19464714fbdd092979c, 2015-11-20 00:00:00, 180, 4, 0, 0
java8-tutorial, 83, 1041, d6c972191da3f22531e59fb8775e870f9cf15994, 2015-12-18 00:00:00, 180, 4, 0, 0
java8-tutorial, 83, 976, f4309c4bc85a8eb470ba65703ef333432ebdb4c2, 2016-01-14 00:00:00, 180, 4, 0, 0
java8-tutorial, 83, 845, 6dd0e09f79cb53fdfa11851ec2afbf0c1664c20c, 2016-03-22 00:00:00, 180, 4, 0, 0
java8-tutorial, 83, 580, 26c0588e1c3098ec469f81d8171304336711bb3a, 2016-07-05 00:00:00, 180, 4, 0, 0
java8-tutorial, 83, 382, 85dae289bdc6903b651f35fe1010d387d78ff90f, 2016-10-06 00:00:00, 180, 4, 0, 0
