Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
jedis, 3, 2909, 7b7c6c9602f41b0b9f8a022aa16c6da9556cf64b, 2012-12-26 00:00:00, 0, 70, 11, 0
jedis, 3, 2870, 23e50a363e621ef9b5996233c53445e9f8ed3e13, 2013-01-30 00:00:00, 0, 70, 13, 0
jedis, 3, 2830, 6af41cdac271707a1094cb886cbdbb5fec51b87e, 2013-02-20 00:00:00, 0, 70, 14, 0
jedis, 3, 2791, 5e2cdb9c088fc4c36bbf80d1d76ab414d973f4cc, 2013-03-29 00:00:00, 0, 70, 14, 0
jedis, 3, 2709, 24c6b7c86722377ce6b9f023932006f7a22ca36c, 2013-05-13 00:00:00, 0, 70, 14, 0
jedis, 3, 2669, 1080d136ecfae0f35d58e44c71545623c3fdfea8, 2013-06-29 00:00:00, 0, 70, 14, 0
jedis, 3, 2627, 155aff09e05395abe2df49a3a38dcc969da41cf3, 2013-07-15 00:00:00, 0, 70, 18, 0
jedis, 3, 2580, 39d81d8f1fe1b6afce24ad66366255b21a41900a, 2013-08-28 00:00:00, 0, 72, 18, 0
jedis, 3, 2538, 35a2dfd4c06f275d9bcdc07792e382cf59df300d, 2013-09-26 00:00:00, 0, 72, 18, 0
jedis, 3, 2493, 52bb245203f066818ebdd8b36fcfe63009c7e764, 2013-10-16 00:00:00, 0, 76, 18, 0
jedis, 3, 2446, fb02c2e3e2c3799c9377e23f014c364ad0bc7d72, 2013-11-30 00:00:00, 0, 72, 18, 0
jedis, 3, 2402, b2d22e206037eee2bebd5e4ec0dbe57692f8a57f, 2013-12-28 00:00:00, 0, 304, 18, 0
jedis, 3, 2359, 8fef62e21d257a42f1a06996ef2a2768882f1385, 2014-01-31 00:00:00, 0, 288, 20, 0
jedis, 3, 2314, b2eb5d6d1c1e15c32bb702bf60b638044f79e510, 2014-02-28 00:00:00, 0, 294, 22, 0
jedis, 3, 2264, 2510e34c948a57ea973e067dedf3d4f5bf0a9f2a, 2014-03-30 00:00:00, 0, 294, 24, 0
jedis, 3, 2216, 6485a7ec08c5293c5c0e0ddb256213d122798b88, 2014-04-30 00:00:00, 0, 298, 22, 0
jedis, 3, 2168, 19fc1f87cf92908b66caceff3e078f8d7e8c5b38, 2014-05-30 00:00:00, 0, 302, 22, 0
jedis, 3, 2123, 4c4446a71f6f8a130e3ba2eccb82bafbb52f2033, 2014-06-24 00:00:00, 0, 302, 22, 0
jedis, 3, 2076, dddc0d15f108637e8fd733359713e13bc1656fb4, 2014-07-28 00:00:00, 0, 302, 22, 0
jedis, 3, 2025, b2193457613cb76bfc107d038140071c8674905c, 2014-08-31 00:00:00, 0, 298, 20, 0
jedis, 3, 1973, 4c6d83554ee0bd021f234b07d017e56210ea0e59, 2014-09-29 00:00:00, 0, 318, 20, 0
jedis, 3, 1924, f7995a7771ff20c2abce5591bad7781a97630b2c, 2014-10-23 00:00:00, 0, 314, 20, 0
jedis, 3, 1867, bba916a5682a3cf7027c11d5bbfeddb3af83fbaf, 2014-11-30 00:00:00, 0, 316, 16, 0
jedis, 3, 1810, 35f72bb772fff3094c20e65e1476723c6e6b01d2, 2015-01-01 00:00:00, 0, 316, 18, 0
jedis, 3, 1749, 434464f245289956f2f41747ad122c8220362a57, 2015-01-31 00:00:00, 0, 316, 18, 0
jedis, 3, 1689, 6ebbc8ba755d6d3a6fa5399c42c4d8a0a010acd4, 2015-02-28 00:00:00, 0, 320, 18, 0
jedis, 3, 1623, 454f783a7a62768eb5807f4ad8e70732fbad06f1, 2015-03-31 00:00:00, 0, 322, 19, 0
jedis, 3, 1557, 61d0aa10c64ec0f56b7a7ed099f135ced5a88710, 2015-04-29 00:00:00, 0, 652, 19, 0
jedis, 3, 1492, 50822a68188c706029fa46b3efb732565fea7e2b, 2015-05-26 00:00:00, 0, 652, 19, 0
jedis, 3, 1427, 432c986e2c86056e6812579aca85bf4118e482da, 2015-06-29 00:00:00, 0, 652, 19, 0
jedis, 3, 1364, 8a45aa30a6277ee37f706c339024e4411da5c7d8, 2015-07-19 00:00:00, 0, 652, 19, 0
jedis, 3, 1299, 3facce5fe6060df56a7fbf0153ae92001b73c511, 2015-08-30 00:00:00, 0, 708, 24, 0
jedis, 3, 1233, 50e8d346096a4963eae6622882a78e23ed5ab9ee, 2015-09-23 00:00:00, 0, 668, 22, 0
