Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
leakcanary, 1, 1489, 5514a1df8492c7f230fee4c29d29dd5dec9629c5, 2015-05-29 00:00:00, 0, 42, 3, 0
leakcanary, 1, 1426, a2f9c6e2db84c1cb6b853c005c639c14ce688f07, 2015-06-03 00:00:00, 0, 42, 3, 0
leakcanary, 1, 1363, 37b276e9291aa2a40a5968700bcfec07a66bea7d, 2015-07-28 00:00:00, 0, 40, 2, 0
leakcanary, 1, 1298, fd7c2524246215b4476f57ae1c0e5510658a2d16, 2015-08-31 00:00:00, 0, 40, 2, 0
leakcanary, 1, 1231, 33a44c451737a32b40d37db86d8d6b8549fe182a, 2015-09-17 00:00:00, 0, 40, 2, 0
leakcanary, 1, 1162, ca183ea1b3f8f427cd233bdc72f46310a89f5685, 2015-10-21 00:00:00, 0, 40, 2, 0
leakcanary, 1, 966, 021f169919e1d8c470d30672f6a8fda446f2456b, 2016-01-24 00:00:00, 0, 46, 2, 0
leakcanary, 1, 836, 9dcbfd52b63836eb18d7bb47fb9e10f5f436768f, 2016-03-30 00:00:00, 0, 48, 3, 0
leakcanary, 1, 704, 457175960e341658fc908ee12a9bf803bca63a23, 2016-05-17 00:00:00, 0, 48, 3, 0
leakcanary, 1, 638, 44787a1733b671c65660486f2de39e36ae9c25b2, 2016-06-28 00:00:00, 0, 48, 3, 0
leakcanary, 1, 436, a32d62e854e8f09e273bbcc64f372c0899094b24, 2016-09-28 00:00:00, 0, 56, 3, 0
leakcanary, 1, 373, 05e6ee2564112d2ea72668221003b4f838556a3d, 2016-10-22 00:00:00, 0, 56, 3, 0
leakcanary, 1, 131, f0bfbbd14dc3818bb31a225e57cd9ede005e76bf, 2017-02-26 00:00:00, 0, 56, 3, 0
leakcanary, 1, 65, be0e231857327a0d17741c52e9a7f70cad77731b, 2017-03-05 00:00:00, 0, 56, 3, 0
leakcanary, 1, 1, fe379753b1b583499175232be56d2800d710a8e5, 2017-04-25 00:00:00, 0, 56, 3, 0
