Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
material-dialogs, 30, 1890, 8892a49bb65cf6439f7a5db975bc5332a6853d83, 2014-11-30 00:00:00, 0, 56, 0, 0
material-dialogs, 30, 1834, e88b5ce4a0706022b336cb41cfd16221429b8ce9, 2014-12-31 00:00:00, 0, 76, 1, 1
material-dialogs, 30, 1774, 4eedb6da95d37ce72a355b0a187365ef5da253da, 2015-01-31 00:00:00, 0, 80, 1, 1
material-dialogs, 30, 1715, 0446ea381ffe96a117d8c347b4f323e832024d51, 2015-02-28 00:00:00, 0, 106, 1, 1
material-dialogs, 30, 1651, 61798c269cbe720ab1ccb06a6e222126af3ed873, 2015-03-30 00:00:00, 0, 116, 3, 1
material-dialogs, 30, 1582, bae5347c72a1679169a96388ace74b61bbfd7b14, 2015-04-29 00:00:00, 0, 134, 3, 1
material-dialogs, 30, 1518, 2b023f65dde14cca01e4977c61f23a5adb9e1a32, 2015-05-31 00:00:00, 0, 132, 3, 1
material-dialogs, 30, 1451, f65c52c5f0f7ed1874ec2f7584b82bb700094a50, 2015-06-24 00:00:00, 0, 138, 3, 1
material-dialogs, 30, 1389, 3949cd4db3941fb54f5e8d87859b157c768ebd24, 2015-07-25 00:00:00, 0, 146, 3, 1
material-dialogs, 30, 1327, 0a9feb19b690569f7118cd81acbc36ac3a95e5b8, 2015-08-29 00:00:00, 0, 150, 3, 1
material-dialogs, 30, 1260, 972c0614a2cbfa4a13d1040b5bc45c001a38536f, 2015-10-01 00:00:00, 0, 94, 3, 1
material-dialogs, 30, 1192, af108e6045052594fc26f5ef43ef228a50eda752, 2015-11-01 00:00:00, 0, 118, 2, 1
material-dialogs, 30, 1126, 2e174079f1b5f45d218295e2d372475d6ed79430, 2015-12-01 00:00:00, 0, 116, 2, 1
material-dialogs, 30, 1061, 897aad4b5da705798f861119ac753b53408032ec, 2015-12-30 00:00:00, 0, 118, 2, 1
material-dialogs, 30, 997, ffe972a07593b41d5392e1f9269d6eb5cdcde9ba, 2016-01-28 00:00:00, 0, 118, 2, 1
material-dialogs, 30, 928, d7edc91e76eeb57e8aa8371760bac1cd2c32ee10, 2016-02-29 00:00:00, 0, 116, 2, 1
material-dialogs, 30, 868, d0e4fa94d9c26e0e1ea6cae81071be01135d870a, 2016-03-14 00:00:00, 0, 116, 2, 1
material-dialogs, 30, 803, 6cc232d8c5f7023f47711480db0a638e2f9aefef, 2016-04-19 00:00:00, 0, 116, 2, 1
material-dialogs, 30, 736, 4a956df21f02801edf0d155ea128ca1b8b1122c4, 2016-05-15 00:00:00, 0, 116, 2, 1
material-dialogs, 30, 666, 5d6179b9223986a394400ec59f5f3e714bde3ff9, 2016-06-25 00:00:00, 0, 116, 2, 1
material-dialogs, 30, 603, bfc1c0a535ed70d600de8e061ff9fb12f69f2934, 2016-07-28 00:00:00, 0, 120, 2, 1
material-dialogs, 30, 535, 502d5280eb99f90b1e022ebaae35037ff6d55ef7, 2016-08-30 00:00:00, 0, 126, 2, 1
material-dialogs, 30, 469, 990450904ee440efc587a269c9867bcd8e4a79fe, 2016-09-21 00:00:00, 0, 126, 2, 1
material-dialogs, 30, 404, aeb758c9ba95b24814edb71b719633a77a01f913, 2016-10-24 00:00:00, 0, 126, 2, 1
material-dialogs, 30, 342, e68fda6372bc66cdc62fdf1c1a2f9dcd3099954b, 2016-11-05 00:00:00, 0, 126, 2, 1
material-dialogs, 30, 278, 50f2ebdfcb6a000f70b09443f0b710d5efaca318, 2016-12-28 00:00:00, 0, 126, 2, 1
material-dialogs, 30, 219, 5f862626cfad4033f3f14abac72a942bd57680a7, 2017-02-01 00:00:00, 36, 54, 2, 1
material-dialogs, 30, 162, 2205c697a45623b105e4d24940a31784612ee518, 2017-02-21 00:00:00, 36, 54, 2, 1
material-dialogs, 30, 96, f028ee3a68796e4dd24d0f1acd9ed7638a8f9fb9, 2017-04-01 00:00:00, 36, 54, 2, 1
material-dialogs, 30, 30, a4555aae5087811e12a9e9c4c7458490fff4c16f, 2017-04-27 00:00:00, 36, 54, 2, 1
