Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
netty, 21, 2919, 218afba1f25de7883a5e9edd3f48f081a7b36e30, 2013-01-01 00:00:00, 0, 396, 11, 0
netty, 21, 2881, bfe44180f94e53a732e2fb77c01006fb97e4a54a, 2013-02-01 00:00:00, 0, 426, 22, 0
netty, 21, 2842, 42dad6d9d48c909618ba4b92e8c70fd413753199, 2013-02-28 00:00:00, 0, 452, 22, 0
netty, 21, 2802, 05850da8638a5af14c7ee5f1ebf4e17cf10dd71a, 2013-03-30 00:00:00, 0, 502, 22, 0
netty, 21, 2763, 2e0dd65250be7d04f2429cecbc8de31c2e30cb9c, 2013-05-01 00:00:00, 0, 530, 28, 0
netty, 21, 2721, bc20107b688db0107b1a859306d0b5036f646a3b, 2013-05-30 00:00:00, 0, 514, 22, 0
netty, 21, 2680, 617ab6321ba860c418de1ac61d7417e4937455de, 2013-06-30 00:00:00, 0, 460, 21, 0
netty, 21, 2639, e3410680def77f7a9a47eebc23669d6a323c6f46, 2013-07-31 00:00:00, 0, 494, 23, 0
netty, 21, 2591, b8866aef330403353285486bbf5c0342b6c6a998, 2013-08-30 00:00:00, 0, 520, 21, 0
netty, 21, 2548, 7e6649fd66102212c8c8223cbe55b00f5513aac7, 2013-10-01 00:00:00, 0, 530, 21, 0
netty, 21, 2504, 16d32ed33ab7cf9806ade70f85a4ce12f65019c6, 2013-10-31 00:00:00, 0, 532, 21, 0
netty, 21, 2458, 17f5865e381125c8ccc6e9188b62919f20c77572, 2013-11-29 00:00:00, 0, 532, 21, 0
netty, 21, 2414, e83d2e0b4e984f39a4cae020b75b34d5168190e2, 2013-12-22 00:00:00, 0, 540, 21, 0
netty, 21, 2371, f94b563bcd64840a9978204e75812ed182830990, 2014-01-30 00:00:00, 0, 550, 21, 0
netty, 21, 2326, fcc6b544a4cd1069ee39fdfb0d9b0bd97197b186, 2014-02-28 00:00:00, 0, 598, 22, 0
netty, 21, 2278, 772a9d261094463d35df86f2c9e1548e4ba96ff0, 2014-03-31 00:00:00, 0, 616, 23, 0
netty, 21, 2231, 93fab1d5a3a45a8104e560118930c1d652dce8cb, 2014-04-30 00:00:00, 0, 662, 23, 0
netty, 21, 2182, 8583dd03fcf17ad4bcdf790b03521b7e068c3f19, 2014-05-30 00:00:00, 0, 662, 26, 0
netty, 21, 2138, 23840b76d7ffc29f6a5e9fac83d0d654b8fc1b68, 2014-06-30 00:00:00, 0, 678, 27, 0
netty, 21, 2090, ff9cc74bf695c16585f453badc911e5b0776e752, 2014-07-31 00:00:00, 0, 702, 27, 0
netty, 21, 2040, 98a533ae449ac4821caea3bce35a33c3f56ab122, 2014-08-31 00:00:00, 0, 748, 27, 0
netty, 21, 1986, ffda229cf4632f00a816828e4a6753c674ab21b3, 2014-09-29 00:00:00, 0, 750, 27, 0
netty, 21, 1937, e82595502bcd21c29f1c1e97136c79f7e9664327, 2014-11-01 00:00:00, 0, 840, 28, 0
netty, 21, 1883, f4d3f81d6ccd0f6ec3081462fca5f9ab5702fad6, 2014-11-30 00:00:00, 0, 846, 28, 0
netty, 21, 1827, 186cf2b8ea4ee1f3ef7c32d2238a172c638e6655, 2014-12-31 00:00:00, 0, 878, 29, 0
netty, 21, 1767, 200c6efc750615bc9610c88d16aee6ac9f44ba9c, 2015-01-30 00:00:00, 0, 1080, 29, 0
netty, 21, 1708, 91db4b71b2247ed99ef2dba8f914618564b13313, 2015-02-28 00:00:00, 0, 1162, 31, 0
netty, 21, 1644, 7f2ddb21626c7f0280aab2be0fd762169d3155aa, 2015-03-31 00:00:00, 0, 1186, 31, 0
netty, 21, 1576, 9d70cf33c2ccea42d0fe651be61b2e0a6579fcb1, 2015-05-01 00:00:00, 0, 1256, 29, 0
netty, 21, 1512, 70e3d17620061767ce06f69e11a370fb61d69d08, 2015-05-31 00:00:00, 0, 1280, 29, 0
netty, 21, 1445, ba6319eb6cfb41a67951f63d7791da4132daa823, 2015-06-27 00:00:00, 0, 1292, 29, 0
netty, 21, 1382, 209aa28573d06e538272d67288f8c4a8450fe216, 2015-07-31 00:00:00, 0, 1304, 29, 0
netty, 21, 1320, 1e763b6504fa8550c20d49f02c3dfad3fc0c5a76, 2015-09-01 00:00:00, 0, 1428, 34, 0
netty, 21, 1253, 284e3702d87a7efdae5ebacd7d42c54b54dd569a, 2015-10-01 00:00:00, 0, 1442, 31, 0
netty, 21, 1184, 19658e9cd80b57340df58ae573fa9dcbd141416a, 2015-10-30 00:00:00, 0, 1488, 31, 0
netty, 21, 1119, c1f3200c872c502aa141eafc5cc45fa92b37ce68, 2015-11-29 00:00:00, 0, 1492, 33, 0
netty, 21, 1053, 1b0adb334be468c7148dca36a26caf032bc5b33e, 2015-12-31 00:00:00, 0, 1504, 34, 0
netty, 21, 990, f990f9983dd0e33fb4efb2212856ce5f9749cf85, 2016-02-01 00:00:00, 0, 1568, 34, 0
netty, 21, 922, 9aac6dac2e934c7fdcca234607afbd2595b4aebe, 2016-03-01 00:00:00, 0, 1602, 34, 0
netty, 21, 860, 4b38b72a0d789a2e812bd11685244ba6583751bb, 2016-04-01 00:00:00, 0, 1674, 36, 0
netty, 21, 795, cf07f984b16d95719a9ece8c39ed6c11d8c57829, 2016-05-01 00:00:00, 0, 1720, 39, 0
netty, 21, 728, bbed330468b5b82c9e4defa59012d0fcdb70f1aa, 2016-06-01 00:00:00, 0, 1748, 39, 0
netty, 21, 659, 5c124ae8e2a5412499403e1342a66c266ef8b017, 2016-07-01 00:00:00, 0, 1768, 40, 0
netty, 21, 594, a80ea46b8e6d3b225547ae138a357101b0381268, 2016-08-01 00:00:00, 0, 1860, 41, 0
netty, 21, 525, 30fe2e868fcc99d24046e505f9406067ba6e9d07, 2016-09-01 00:00:00, 0, 1916, 41, 0
netty, 21, 458, 1c588ce7e9573a6327f0a8a86cf1d754fd10e775, 2016-09-30 00:00:00, 0, 1950, 41, 0
netty, 21, 395, 8269e0f046debf561b42adf4bd9aa9b3c18d6672, 2016-11-01 00:00:00, 0, 1974, 42, 0
