Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
okhttp, 40, 2930, 7b35a0d86cdadac706e24525edd64c8e0b3c694f, 2012-12-31 00:00:00, 0, 46, 4, 0
okhttp, 40, 2892, 85e70f17b71d8428cf4b7858b2b1b4304a31602a, 2013-01-31 00:00:00, 0, 58, 4, 0
okhttp, 40, 2854, 01006305514ae13c25760dcdeff3f9fae99b8529, 2013-02-28 00:00:00, 0, 56, 4, 0
okhttp, 40, 2814, ace08e9f28da66ffc2d71b64ac2f46aef61fc030, 2013-03-31 00:00:00, 0, 60, 4, 0
okhttp, 40, 2775, c3d3ee79f8223a92e19176a7cbf3f0704d42e885, 2013-04-30 00:00:00, 0, 62, 4, 0
okhttp, 40, 2735, 95beef24f0385827d04e23b95cea46b7425d4f1c, 2013-05-30 00:00:00, 0, 62, 4, 0
okhttp, 40, 2693, ad5ac4a57f79e2b96fd576d4bb03b06b2fbdc0cb, 2013-06-23 00:00:00, 0, 64, 4, 0
okhttp, 40, 2651, cc4633943800572673c03b32d0b2bc9a08ae184d, 2013-07-20 00:00:00, 0, 66, 5, 0
okhttp, 40, 2604, dd82416bc5b6c45d4aeecd6acdc0f178eb4ac841, 2013-08-29 00:00:00, 0, 78, 5, 0
okhttp, 40, 2562, 5538ed21d7e829910ffafe2c8e83eafe800ef347, 2013-09-29 00:00:00, 0, 78, 5, 0
okhttp, 40, 2517, adec488f99795bcba135cbbdb1b9821880425b4c, 2013-10-31 00:00:00, 0, 78, 5, 0
okhttp, 40, 2473, e138eb73a0b94c81043c61a873264403fae47892, 2013-11-26 00:00:00, 0, 82, 5, 0
okhttp, 40, 2427, bff93ffe62999a03507909f32926aa1ed44086ad, 2013-12-31 00:00:00, 0, 90, 4, 0
okhttp, 40, 2384, e369755806fc676b06e6f056997ece421ddbd163, 2014-01-31 00:00:00, 0, 124, 4, 0
okhttp, 40, 2340, edb8164469296e27abd1ab69ff554711a41a79be, 2014-02-28 00:00:00, 0, 140, 4, 0
okhttp, 40, 2292, b21b40e480cdcd09b618e399a349556de509d88d, 2014-03-31 00:00:00, 0, 194, 6, 0
okhttp, 40, 2245, 05562e064a4ba4cbc350f900f2b91b226da868c4, 2014-04-30 00:00:00, 0, 188, 6, 0
okhttp, 40, 2195, ae8d33170eb82fdbae3d9f000c69eb859ac76c83, 2014-05-31 00:00:00, 0, 200, 6, 0
okhttp, 40, 2151, 0766369844b26f64fc2e8d551ee8b5b00aa3fd87, 2014-06-29 00:00:00, 0, 212, 6, 0
okhttp, 40, 2102, c37660973807a2120e7af27462f6a83e00af16d5, 2014-07-31 00:00:00, 0, 214, 9, 0
okhttp, 40, 2053, c3a31993cea76b68d6a9a5fef4036576eb27b98b, 2014-08-23 00:00:00, 0, 216, 9, 0
okhttp, 40, 1998, 2d6b3770d9ef3424a12c4c243596a34cc07cbef1, 2014-09-28 00:00:00, 0, 218, 9, 0
okhttp, 40, 1949, a4c0d59ad588813e7c9918c22c95988a721512a4, 2014-10-27 00:00:00, 0, 210, 12, 0
okhttp, 40, 1900, 46997f3a437bdfef5b42d3a84b51bd0fe0c499fd, 2014-11-30 00:00:00, 0, 234, 12, 0
okhttp, 40, 1842, 7756c4e4fe1cd703cff07d218da2fecb30f916c6, 2014-12-31 00:00:00, 0, 292, 12, 0
okhttp, 40, 1782, b92c1b9db1c27b8035157a9016344db9e5f198ec, 2015-01-31 00:00:00, 0, 320, 12, 0
okhttp, 40, 1724, 4dd90dc5c06938f48ab023603cf848a2f39be49a, 2015-02-24 00:00:00, 0, 320, 12, 0
okhttp, 40, 1663, e6f42c4263fca67c287aaae6d17d9b2f4a9ed702, 2015-03-31 00:00:00, 0, 352, 12, 0
okhttp, 40, 1593, 1ac039d07d958e6c5c55caea0e13198bce5a10ae, 2015-04-30 00:00:00, 0, 348, 11, 0
okhttp, 40, 1528, 8072cc86f44192570f85db08d53344eec16c3c8b, 2015-05-25 00:00:00, 0, 360, 13, 0
okhttp, 40, 1460, e52e2b07dacccd704b3b0dd68e240f545a23d8fb, 2015-06-29 00:00:00, 0, 360, 13, 0
okhttp, 40, 1399, b42e73f497eafe147667117202267ec756adff26, 2015-08-01 00:00:00, 0, 366, 13, 0
okhttp, 40, 1335, e3b52db778357e61e2b3e3f12c7a586fd9951419, 2015-08-29 00:00:00, 0, 366, 13, 0
okhttp, 40, 1270, a3946430a747a0bda6e78136ab733e796cd712e6, 2015-09-30 00:00:00, 0, 374, 13, 0
okhttp, 40, 1202, bbd028c95f2d2e54deee899519d0deeabe561e8b, 2015-11-01 00:00:00, 0, 386, 15, 0
okhttp, 40, 1135, b59a7527cabc35bb2346773a9fdcd0f9a8f862b1, 2015-11-30 00:00:00, 0, 392, 15, 0
okhttp, 40, 1071, f81b6e26daa139cea01f5b5c0a9e823707ac9827, 2016-01-01 00:00:00, 0, 396, 17, 0
okhttp, 40, 1009, 18b2660873ed8f028ee72981c882ed676aa08030, 2016-01-31 00:00:00, 0, 416, 19, 0
okhttp, 40, 939, 1a88968b0fb0c6fa4fd8f1c7af9135fff066fe4e, 2016-02-29 00:00:00, 0, 416, 22, 0
okhttp, 40, 879, 837dc04dbef627e734e369e29ccdce7a6178537d, 2016-03-31 00:00:00, 0, 418, 22, 0
okhttp, 40, 814, 312ebb36c668030acaf99866ff5e6834b96fd381, 2016-05-01 00:00:00, 0, 418, 22, 0
okhttp, 40, 747, 25491a9066ae41d49f541061d54366c3ee5a606b, 2016-06-01 00:00:00, 0, 422, 22, 0
okhttp, 40, 677, 35e29d9edb15fd9a405294a0d7c8e759b1931a70, 2016-07-01 00:00:00, 0, 452, 22, 0
okhttp, 40, 615, 35283b8950b9d6796608fc339a3e617aaed1d4ab, 2016-07-31 00:00:00, 0, 418, 21, 0
okhttp, 40, 548, 749f4b960c884c5f985bdab86b86fc9e44db71c6, 2016-09-01 00:00:00, 0, 470, 21, 0
okhttp, 40, 480, 10360b88efa801bf6b67d19423565c18a9f1a177, 2016-09-27 00:00:00, 0, 470, 22, 0
okhttp, 40, 416, 37dab0df54a487ce6dcb74133e9e033a9f37431e, 2016-11-01 00:00:00, 0, 474, 22, 0
okhttp, 40, 350, 29f69277eafbcd75064381e128421679a5a6234a, 2016-12-01 00:00:00, 0, 442, 22, 0
okhttp, 40, 288, 5c7257d8d1c07b66cb7b14832bc0d16b88abcfb5, 2016-12-27 00:00:00, 0, 444, 21, 0
okhttp, 40, 226, 71729c39f2b62761d87bf2395127a9140ecab229, 2017-02-01 00:00:00, 0, 450, 21, 0
okhttp, 40, 170, 89621df62dda5cf73726ce2d5410c82c6f760f00, 2017-02-14 00:00:00, 0, 450, 21, 0
okhttp, 40, 105, 99db4307703d500cbf157cfd0a9ffcaa52732e4c, 2017-04-01 00:00:00, 0, 456, 21, 0
okhttp, 40, 40, 36a4d16b3d7b47ca83624a3bff66cde0cb5fe9f5, 2017-04-18 00:00:00, 0, 458, 21, 0
