Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
okhttputils, 84, 1305, c199920abec8789450f86526b2749e7fa54ea86c, 2015-08-26 00:00:00, 0, 86, 4, 0
okhttputils, 84, 1240, e3c7eb2be5d69ee29384879f9b2d64cbc67ca5cd, 2015-09-08 00:00:00, 0, 86, 4, 0
okhttputils, 84, 1171, b5570aaf8c5c04441a31a8801259c2cc1925502a, 2015-10-28 00:00:00, 0, 86, 4, 0
okhttputils, 84, 1105, c4b084792254e7651d5076ff68c35381ae935e1d, 2015-11-22 00:00:00, 0, 36, 2, 0
okhttputils, 84, 1042, fda87009844893f539d8fa10649699942efb9727, 2015-12-23 00:00:00, 0, 24, 2, 0
okhttputils, 84, 977, 050f7826666ff62fedcae73c3318ff25d7ec9110, 2016-01-18 00:00:00, 0, 24, 2, 1
okhttputils, 84, 910, 204a41208c1dccac838b2087d83ce998f6a253e6, 2016-03-02 00:00:00, 0, 24, 2, 1
okhttputils, 84, 846, 990e8111e201a10e7a60466a7aa4c7c7154e2836, 2016-03-21 00:00:00, 0, 24, 4, 0
okhttputils, 84, 782, 33390f712f75872ebba72622cda89d4f97879689, 2016-05-01 00:00:00, 0, 30, 4, 0
okhttputils, 84, 715, b514bf95d0efe6eb8317a4c282b4f6e8fba016f4, 2016-06-01 00:00:00, 0, 28, 4, 0
okhttputils, 84, 646, 86ac5f2a8ef436cc28de2aa718cda9b4767f6b24, 2016-06-23 00:00:00, 0, 30, 4, 0
okhttputils, 84, 445, 54f40ef8ff36c1321729c970cd98ec93df29acd3, 2016-09-11 00:00:00, 0, 30, 4, 0
