Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
picasso, 32, 2848, 480451b7bcd6c7b55d873979f854bea19941aef2, 2013-02-20 00:00:00, 0, 2, 0, 0
picasso, 32, 2809, cc2e59aa5b9513b675c9093bfa63529e0e7ffadb, 2013-03-31 00:00:00, 0, 2, 0, 0
picasso, 32, 2769, 54716bf7b7a5d63d39bb96d3b116e70414070a55, 2013-04-30 00:00:00, 0, 14, 0, 0
picasso, 32, 2727, 8035cf94476a74819bb7cc140aa8aa5844294a68, 2013-05-30 00:00:00, 0, 16, 0, 0
picasso, 32, 2687, c25d3f05a55ccbb694bb56f4c0cc1e3b41a5ccb4, 2013-06-27 00:00:00, 0, 20, 0, 0
picasso, 32, 2645, 8460f1604d4455974c7d61d4f372f959e6f9f598, 2013-07-31 00:00:00, 0, 20, 0, 0
picasso, 32, 2597, 29f6d3f5eee1489aa1276eb6c8c3a6ef727f4eca, 2013-08-30 00:00:00, 0, 24, 0, 0
picasso, 32, 2555, a12ddc77a3948a37d217c58b1f28cf9db06a19fd, 2013-09-26 00:00:00, 0, 24, 0, 0
picasso, 32, 2511, a1d8d9c425ca5fde42f4f1ea24457a51d09d8baa, 2013-10-23 00:00:00, 0, 24, 0, 0
picasso, 32, 2465, 6264498bb5e0f951bd5a8e5c6ef31a2341e3e44c, 2013-11-28 00:00:00, 0, 24, 0, 0
picasso, 32, 2421, 8b9b5e3589195893124b9725f027e9bd7da06340, 2013-12-30 00:00:00, 0, 24, 0, 0
picasso, 32, 2379, 62a1d02251bde19b932da4a3ede22149f5aa74a4, 2014-01-31 00:00:00, 0, 32, 0, 0
picasso, 32, 2334, df79eba5e5021b03c55955946137810a6db6da03, 2014-02-23 00:00:00, 0, 32, 0, 0
picasso, 32, 2286, e0c3d44f53919742a0a608277be26b47742bb2a2, 2014-03-26 00:00:00, 0, 36, 0, 0
picasso, 32, 2238, 312cce269b8eea6997dd19391f6e93aa4bf3de2b, 2014-04-25 00:00:00, 0, 36, 0, 0
picasso, 32, 2188, 0527bd8669f99377ca2ed1972ef57fb5db587755, 2014-05-29 00:00:00, 0, 40, 0, 0
picasso, 32, 2145, 3e630b5072e934ec2adeb0120d33627fb85817c2, 2014-06-30 00:00:00, 0, 40, 0, 0
picasso, 32, 2096, fd1f804d3a505b5eba196da84e66595b3618a61c, 2014-07-21 00:00:00, 0, 42, 0, 0
picasso, 32, 2047, 28b27a937fe60dbbf6ff1e1a7b6571c96d08027e, 2014-08-26 00:00:00, 0, 40, 0, 0
picasso, 32, 1991, 4e521544b34de7e394246fa4dc6852714bc045ba, 2014-09-29 00:00:00, 0, 40, 0, 0
picasso, 32, 1943, 52df33c3edbbc2b6014adb520697b1a0855e4b44, 2014-10-29 00:00:00, 0, 52, 0, 0
picasso, 32, 1892, 0bdf8ed9c41d6b712f1408ec590b0b9f92cff2e6, 2014-11-27 00:00:00, 0, 52, 0, 0
picasso, 32, 1835, 459559751b8c29862bbb580f616ff693e8ba055f, 2014-12-31 00:00:00, 0, 48, 0, 0
picasso, 32, 1776, 276731c9bde9992f11853abdda489ab4de82817e, 2015-01-30 00:00:00, 0, 48, 0, 0
picasso, 32, 1717, 7d95ae0ba43053f57be7cf0c684ee5f457349077, 2015-02-16 00:00:00, 0, 50, 0, 0
picasso, 32, 1653, 601edbba23d7ddaf594770dd1cfeecdf9d903926, 2015-03-20 00:00:00, 0, 54, 0, 0
picasso, 32, 1584, 10bac5ba59c7379eb4be4a2e7af074edc4bd9200, 2015-04-30 00:00:00, 0, 54, 0, 0
picasso, 32, 1519, 7a706d2ab19ef9941c73d64a10287fb6c828ad53, 2015-05-31 00:00:00, 0, 54, 0, 0
picasso, 32, 1452, 8507b5d8f136ac9d46f0679547c1640d201169b4, 2015-06-15 00:00:00, 0, 54, 0, 0
picasso, 32, 1390, a35c785202ef7351f1e071a0191b201b745da168, 2015-07-26 00:00:00, 0, 54, 0, 0
picasso, 32, 1328, 7233de5bf90001dad32a290d9ac28f2ae1f988e5, 2015-08-03 00:00:00, 0, 54, 0, 0
picasso, 32, 1193, e3d2852e42b34dd66ceab2565132e1d748417dd1, 2015-10-26 00:00:00, 0, 54, 0, 0
picasso, 32, 1063, 773b1d6046ae6155624ef664345b0b0c577895f9, 2015-12-08 00:00:00, 0, 54, 0, 0
picasso, 32, 999, 65eb31de19e0d3653933d17c08f533feb283e3d6, 2016-01-29 00:00:00, 0, 54, 0, 0
picasso, 32, 931, ebce0a70c446b32c6fd7a6f0c5bde595925ecca1, 2016-02-19 00:00:00, 0, 54, 0, 0
picasso, 32, 871, 7f2e01b06db111295a2a6f593a0339a7050b9deb, 2016-03-29 00:00:00, 0, 56, 0, 0
picasso, 32, 806, 1605dd28e0391161e9b87836df017a9a24c3c13f, 2016-04-25 00:00:00, 0, 56, 0, 0
picasso, 32, 739, 1ba6e09beb01bf67cdc4d02a205d102487b47326, 2016-05-24 00:00:00, 0, 56, 0, 0
picasso, 32, 668, 0230ba035e3c3aa7d0f31fa34359a66e62154b69, 2016-06-29 00:00:00, 0, 56, 0, 0
picasso, 32, 606, c2ea47e496288866a1bbc859f854de7c5b8570a0, 2016-08-01 00:00:00, 0, 56, 0, 0
picasso, 32, 538, eac9b2b33028d1b73c2a65477de722c3d871daa4, 2016-08-09 00:00:00, 0, 56, 0, 0
picasso, 32, 472, 303366b749b2b58ea3a1561ff64e093941ebfbbd, 2016-09-14 00:00:00, 0, 56, 0, 0
picasso, 32, 407, 059993e3cc38f3c1eb1fd218716fd825ac02f6fd, 2016-11-01 00:00:00, 0, 56, 0, 0
picasso, 32, 280, 289ed30e3814774a9a8b4b811dedb573056ef098, 2016-12-14 00:00:00, 0, 56, 0, 0
picasso, 32, 220, 9d0856d11e66186184433e9bc6445e7a3a6cee8e, 2017-01-05 00:00:00, 0, 52, 0, 0
picasso, 32, 163, 0b38d1987ec7b4e9cf0dd971545f97987e94e864, 2017-02-24 00:00:00, 0, 50, 0, 0
picasso, 32, 32, a834e259fba01971651a3cd684ea5370f3769de0, 2017-04-22 00:00:00, 0, 50, 0, 0
