Projeto, idProjeto, idVersao, Versao, Data, qtd_lambda, qtd_aic, qtd_maps, qtd_filter
plaid, 5, 1165, 2f79ce8ff74936029c8121c35f0e6ae6a24a5c88, 2015-10-31 00:00:00, 0, 204, 2, 0
plaid, 5, 1098, 79e55da2cce4aa6338e1eac969ad41b7ee58cd23, 2015-12-01 00:00:00, 0, 274, 2, 0
plaid, 5, 1036, b54c7b0f6c2645f5676092a3517472b68cd11864, 2015-12-09 00:00:00, 0, 274, 2, 0
plaid, 5, 971, e220b0779bea507660ea99fc775eff678c79fb7b, 2016-02-01 00:00:00, 0, 304, 2, 0
plaid, 5, 905, 289f54587e660870c52e0c4d17fcb73d6e9eec9f, 2016-02-26 00:00:00, 0, 328, 2, 0
plaid, 5, 840, cb5a92f5e92ade533021237d69cce8150a1d3191, 2016-04-01 00:00:00, 0, 322, 2, 0
plaid, 5, 778, c7efc6dc11baa18ef1d86e0a13be2ca8c1d54686, 2016-04-30 00:00:00, 0, 322, 2, 0
plaid, 5, 709, 247382e049fe06eb29f0ae6d80630b65f3a3ac86, 2016-06-01 00:00:00, 0, 334, 2, 0
plaid, 5, 642, 77ce671dc5c028592b5d73b9f5cf84a26939eaca, 2016-06-02 00:00:00, 0, 340, 2, 0
plaid, 5, 576, e039a84365cf4a18ff391bcfa5da2f0ac5505f24, 2016-08-01 00:00:00, 0, 350, 2, 0
plaid, 5, 508, 2048e69ef233a816f5d53b3c23c56c7262c0168f, 2016-09-01 00:00:00, 0, 348, 2, 0
plaid, 5, 440, 69fefeb683d0bc08aba45d7edea71c8927fb476c, 2016-09-23 00:00:00, 0, 348, 2, 0
plaid, 5, 377, e5e2bc873230f2a0c69d94516a457434b8a7061d, 2016-11-01 00:00:00, 0, 354, 2, 0
plaid, 5, 314, d4b439da7122d5de0acfb36395fd9b2de84c970a, 2016-11-25 00:00:00, 0, 356, 2, 0
plaid, 5, 251, 8efa2fe748c19738f02d7ed7ddaf3aea3faf6827, 2016-12-14 00:00:00, 0, 356, 2, 0
plaid, 5, 195, 5ca059cd63ac5d15113de03f527beff9bf3a08e8, 2017-01-09 00:00:00, 0, 356, 2, 0
plaid, 5, 135, abf8669f5ccb8ee48df07def47a10a0d15c3f792, 2017-02-23 00:00:00, 0, 356, 2, 0
plaid, 5, 70, c39717d7a851e2175967eb7403b624acae1be7b0, 2017-03-31 00:00:00, 0, 356, 2, 0
plaid, 5, 5, a6a9ade8658fbd7cf34e2b9aca1e2b908112c86a, 2017-04-25 00:00:00, 0, 354, 2, 0
